rxn_id,old_directionality,new_directionality
rxn00003,uncertain,forward
rxn00004,forward,reversible
rxn00009,forward,reversible
rxn00012,reversible,forward
rxn00017,uncertain,reversible
rxn00039,reversible,forward
rxn00046,reversible,forward
rxn00050,reverse,uncertain
rxn00053,forward,uncertain
rxn00068,forward,uncertain
rxn00069,reverse,reversible
rxn00070,reversible,reverse
rxn00071,reverse,forward
rxn00074,reverse,reversible
rxn00076,uncertain,forward
rxn00085,uncertain,reverse
rxn00090,uncertain,forward
rxn00093,reversible,forward
rxn00103,forward,reversible
rxn00105,forward,reversible
rxn00108,reverse,forward
rxn00109,forward,reverse
rxn00114,forward,reversible
rxn00122,forward,reversible
rxn00134,reversible,forward
rxn00143,reversible,forward
rxn00145,reversible,forward
rxn00164,reverse,reversible
rxn00171,forward,reversible
rxn00183,forward,reversible
rxn00196,reversible,forward
rxn00206,uncertain,forward
rxn00213,forward,reversible
rxn00226,forward,reversible
rxn00230,forward,reverse
rxn00245,forward,reversible
rxn00251,forward,reversible
rxn00252,forward,reversible
rxn00258,reversible,forward
rxn00270,reversible,forward
rxn00271,forward,reversible
rxn00272,reversible,forward
rxn00273,reversible,reverse
rxn00274,forward,reverse
rxn00281,forward,uncertain
rxn00284,reversible,uncertain
rxn00288,reversible,forward
rxn00293,forward,reversible
rxn00304,forward,reversible
rxn00305,forward,reversible
rxn00306,reverse,reversible
rxn00308,forward,reversible
rxn00309,forward,reversible
rxn00314,forward,reverse
rxn00317,reversible,forward
rxn00321,reversible,forward
rxn00324,reverse,reversible
rxn00335,forward,reversible
rxn00355,forward,reversible
rxn00357,reversible,forward
rxn00368,reversible,forward
rxn00370,forward,reversible
rxn00379,forward,reversible
rxn00380,forward,reverse
rxn00386,reversible,forward
rxn00393,reversible,forward
rxn00403,forward,reverse
rxn00404,reversible,forward
rxn00411,forward,reverse
rxn00415,reversible,forward
rxn00418,forward,reversible
rxn00419,forward,uncertain
rxn00421,forward,reversible
rxn00424,reversible,forward
rxn00435,reversible,forward
rxn00449,reversible,forward
rxn00451,reversible,forward
rxn00453,reversible,forward
rxn00454,reversible,forward
rxn00460,forward,reverse
rxn00462,reversible,reverse
rxn00466,reversible,reverse
rxn00471,forward,uncertain
rxn00474,reversible,forward
rxn00476,forward,reversible
rxn00485,forward,reversible
rxn00486,forward,reversible
rxn00510,reversible,forward
