rxn_id,name
rxn02530,UDPglucose:methyl-ONN-azoxymethanol beta-D-glucosyltransferase
rxn02657,R03740
rxn04341,rxn04341
rxn16247,epoxide hydrolase
rxn16693,R09852
rxn16694,carbamoyl-phosphate:20-O-methyl-19-chloroproansamitocin carbamoyltransferase
rxn16695,R09854
rxn16734,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, avermitilol-forming)"
rxn18084,border disease virus NS3 endopeptidase
rxn18086,infectious pancreatic necrosis birnavirus Vp4 peptidase
rxn20590,Clostridium oedematiens beta- and gamma-toxins
rxn20591,Clostridium oedematiens beta- and gamma-toxins
rxn25086,equine arterivirus serine peptidase
rxn25624,RXN-9496.c
rxn25625,RXN-9497.c
rxn25626,RXN-9497.v
rxn25627,RXN-9498.c
rxn25633,RXN-9502.c
rxn25634,RXN-9502.v
rxn25635,RXN-9503.c
rxn26361,molybdenum cofactor cytidylyltransferase
rxn37010,Clostridium oedematiens beta- and gamma-toxins
rxn37011,Clostridium oedematiens beta- and gamma-toxins
rxn40073,
rxn40152,"8-O-methyldihydrosterigmatocystin,NADPH:O2 oxidoreductase (aflatoxin-B forming)"
rxn40271,
rxn40513,"3,4,15-triacetylnivalenol 3-esterase"
rxn40573,
rxn41122,"3,15-acetyldeoxynivalenol 3-esterase"
rxn41706,"12,13-epoxi-9,10-trichoene-2-ol 11-hydroxylase"
rxn41721,
rxn41739,
rxn42489,3-acetyl T-2 toxin esterase
rxn42592,
rxn42634,
rxn42845,"3,15-diacetylnivalenol acetyltransferase"
rxn42892,isotrichodermol acetyltransferase
rxn43534,
rxn43651,"3,15-acetyldeoxynivalenol 4-hydroxylase"
rxn43951,trichdermol acetyltransferase
rxn44009,
rxn44023,
rxn44104,
rxn44352,"3,15-acetyldeoxynivalenol 15-esterase"
rxn44761,
rxn45136,
rxn45337,3-acetylneosolaniol acyltransferase
rxn45348,
rxn45353,
rxn45711,
rxn45733,trichodermin acyltransferase
rxn45776,
rxn46005,
rxn46041,
rxn46301,
rxn46306,
rxn47386,"4,15-diacetylnivalenol 15-esterase"
rxn47546,
rxn47716,
rxn47904,
rxn47934,
rxn48471,"3,15-diacetoxyscirpenol acetyltransferase"
rxn48495,
rxn48531,
rxn49221,18757
rxn50296,34663
rxn50424,35759
rxn50425,35763
rxn54140,56684
rxn55093,61612
rxn55229,62276
rxn55352,62876
rxn55354,62884
rxn55822,65256
rxn57024,
rxn57122,acetylation to form Salmonella O:30 (Landau) O antigen
rxn57202,
rxn57282,
rxn57409,
rxn57579,
rxn57631,
rxn57716,
rxn57750,
rxn57767,
rxn57911,
rxn57970,
rxn58087,
rxn58130,
rxn58154,
rxn58256,
rxn58417,
rxn58442,
rxn58744,
rxn58820,
rxn58907,O-antigen ligase
rxn58955,glucosylation to form Salmonella O:30 (Urbana) O antigen
rxn59072,
rxn59109,
rxn59204,
rxn59297,
rxn59402,
rxn59407,isodomoic acid A isomerization
rxn59536,
rxn59539,
rxn59700,
rxn59702,
rxn59715,
rxn59846,
rxn59922,
rxn59977,
rxn59988,
rxn59995,
rxn60001,
rxn60030,glucosylation to form Escherichia coli serotype O:44 O antigen
rxn60130,
rxn60453,
rxn60464,
rxn60477,
rxn60617,
rxn60628,
rxn60631,
rxn60640,
