radius	group	feature_index	coefficient_kJ_per_mol	used_in_training	n_training_compounds	n_all_modelseed_compounds
1	BC[N+]	0	0	0	0	1
1	BN(S)N	1	0	0	0	2
1	BO	2	0	0	0	6
1	BOB	3	0	0	0	1
1	BOC	4	0	0	0	2
1	BO[B-]	5	0	0	0	1
1	Bc(c)c	6	0	0	0	5
1	BrC(Br)Br	7	0	0	0	1
1	C	8	-50.23355268	1	1	7
1	C#C	9	0	0	0	71
1	C#CBr	10	0	0	0	1
1	C#CC	11	0	0	0	142
1	C#CCl	12	0	0	0	2
1	C#C[NH2+]	13	0	0	0	1
1	C#Cc	14	0	0	0	16
1	C#N	15	41.01983145	1	3	273
1	C#[N+]	16	0	0	0	53
1	C#[N+]C	17	0	0	0	50
1	C#[N+]c	18	0	0	0	3
1	C#[O+]	19	-54.36787053	1	1	1
1	C/C(=C)Br	20	0	0	0	2
1	C/C(=C)C	21	17.56204922	1	4	325
1	C/C(=C)Cl	22	0	0	0	12
1	C/C(=C)F	23	0	0	0	1
1	C/C(=C)N	24	0	0	0	118
1	C/C(=C)O	25	0	0	0	47
1	C/C(=C)S	26	0	0	0	1
1	C/C(=C)[N+]	27	0	0	0	2
1	C/C(=C)[NH+]	28	0	0	0	6
1	C/C(=C)[NH2+]	29	0	0	0	1
1	C/C(=C)[NH3+]	30	0	0	0	4
1	C/C(=C)c	31	0	0	0	14
1	C/C(=C)n	32	0	0	0	1
1	C/C(=N)C	33	0	0	0	10
1	C/C(=N)N	34	0	0	0	1
1	C/C(=N)O	35	0	0	0	1
1	C/C(=N)S	36	0	0	0	83
1	C/C(=N)[S-]	37	0	0	0	6
1	C/C(=N)c	38	0	0	0	1
1	C/C(=N)n	39	0	0	0	1
1	C/C(=[N+])C	40	0	0	0	4
1	C/C(C)=C	41	0	0	0	37
1	C/C(C)=N	42	0	0	0	19
1	C/C(C)=[N+]	43	0	0	0	1
1	C/C(N)=N	44	0	0	0	1
1	C/C(c)=C	45	0	0	0	14
1	C/C(c)=N	46	0	0	0	33
1	C/C=C	47	22.13347809	1	14	1099
1	C/C=N	48	0	0	0	42
1	C/C=[N+]	49	0	0	0	16
1	C/C=[NH+]	50	0	0	0	3
1	C/C=c	51	0	0	0	26
1	C/N=C	52	0	0	0	4
1	C/N=N	53	0	0	0	5
1	C/N=[N+]	54	0	0	0	5
1	C/N=c	55	0	0	0	2
1	C/[N+](=N)[O-]	56	0	0	0	5
1	C/[NH+]=C	57	0	0	0	2
1	C=C	58	24.44497408	1	11	1706
1	C=C(/C)Br	59	0	0	0	1
1	C=C(/C)C	60	0	0	0	1022
1	C=C(/C)Cl	61	0	0	0	6
1	C=C(/C)N	62	0	0	0	28
1	C=C(/C)O	63	0	0	0	16
1	C=C(/C)[NH+]	64	0	0	0	7
1	C=C(/C)[N]	65	0	0	0	7
1	C=C(/C)[S-]	66	0	0	0	1
1	C=C(/N)N	67	0	0	0	1
1	C=C(/N)O	68	0	0	0	1
1	C=C(/S)S	69	0	0	0	1
1	C=C(Br)Br	70	0	0	0	3
1	C=C(Br)C	71	0	0	0	10
1	C=C(C)Br	72	0	0	0	1
1	C=C(C)C	73	0.3057060936	1	8	4246
1	C=C(C)Cl	74	0	0	0	6
1	C=C(C)F	75	0	0	0	1
1	C=C(C)N	76	0	0	0	46
1	C=C(C)O	77	0	0	0	104
1	C=C(C)S	78	0	0	0	8
1	C=C(C)[N+]	79	0	0	0	92
1	C=C(C)[N-]	80	0	0	0	2
1	C=C(C)[NH+]	81	0	0	0	15
1	C=C(C)[NH2+]	82	0	0	0	4
1	C=C(C)[NH]	83	0	0	0	1
1	C=C(C)[N]	84	0	0	0	152
1	C=C(C)[O-]	85	0	0	0	9
1	C=C(C)[S]	86	0	0	0	16
1	C=C(Cl)C	87	0	0	0	45
1	C=C(Cl)Cl	88	8.739872368	1	3	25
1	C=C(F)C	89	0	0	0	2
1	C=C(F)Cl	90	0	0	0	1
1	C=C(F)F	91	0	0	0	3
1	C=C(N)C	92	0	0	0	19
1	C=C(N)O	93	0	0	0	1
1	C=C(N)P	94	0	0	0	3
1	C=C(N)[NH+]	95	0	0	0	6
1	C=C(O)C	96	0	0	0	87
1	C=C(O)Cl	97	0	0	0	1
1	C=C(P)P	98	0	0	0	1
1	C=C(S)C	99	0	0	0	29
1	C=C(S)S	100	0	0	0	4
1	C=C([N+])C	101	0	0	0	8
1	C=C([N-])P	102	0	0	0	2
1	C=C([O-])C	103	0	0	0	131
1	C=C([O-])O	104	0	0	0	2
1	C=C([O])[S-]	105	0	0	0	1
1	C=C([S-])C	106	0	0	0	1
1	C=C(\C)C	107	0	0	0	1101
1	C=C(\C)N	108	0	0	0	16
1	C=C(\C)O	109	0	0	0	15
1	C=C(\C)S	110	0	0	0	3
1	C=C(\C)[N+]	111	0	0	0	2
1	C=C(\C)[NH+]	112	0	0	0	7
1	C=C(\C)[N]	113	0	0	0	2
1	C=C(\C)n	114	0	0	0	4
1	C=C(\N)N	115	0	0	0	1
1	C=C(\N)O	116	0	0	0	1
1	C=C(\O)C	117	0	0	0	1
1	C=C(\S)Cl	118	0	0	0	2
1	C=C/Br	119	0	0	0	1
1	C=C/C	120	21.83159243	1	6	2059
1	C=C/Cl	121	7.755776462	1	1	21
1	C=C/N	122	0	0	0	21
1	C=C/O	123	0	0	0	29
1	C=C/S	124	0	0	0	23
1	C=C/[N+]	125	0	0	0	4
1	C=C/[NH2+]	126	0	0	0	2
1	C=C/[PH]	127	0	0	0	1
1	C=C/[Se]	128	0	0	0	1
1	C=C=C	129	0	0	0	5
1	C=CBr	130	0	0	0	1
1	C=CC	131	13.51590461	1	14	4116
1	C=CCl	132	7.579031153	1	2	4
1	C=CF	133	0	0	0	1
1	C=CN	134	7.420270272	1	2	65
1	C=CO	135	0	0	0	215
1	C=CP	136	0	0	0	1
1	C=CS	137	0	0	0	5
1	C=C[C+]	138	0	0	0	2
1	C=C[N+]	139	0	0	0	2
1	C=C[NH+]	140	0	0	0	5
1	C=C[NH2+]	141	0	0	0	6
1	C=C[NH3+]	142	0	0	0	1
1	C=C[N]	143	0	0	0	1
1	C=C\C	144	0	0	5	2736
1	C=C\Cl	145	7.056189676	1	1	11
1	C=C\N	146	0	0	0	43
1	C=C\O	147	0	0	0	29
1	C=C\S	148	0	0	0	4
1	C=C\[N+]	149	0	0	0	4
1	C=Cn	150	0	0	0	1
1	C=N	151	-3.164973831	1	2	30
1	C=N/C	152	0	0	0	17
1	C=N/N	153	0	0	0	17
1	C=N/O	154	0	0	0	121
1	C=N/[N+]	155	0	0	0	1
1	C=N/[O-]	156	0	0	0	1
1	C=N/n	157	0	0	0	1
1	C=NC	158	17.423065	1	4	279
1	C=NN	159	0	0	0	34
1	C=NO	160	0	0	0	42
1	C=NP	161	0	0	0	2
1	C=NS	162	0	0	0	1
1	C=N[N+]	163	0	0	0	3
1	C=N[N-]	164	0	0	0	2
1	C=N[O-]	165	0	0	0	2
1	C=N\C	166	0	0	0	7
1	C=N\N	167	0	0	0	5
1	C=N\O	168	0	0	0	75
1	C=N\P	169	0	0	0	1
1	C=N\[N+]	170	0	0	0	2
1	C=N\[O-]	171	0	0	0	2
1	C=Nc	172	0	0	0	6
1	C=O	173	-72.11637337	1	348	18842
1	C=S	174	0	0	0	136
1	C=S=C	175	0	0	0	1
1	C=S=O	176	0	0	0	6
1	C=[CH]	177	0	0	0	1
1	C=[CH][Hg]	178	0	0	0	1
1	C=[C](\C)[Hg]	179	0	0	0	1
1	C=[N+]	180	0	0	0	1
1	C=[N+](/C)C	181	0	0	0	2
1	C=[N+](/[O-])O	182	0	0	0	4
1	C=[N+](C)C	183	0	0	0	19
1	C=[N+](C)[Co-2]	184	0	0	0	20
1	C=[N+](C)[Co-3]	185	0	0	0	42
1	C=[N+](C)[Co-4]	186	0	0	0	2
1	C=[N+](C)[Ni-2]	187	0	0	0	3
1	C=[N+](C)[Ni-3]	188	0	0	0	1
1	C=[N+](C)[Ni]	189	0	0	0	1
1	C=[N+]([O-])[O-]	190	0	0	0	1
1	C=[N+](\C)[O-]	191	0	0	0	1
1	C=[N+](\[O-])O	192	0	0	0	3
1	C=[N+]=N	193	0	0	0	1
1	C=[N+]=[N-]	194	0	0	0	1
1	C=[NH+]/C	195	0	0	0	3
1	C=[NH+]/O	196	0	0	0	1
1	C=[NH+]C	197	0	0	0	69
1	C=[NH+]N	198	0	0	0	2
1	C=[NH+]P	199	-8.592171826	1	4	7
1	C=[NH+]\C	200	0	0	0	1
1	C=[NH2+]	201	16.71330023	1	9	369
1	C=[N](->[Co+])C	202	0	0	0	1
1	C=[N](->[Co-3])C	203	0	0	0	1
1	C=[O+][Fe-3]	204	0	0	0	2
1	C=[OH+]	205	0	0	0	4
1	C=[O]->[Fe-]	206	0	0	0	1
1	C=[O]->[Fe]	207	0	0	0	1
1	C=[O]~[Fe-]	208	0	0	0	1
1	C=[O]~[Fe]	209	0	0	0	1
1	C=[SH][Ni]	210	0	0	0	1
1	C=[Se]	211	0	0	0	1
1	C=c(/c)[n-]	212	0	0	0	1
1	C=c(/c)[nH+]	213	0	0	0	1
1	C=c(/c)[nH]	214	0	0	0	6
1	C=c(/c)[n]	215	0	0	0	25
1	C=c(\c)[nH]	216	0	0	0	1
1	C=c(\c)[n]	217	0	0	0	8
1	C=c(c)[n-]	218	0	0	0	1
1	C=c(c)[nH+]	219	0	0	0	5
1	C=c(c)[nH]	220	0	0	0	62
1	C=c(c)[n]	221	0	0	0	68
1	C=c(c)c	222	0	0	0	20
1	C=c(c)o	223	0	0	0	2
1	CB(O)O	224	0	0	0	1
1	CBr	225	0	0	0	98
1	CC	226	-10.26508226	1	140	16478
1	CC#C	227	0	0	0	31
1	CC#N	228	0	0	0	189
1	CC(=C)Br	229	0	0	0	1
1	CC(=C)C	230	19.95225074	1	13	1206
1	CC(=C)Cl	231	0	0	0	7
1	CC(=C)F	232	0	0	0	1
1	CC(=C)N	233	0	0	2	161
1	CC(=C)O	234	3.861733742	1	5	105
1	CC(=C)S	235	0	0	0	9
1	CC(=C)[N+]	236	0	0	0	37
1	CC(=C)[NH+]	237	0	0	0	8
1	CC(=C)[NH2+]	238	0	0	0	4
1	CC(=C)[NH3+]	239	0	0	0	6
1	CC(=C)[NH]	240	0	0	0	1
1	CC(=C)[N]	241	0	0	0	71
1	CC(=C)c	242	0	0	0	10
1	CC(=C)n	243	0	0	0	1
1	CC(=N)C	244	0.5936350553	1	5	248
1	CC(=N)N	245	5.313352791	1	3	42
1	CC(=N)O	246	0	0	0	16
1	CC(=N)S	247	0	0	0	50
1	CC(=N)[O-]	248	0	0	0	4
1	CC(=N)c	249	0	0	0	11
1	CC(=O)C	250	-9.175917408	1	10	2380
1	CC(=O)Cl	251	0	0	0	5
1	CC(=O)N	252	-5.215735124	1	17	1390
1	CC(=O)O	253	-42.32600564	1	16	4850
1	CC(=O)P	254	0	0	0	3
1	CC(=O)S	255	-13.83450009	1	19	1034
1	CC(=O)[C-]	256	0	0	0	6
1	CC(=O)[CH-]	257	0	0	0	12
1	CC(=O)[N+]	258	0	0	0	4
1	CC(=O)[N-]	259	0	0	0	15
1	CC(=O)[N]	260	0	0	0	1
1	CC(=O)[O-]	261	-32.96097566	1	236	6599
1	CC(=O)[O]	262	0	0	0	15
1	CC(=O)[S-]	263	0	0	0	2
1	CC(=O)[S]	264	0	0	0	4
1	CC(=O)c	265	0	0	0	214
1	CC(=O)n	266	0	0	0	2
1	CC(=S)C	267	0	0	0	2
1	CC(=S)Cl	268	0	0	0	1
1	CC(=S)N	269	0	0	0	3
1	CC(=S)[C-]	270	0	0	0	1
1	CC(=[N+])C	271	0	0	0	100
1	CC(=[N+])N	272	0	0	0	2
1	CC(=[N+])[CH+]	273	0	0	0	30
1	CC(=[NH+])C	274	0	0	0	20
1	CC(=[NH+])N	275	0	0	0	23
1	CC(=[NH+])[NH+]	276	0	0	0	1
1	CC(=[NH2+])C	277	0	0	0	2
1	CC(=[NH2+])N	278	0	0	0	2
1	CC(=[NH2+])O	279	0	0	0	3
1	CC(=[NH2+])P	280	0	0	0	1
1	CC(=[N])C	281	0	0	0	3
1	CC(=[O+])N	282	0	0	0	2
1	CC(=[O+])[N+]	283	0	0	0	1
1	CC(=[O])N	284	0	0	0	2
1	CC(=c)C	285	0	0	0	11
1	CC(Br)(Br)Br	286	0	0	0	1
1	CC(Br)=C	287	0	0	0	12
1	CC(Br)Br	288	0	0	0	3
1	CC(Br)C	289	0	0	0	2
1	CC(C)(C)C	290	0	0	25	2540
1	CC(C)(C)Cl	291	0	0	0	1
1	CC(C)(C)N	292	0	0	0	68
1	CC(C)(C)O	293	-9.238625432	1	2	819
1	CC(C)(C)S	294	0	0	3	85
1	CC(C)(C)[N+]	295	0	0	0	1
1	CC(C)(C)[NH+]	296	0	0	0	4
1	CC(C)(C)[NH2+]	297	0	0	0	30
1	CC(C)(C)[NH3+]	298	2.824865056	1	2	22
1	CC(C)(C)[N]	299	0	0	0	1
1	CC(C)(C)[O]	300	0	0	0	2
1	CC(C)(C)[S-]	301	0	0	0	4
1	CC(C)(C)[Si]	302	0	0	0	1
1	CC(C)(C)c	303	0	0	0	9
1	CC(C)(C)n	304	0	0	0	2
1	CC(C)(Cl)C	305	0	0	0	1
1	CC(C)(Cl)Cl	306	0	0	0	6
1	CC(C)(Cl)O	307	0	0	0	6
1	CC(C)(F)F	308	0	0	0	6
1	CC(C)(F)O	309	0	0	0	1
1	CC(C)(N)C	310	0	0	0	1
1	CC(C)(N)N	311	0	0	0	8
1	CC(C)(N)O	312	0	0	0	10
1	CC(C)(N)S	313	0	0	0	3
1	CC(C)(O)C	314	0	0	0	57
1	CC(C)(O)Cl	315	0	0	0	1
1	CC(C)(O)N	316	0	0	0	6
1	CC(C)(O)O	317	0	0	0	48
1	CC(C)(O)P	318	0	0	0	1
1	CC(C)(O)[NH2+]	319	0	0	0	1
1	CC(C)(O)c	320	0	0	0	8
1	CC(C)(S)C	321	0	0	0	1
1	CC(C)(S)N	322	0	0	0	1
1	CC(C)(S)O	323	0	0	0	1
1	CC(C)(S)S	324	0	0	0	1
1	CC(C)([N+])Br	325	0	0	0	1
1	CC(C)([N+])N	326	0	0	0	1
1	CC(C)([NH+])C	327	0	0	0	1
1	CC(C)([NH2+])O	328	0	0	0	1
1	CC(C)(c)C	329	0	0	0	5
1	CC(C)=C	330	0	0	0	659
1	CC(C)=N	331	0.4354958853	1	1	54
1	CC(C)=O	332	-27.61887962	1	61	1653
1	CC(C)=S	333	0	0	0	1
1	CC(C)=[N+]	334	0	0	0	2
1	CC(C)=[NH+]	335	0	0	0	1
1	CC(C)=[NH2+]	336	0	0	0	8
1	CC(C)=c	337	0	0	0	7
1	CC(C)Br	338	0	0	0	8
1	CC(C)C	339	6.199276041	1	11	3064
1	CC(C)Cl	340	-4.575716231	1	2	35
1	CC(C)F	341	0	0	0	7
1	CC(C)I	342	0	0	0	1
1	CC(C)N	343	10.80905927	1	4	514
1	CC(C)O	344	-25.65949865	1	13	1573
1	CC(C)P	345	0	0	0	1
1	CC(C)S	346	-0.1674814668	1	1	80
1	CC(C)[N+]	347	0	0	0	17
1	CC(C)[NH+]	348	0	0	0	131
1	CC(C)[NH2+]	349	3.611303972	1	1	93
1	CC(C)[NH3+]	350	0	0	0	227
1	CC(C)[N]	351	0	0	0	7
1	CC(C)[O]	352	0	0	0	1
1	CC(C)[S+]	353	0	0	0	1
1	CC(C)[S-]	354	0	0	0	1
1	CC(C)[SeH]	355	0	0	0	1
1	CC(C)c	356	0	0	0	27
1	CC(C)n	357	0	0	0	12
1	CC(Cl)(C)C	358	0	0	0	15
1	CC(Cl)(C)O	359	0	0	0	1
1	CC(Cl)(Cl)Br	360	0	0	0	1
1	CC(Cl)(Cl)C	361	0	0	0	22
1	CC(Cl)(Cl)Cl	362	8.441385482	1	4	35
1	CC(Cl)(Cl)O	363	0	0	0	2
1	CC(Cl)=C	364	0	0	0	47
1	CC(Cl)=N	365	0	0	0	5
1	CC(Cl)Br	366	0	0	0	3
1	CC(Cl)C	367	0	0	0	14
1	CC(Cl)Cl	368	-1.922526194	1	3	33
1	CC(Cl)N	369	0	0	0	2
