radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
1	O	-242.5086	1	1	45
2	[Mg+2]	-226.8268	1	1	11
1	[Mg+2]	-226.8268	1	1	11
1	O=P	-213.5376	2	169	4610
1	[O-]P	-191.4676	2	169	4514
1	C[O-]	-136.9309	2	251	7415
2	O=P(O)(O)O	-129.3237	5	4	57
2	O=P([O-])(O)O	-125.3384	5	77	3190
1	O=S	-112.9031	2	7	964
2	O=C=O	-103.0458	3	1	1
1	POP	-102.8362	3	71	2217
1	OP	-98.2125	2	29	386
1	CO	-97.8711	2	313	16617
2	O=P([O-])([O-])O	-93.5302	5	112	2349
2	O=C([O-])O	-89.3409	4	1	10
1	[O-]S	-86.2010	2	5	623
2	O=S(=O)([O-])O	-77.4583	5	1	316
2	O=S([O-])O	-75.7891	4	1	1
2	CP(=O)([O-])O	-74.5628	5	3	118
1	C=O	-72.1164	2	348	18842
1	OO	-70.2949	2	1	55
2	O=S(=O)([O-])[O-]	-70.2369	5	1	23
1	COP	-67.7658	3	160	4516
2	O=P([O-])([O-])OP(=O)(O)O	-64.6619	9	4	25
1	O=P(O)(O)O	-64.6619	5	4	57
1	O=P([O-])(O)O	-63.2010	5	77	3190
2	O=C[O-]	-62.1489	3	1	2
2	NP(=O)([O-])O	-54.6861	5	1	17
1	C#[O+]	-54.3679	2	1	1
1	N[NH3+]	54.3419	2	1	2
1	O=C=O	-51.5229	3	1	1
1	C	-50.2336	1	1	7
2	cC(=O)[O-]	-49.2719	4	11	615
1	CCO	-48.7247	3	262	11237
2	S	-48.1612	1	5	45
2	NC(=O)[O-]	-44.8375	4	1	16
1	COC	-44.1479	3	185	12170
2	CC(=O)[O-]	-44.0066	4	236	6599
2	C[C@@H](O)C	-43.9135	4	137	6386
2	CC(=O)O	-43.7890	4	16	4850
1	C[C@@H](C)O	-42.3992	4	88	4572
1	CC(=O)O	-42.3260	4	16	4850
1	cO	-41.6591	2	23	4637
1	[NH4+]	-41.5662	1	1	12
2	[NH4+]	-41.5662	1	1	12
2	O=P([O-])([O-])OP	-41.3711	6	5	42
1	C#N	41.0198	2	3	273
2	NC(=O)O	-40.5321	4	1	241
1	C[C@H](C)O	-40.0502	4	213	8977
1	c=O	-39.3950	2	64	2606
1	[Fe+2]	-39.2914	1	1	4
2	[Fe+2]	-39.2914	1	1	4
2	O=P([O-])(O)OP(=O)(O)O	-39.0019	9	2	21
2	O=P(O)(OP)OP	-39.0019	7	2	17
1	ncn	36.2482	3	63	1905
1	CN	-35.7928	2	35	1829
2	C[C@H](O)C	-34.5535	4	162	7647
2	ClC(Cl)(Cl)C(Cl)(Cl)Cl	34.5041	8	1	1
1	O=P([O-])([O-])O	-33.9997	5	112	2349
1	[N]=O	33.1829	2	1	3
1	CC(=O)[O-]	-32.9610	4	236	6599
2	N#[N+][O-]	32.0649	3	1	1
2	O=[N+]([O-])[O-]	-31.4227	4	1	9
1	O=C[O-]	-31.0745	3	1	2
1	O=C([O-])O	-29.7803	4	1	10
2	CC(=O)OP(=O)([O-])[O-]	-29.7457	8	3	19
1	C[C@H](O)C	-29.4324	4	163	8216
2	CS(C)=O	29.3854	4	1	39
1	CC(C)=O	-27.6189	4	61	1653
2	[O+]	-27.1839	1	1	2
2	O=NO	-27.0942	3	1	3
2	ClCCl	-27.0617	3	1	1
1	cnc	26.9754	3	107	3584
1	C[NH3+]	-26.8928	2	79	2701
1	cF	-26.6239	2	3	191
1	cc(F)c	-26.6239	4	3	187
2	cc(F)c	-26.6239	4	3	187
2	O=S(=O)([O-])OP	-25.8194	6	1	3
2	COP(=O)([O-])OS	-25.8194	7	1	4
2	O=P([O-])(O)OS(=O)(=O)[O-]	-25.8194	9	1	3
1	POS	-25.8194	3	1	4
1	O=S(=O)([O-])O	-25.8194	5	1	316
2	[NH+]P(=O)([O-])[O-]	-25.7765	5	4	8
2	COP(=O)(O)OP	-25.6600	7	2	12
2	CCOP(=O)(O)O	-25.6600	7	2	24
1	CC(C)O	-25.6595	4	13	1573
1	CC=O	-25.5545	3	21	778
1	CNC	-25.4224	3	85	5558
1	OS	-25.2630	2	1	13
1	O=S([O-])O	-25.2630	4	1	1
1	cc(N)n	24.9473	4	62	1808
1	CCP	-24.8543	3	3	84
1	CP(=O)([O-])O	-24.8543	5	3	118
