pair	criterion	tolerance	n_base	n_keep	n_drop	r	median_absdiff	n_both_zero	frac_both_zero	conc_area	conc_tilt	conc_cover	conc_semimajor	conc_semiminor	mvee_area	mvee_tilt	mvee_support
GC_vs_EQ	none		18157	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_DGPMS	none		25950	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
EQ_vs_DGPMS	none		19731	19731	0	0.8573	3.7400	57	0.0029	27330.1736	47.1539	0.9500	177.3660	49.0481	5566298.4164	55.9336	3
GC_vs_EQ	sigma	0.5000	18157	0	18157			0									0
GC_vs_EQ	sigma	1.0000	18157	88	18069	0.9592	0.8750	1	0.0114	32865.6878	40.8188	0.9432	270.5820	38.6629	44288.4847	41.3203	4
GC_vs_EQ	sigma	2.0000	18157	1107	17050	0.9375	1.5800	20	0.0181	12327.8454	41.7489	0.9494	148.2709	26.4656	119505.5201	41.8311	4
GC_vs_EQ	sigma	5.0000	18157	4155	14002	0.9312	2.4600	87	0.0209	22864.8739	39.0848	0.9499	198.3124	36.7003	642806.5386	39.4785	4
GC_vs_EQ	sigma	10.0000	18157	8396	9761	0.8997	3.3000	141	0.0168	29886.3074	38.5698	0.9500	205.8295	46.2184	1640804.3024	41.4647	3
GC_vs_EQ	sigma	20.0000	18157	16491	1666	0.8677	2.7800	184	0.0112	21979.1083	37.6804	0.9500	164.4735	42.5367	2973747.6607	32.9617	6
GC_vs_DGPMS	sigma	0.5000	25950	0	25950			0									0
GC_vs_DGPMS	sigma	1.0000	25950	409	25541	0.9523	0.0000	387	0.9462	5.2460	39.6411	0.9487	3.2958	0.5067	44765.7590	41.2786	4
GC_vs_DGPMS	sigma	2.0000	25950	1338	24612	0.9523	0.0000	906	0.6771	1009.7045	41.0001	0.9499	45.5485	7.0562	118582.2747	41.5086	4
GC_vs_DGPMS	sigma	5.0000	25950	2990	22960	0.9235	0.0000	1946	0.6508	1727.0653	35.1034	0.9505	54.0051	10.1794	212837.4798	39.7879	5
GC_vs_DGPMS	sigma	10.0000	25950	5579	20371	0.9313	0.2500	2622	0.4700	4560.6898	35.5061	0.9500	90.0586	16.1197	383395.4821	36.8942	4
GC_vs_DGPMS	sigma	20.0000	25950	12465	13485	0.9231	1.6400	3037	0.2436	9486.4526	34.8766	0.9499	126.5670	23.8580	997213.9994	31.8954	5
EQ_vs_DGPMS	sigma	0.5000	19731	0	19731			0									0
EQ_vs_DGPMS	sigma	1.0000	19731	3390	16341	0.9927	0.4600	42	0.0124	2294.3476	44.9456	0.9499	109.6837	6.6584	95885.7631	44.8647	4
EQ_vs_DGPMS	sigma	2.0000	19731	4899	14832	0.9945	0.5700	43	0.0088	3542.2869	44.9474	0.9500	146.3537	7.7042	143861.9575	44.8045	4
EQ_vs_DGPMS	sigma	5.0000	19731	5236	14495	0.9949	0.6200	43	0.0082	3769.9284	44.9260	0.9502	154.2814	7.7780	143861.9578	44.8045	4
EQ_vs_DGPMS	sigma	10.0000	19731	5913	13818	0.9926	0.8100	43	0.0073	4575.1752	44.9679	0.9499	154.5390	9.4237	143861.9568	44.8045	4
EQ_vs_DGPMS	sigma	20.0000	19731	10453	9278	0.9882	1.6100	43	0.0041	6221.4834	44.8575	0.9501	160.3910	12.3471	160737.9497	44.9756	6
GC_vs_EQ	ehat	0.5000	18157	0	18157			0									0
GC_vs_EQ	ehat	1.0000	18157	0	18157			0									0
GC_vs_EQ	ehat	2.0000	18157	0	18157			0									0
GC_vs_EQ	ehat	5.0000	18157	1540	16617	0.9558	1.6300	41	0.0266	10914.9040	41.7579	0.9500	152.4483	22.7902	187034.9310	41.5494	4
GC_vs_EQ	ehat	10.0000	18157	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_EQ	ehat	20.0000	18157	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_DGPMS	ehat	0.5000	25950	0	25950			0									0
GC_vs_DGPMS	ehat	1.0000	25950	0	25950			0									0
GC_vs_DGPMS	ehat	2.0000	25950	0	25950			0									0
GC_vs_DGPMS	ehat	5.0000	25950	2116	23834	0.9537	0.0000	1195	0.5647	1956.9890	40.8725	0.9499	63.9388	9.7426	184909.7586	41.6981	3
GC_vs_DGPMS	ehat	10.0000	25950	21349	4601	0.9027	3.8900	3145	0.1473	18821.6880	37.4204	0.9500	165.3870	36.2249	1701638.1630	36.3322	5
GC_vs_DGPMS	ehat	20.0000	25950	25077	873	0.8738	5.8800	3145	0.1254	31986.5485	38.3047	0.9500	200.4659	50.7899	2005460.9860	38.5433	5
EQ_vs_DGPMS	ehat	0.5000	19731	0	19731			0									0
EQ_vs_DGPMS	ehat	1.0000	19731	1291	18440	0.9977	0.4600	42	0.0325	28.4230	43.5142	0.9504	16.2524	0.5567	47.1259	45.2771	5
EQ_vs_DGPMS	ehat	2.0000	19731	2541	17190	0.9975	0.4600	42	0.0165	809.9140	45.0578	0.9504	85.7334	3.0070	94814.7825	45.3897	3
EQ_vs_DGPMS	ehat	5.0000	19731	7833	11898	0.9917	1.2000	43	0.0055	4584.4333	44.8073	0.9500	150.1346	9.7198	153042.0980	44.9025	4
EQ_vs_DGPMS	ehat	10.0000	19731	17249	2482	0.9733	2.9200	57	0.0033	13124.4521	44.6531	0.9500	189.5633	22.0382	244975.5448	45.5784	5
EQ_vs_DGPMS	ehat	20.0000	19731	19085	646	0.9635	3.4600	57	0.0030	21759.1590	44.9616	0.9500	225.3984	30.7285	494424.6777	46.1198	5
