pair	rule	criterion	tolerance	n_base	n_nan_crit	n_keep	n_drop	r	median_absdiff	n_both_zero	frac_both_zero	conc_area	conc_tilt	conc_cover	conc_semimajor	conc_semiminor	mvee_area	mvee_tilt	mvee_support
GC_vs_EQ	none	none		18157	0	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_DGPMS	none	none		25950	0	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
EQ_vs_DGPMS	none	none		19731	0	19731	0	0.8573	3.7400	57	0.0029	27330.1736	47.1539	0.9500	177.3660	49.0481	5566298.4164	55.9336	3
GC_vs_EQ	any	sigma	0.5000	18157	0	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_EQ	any	sigma	1.0000	18157	0	18069	88	0.8640	2.6300	193	0.0107	22648.4113	37.6641	0.9500	165.7470	43.4953	3729234.3951	26.9379	4
GC_vs_EQ	any	sigma	2.0000	18157	0	17050	1107	0.8630	2.8000	174	0.0102	23585.4195	37.5959	0.9500	168.8544	44.4612	3729234.3951	26.9379	4
GC_vs_EQ	any	sigma	5.0000	18157	0	14002	4155	0.8496	2.7000	107	0.0076	23250.8343	37.3389	0.9502	163.6106	45.2353	3729234.3951	26.9379	4
GC_vs_EQ	any	sigma	10.0000	18157	0	9761	8396	0.8360	2.4700	53	0.0054	21008.9874	36.8109	0.9500	152.2173	43.9330	3729234.3959	26.9379	4
GC_vs_EQ	any	sigma	20.0000	18157	0	1666	16491	0.8482	2.2300	10	0.0060	56223.0405	37.1363	0.9508	254.0001	70.4580	3014850.3083	30.0602	4
GC_vs_DGPMS	any	sigma	0.5000	25950	0	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
GC_vs_DGPMS	any	sigma	1.0000	25950	0	25541	409	0.8036	6.7700	2762	0.1081	37442.6245	39.4140	0.9500	191.5087	62.2340	4334303.1631	39.1453	5
GC_vs_DGPMS	any	sigma	2.0000	25950	0	24612	1338	0.8026	7.3400	2243	0.0911	38862.0658	39.4031	0.9500	194.8494	63.4859	4334303.1632	39.1453	5
GC_vs_DGPMS	any	sigma	5.0000	25950	0	22960	2990	0.8010	8.3400	1203	0.0524	40966.5860	39.5385	0.9500	199.5185	65.3577	4334303.1634	39.1453	5
GC_vs_DGPMS	any	sigma	10.0000	25950	0	20371	5579	0.7911	9.1500	527	0.0259	40142.7916	39.8805	0.9500	194.6682	65.6391	4334303.1637	39.1453	5
GC_vs_DGPMS	any	sigma	20.0000	25950	0	13485	12465	0.7689	13.1000	112	0.0083	52703.4250	41.2310	0.9499	216.1599	77.6093	4334303.1648	39.1453	5
EQ_vs_DGPMS	any	sigma	0.5000	19731	0	19731	0	0.8573	3.7400	57	0.0029	27330.1736	47.1539	0.9500	177.3660	49.0481	5566298.4164	55.9336	3
EQ_vs_DGPMS	any	sigma	1.0000	19731	0	16341	3390	0.8460	5.3900	15	0.0009	29875.3814	47.4251	0.9501	181.7417	52.3250	5566298.4100	55.9336	3
EQ_vs_DGPMS	any	sigma	2.0000	19731	0	14832	4899	0.8355	6.2300	14	0.0009	32770.8849	47.6528	0.9500	186.9905	55.7852	5566298.4066	55.9336	3
EQ_vs_DGPMS	any	sigma	5.0000	19731	0	14495	5236	0.8314	6.5100	14	0.0010	33424.1490	47.7313	0.9500	187.6038	56.7112	5566298.4064	55.9336	3
EQ_vs_DGPMS	any	sigma	10.0000	19731	0	13818	5913	0.8287	6.6150	14	0.0010	34074.9019	47.8038	0.9500	188.6118	57.5064	5566298.4036	55.9336	3
EQ_vs_DGPMS	any	sigma	20.0000	19731	0	9278	10453	0.8078	10.4100	14	0.0015	36768.8549	48.4442	0.9502	190.0042	61.5981	5566298.3839	55.9336	3
GC_vs_EQ	any	ehat	0.5000	18157	0	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_EQ	any	ehat	1.0000	18157	0	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_EQ	any	ehat	2.0000	18157	0	18157	0	0.8644	2.6200	194	0.0107	22650.2203	37.6773	0.9500	165.8526	43.4711	3729234.3951	26.9379	4
GC_vs_EQ	any	ehat	5.0000	18157	0	16617	1540	0.8612	2.8500	153	0.0092	24054.6040	37.5233	0.9500	169.9726	45.0474	3729234.3951	26.9379	4
GC_vs_EQ	any	ehat	10.0000	18157	0	0	18157			0									0
GC_vs_EQ	any	ehat	20.0000	18157	0	0	18157			0									0
GC_vs_DGPMS	any	ehat	0.5000	25950	486	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
GC_vs_DGPMS	any	ehat	1.0000	25950	486	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
GC_vs_DGPMS	any	ehat	2.0000	25950	486	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
GC_vs_DGPMS	any	ehat	5.0000	25950	486	23834	2116	0.8012	7.7750	1954	0.0820	40017.6799	39.3936	0.9500	197.3403	64.5485	4334303.1632	39.1453	5
GC_vs_DGPMS	any	ehat	10.0000	25950	486	4601	21349	0.6738	23.4000	4	0.0009	99354.1897	43.4184	0.9500	267.7946	118.0958	4334303.1634	39.1453	5
GC_vs_DGPMS	any	ehat	20.0000	25950	486	873	25077	0.4702	65.1200	4	0.0046	242697.7123	50.7993	0.9496	360.4828	214.3045	4331743.4509	37.8787	4
EQ_vs_DGPMS	any	ehat	0.5000	19731	436	19731	0	0.8573	3.7400	57	0.0029	27330.1736	47.1539	0.9500	177.3660	49.0481	5566298.4164	55.9336	3
EQ_vs_DGPMS	any	ehat	1.0000	19731	436	18440	1291	0.8572	4.3200	15	0.0008	29347.1212	47.1652	0.9500	183.7752	50.8310	5566298.4146	55.9336	3
EQ_vs_DGPMS	any	ehat	2.0000	19731	436	17190	2541	0.8485	5.0050	15	0.0009	29013.2625	47.3480	0.9500	179.8494	51.3497	5566298.4120	55.9336	3
EQ_vs_DGPMS	any	ehat	5.0000	19731	436	11898	7833	0.8268	8.2300	14	0.0012	34337.3899	47.9617	0.9506	188.8208	57.8852	5566298.3951	55.9336	3
EQ_vs_DGPMS	any	ehat	10.0000	19731	436	2482	17249	0.6961	24.7850	0	0.0000	86729.4163	52.7827	0.9496	258.7473	106.6942	5566298.2926	55.9335	3
EQ_vs_DGPMS	any	ehat	20.0000	19731	436	646	19085	0.2432	58.9200	0	0.0000	151319.8945	78.8659	0.9520	299.3783	160.8888	4167345.0361	68.3894	3
GC_vs_EQ	both	sigma	0.5000	18157	0	10904	7253	0.8544	4.3200	2	0.0002	29416.1582	37.7037	0.9500	185.3832	50.5087	3729234.3964	26.9379	4
GC_vs_EQ	both	sigma	1.0000	18157	0	4629	13528	0.8143	9.9200	0	0.0000	81702.1923	36.5390	0.9499	290.3229	89.5782	3729234.3983	26.9380	4
GC_vs_EQ	both	sigma	2.0000	18157	0	814	17343	0.6914	16.7200	0	0.0000	394601.1289	34.3934	0.9496	555.8304	225.9780	3361893.5874	22.2594	4
GC_vs_EQ	both	sigma	5.0000	18157	0	51	18106	0.1321	34.7800	0	0.0000	1104870.9380	13.6626	0.9412	684.3451	513.9093	1715309.3314	5.5090	3
GC_vs_EQ	both	sigma	10.0000	18157	0	13	18144	-0.4277	147.4800	0	0.0000						290442.5816	135.0665	3
GC_vs_EQ	both	sigma	20.0000	18157	0	4	18153	-0.5842	647.6000	0	0.0000						74115.0979	125.0871	3
GC_vs_DGPMS	both	sigma	0.5000	25950	0	25844	106	0.8038	6.5400	3061	0.1184	36816.1223	39.4129	0.9500	189.9503	61.6947	4334303.1631	39.1453	5
GC_vs_DGPMS	both	sigma	1.0000	25950	0	19415	6535	0.7921	9.8300	19	0.0010	44570.7074	39.4998	0.9500	205.5973	69.0053	4334303.1641	39.1453	5
GC_vs_DGPMS	both	sigma	2.0000	25950	0	17406	8544	0.7822	10.6500	17	0.0010	46153.7068	39.8999	0.9500	206.2752	71.2213	4334303.1641	39.1453	5
GC_vs_DGPMS	both	sigma	5.0000	25950	0	14264	11686	0.7608	11.4250	14	0.0010	43132.7407	40.0037	0.9500	194.1233	70.7261	4331743.4616	37.8787	4
GC_vs_DGPMS	both	sigma	10.0000	25950	0	10156	15794	0.7350	11.5100	4	0.0004	41705.0993	41.1624	0.9500	184.9067	71.7938	4331743.4625	37.8788	4
GC_vs_DGPMS	both	sigma	20.0000	25950	0	1694	24256	0.7243	11.1550	0	0.0000	144106.2301	43.3607	0.9498	338.9104	135.3468	4171376.8649	37.5057	4
EQ_vs_DGPMS	both	sigma	0.5000	19731	0	11722	8009	0.8472	5.9200	1	0.0001	37641.6413	47.3890	0.9499	204.4038	58.6178	5566298.3979	55.9336	3
EQ_vs_DGPMS	both	sigma	1.0000	19731	0	4835	14896	0.8074	12.1400	0	0.0000	68635.7332	48.9910	0.9499	259.7095	84.1226	5566298.3642	55.9335	3
