key	value	note
_source	/scratch/ctaylor/core_models_analysis/reports/thermoSourceMethod/tables	every value below is read from these tables
abstain_dir	6049	
abstain_mag	21448	
anchor	802	
bronze_dg	13201	
bronze_eq	4122	
bronze_gc	14063	
bronze_tec	0	
cov_dg	31924	
cov_eq	25028	
cov_gc	27313	
dirmix_dg	7259	
dirmix_eq	17574	
dirmix_gc	857	
dirmix_tec	1550	
gold_dg	5808	
gold_eq	2423	
gold_gc	309	
gold_tec	802	
graded_dg	31413	
graded_eq	20059	
graded_gc	27313	
graded_tec	1550	
kept_dir	27240	
kept_mag	11841	
m_gold	1.0	
m_silver	3.0	
n_feasible	33289	
n_nonempty	56002	
no_source	22713	
p_gold	0.9	
p_silver	0.7	
proxy_dg	11183	
proxy_eq	4011	
proxy_gc	10025	
r_corrob	1.5	
r_out	2.0	
silver_dg	12404	
silver_eq	13514	
silver_gc	12941	
silver_tec	748	
skeleton	748	
tol_dir	0.35	
tol_mag	2.0	
veto_mnx	35	
veto_quin	511	
veto_sent	4934	
z_corrob	1.0	
z_out	3.0	
