rxn	n_core_models	name	ec	grade_GC	grade_EQ	grade_DGPMS	grade_TECRDB	best_grade	best_source	birge	op_gc	op_eq	op_dgpms	op_graded	op_graded_trusted	op_graded_heldout	graded_pick	tecrdb_direction	tecrdb_match_tier
rxn05467	5683	CO2 transporter via diffusion		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn08966	5683	nitrious oxide transport via diffusion (extracellular to periplasm)		BRONZE		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn05319	5683	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn39175	5683	TrnRxn_cpd03662		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn05468	5683	TRANS-RXNAVI-26568.ce		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn08350	5683	D-lactate transport via proton symport (periplasm)		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn05488	5683	acetate reversible transport via proton symport	2.A.1.13.-	BRONZE		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn10577	5683	Nitrogen exchange, diffusion		BRONZE		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn09008	5683	nitric oxide transport via diffusion (extracellular to periplasm)				GOLD		GOLD	DGPMS				=	=	=	=	dGPredictor-ModelSEED		
rxn05559	5683	formate transport in via proton symport		BRONZE		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn08689	5683	h2s transport (periplasm)		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
rxn05469	5683	pyruvate reversible transport via proton symport		SILVER		GOLD		GOLD	DGPMS	0.0000	=		=	=	=	=	dGPredictor-ModelSEED		
