a	b	n_differ	a_grows_only	b_grows_only
implicit	gc	217	11	206
implicit	eq	157	24	133
implicit	dgpms	302	23	279
implicit	graded	300	23	277
implicit	graded_trusted	274	23	251
implicit	graded_heldout	300	23	277
gc	eq	86	86	0
gc	dgpms	95	17	78
gc	graded	93	17	76
gc	graded_trusted	115	41	74
gc	graded_heldout	93	17	76
eq	dgpms	147	0	147
eq	graded	145	0	145
eq	graded_trusted	119	0	119
eq	graded_heldout	145	0	145
dgpms	graded	2	2	0
dgpms	graded_trusted	28	28	0
dgpms	graded_heldout	2	2	0
graded	graded_trusted	26	26	0
graded	graded_heldout	0	0	0
graded_trusted	graded_heldout	26	0	26
