class	n	r	rho	median_absdiff	median_diff	frac_within_2	frac_over_15	median_abs_dg_eq
phosphoanhydride change	51	0.8205	0.7386	0.7500	0.3600	0.6667	0.0000	5.3500
ATP/ADP/AMP	41	0.8055	0.6575	0.8700	-0.4000	0.6829	0.0000	5.4900
EC 5 isomerase	335	0.2799	0.3670	1.3900	0.0000	0.5970	0.0746	0.6700
net proton == 0	2618	0.9164	0.7021	1.8900	-0.0400	0.5073	0.0661	2.9650
EC 3 hydrolase	956	0.4344	0.5429	2.0150	-0.0700	0.5000	0.0418	4.4650
EC 2 transferase	838	0.5229	0.5437	2.4400	0.0000	0.4630	0.0823	2.6500
EC 4 lyase	731	0.7994	0.6408	2.4800	0.0700	0.4419	0.0739	4.1700
CoA thioester change	444	0.7526	0.5477	2.5450	0.0100	0.4505	0.1014	5.6700
contains P	3203	0.9307	0.7165	2.6600	-0.3900	0.4349	0.0965	4.9200
contains S	890	0.8967	0.5752	2.6800	0.0000	0.4416	0.0888	4.8900
CO2	500	0.9737	0.7759	2.7000	-0.1700	0.4060	0.1460	5.9150
NAD(P)(H) redox	1859	0.9349	0.7398	3.2500	-0.9400	0.3841	0.1291	6.7200
aromatic ring present	3441	0.9224	0.7325	3.3300	-0.3500	0.3810	0.1343	5.6700
EC 1 oxidoreductase	2196	0.9258	0.8147	3.3500	-0.8700	0.3743	0.1494	8.6800
net proton != 0	2674	0.9255	0.7518	3.3600	-0.4700	0.3586	0.1402	6.6900
O2 involved	864	0.8624	0.6547	5.8750	-2.0200	0.2616	0.2766	95.0700
