compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00755	Hydroxymethylbilane	C40H38N4O17	-8	5	131.076
cpd03217	Lycopene	C40H56	0	6	49.528
cpd01932	1,2-Naphthalenediol	C10H8O2	0	12	-43.441
cpd01822	Hydroxyquinol	C6H6O3	0	9	-41.331
cpd00291	L-Dopa	C9H11NO4	0	8	-36.250
cpd00854	Homoprotocatechuate	C8H7O4	-1	5	-34.227
cpd00168	2,3-Dihydroxybenzoate	C7H5O4	-1	10	-33.046
cpd01468	Methylmalonate	C4H4O4	-2	14	-29.919
cpd02045	1-Hydroxy-2-naphthoate	C11H7O3	-1	6	-29.366
cpd00197	Protocatechuate	C7H5O4	-1	14	-29.212
cpd00077	Catechol	C6H6O2	0	14	-27.548
cpd16277	Fructoselysine 6-phosphate	C12H24N2O10P	-1	5	27.296
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	-4	18	-26.985
cpd00388	Allantoate	C4H7N4O4	-1	12	-25.170
cpd02357	Dopamine	C8H12NO2	1	11	-25.106
cpd00426	Homogentisate	C8H7O4	-1	15	-24.946
cpd02500	Protocatechuatealdehyde	C8H8O3	0	7	-24.778
cpd00577	Tretin M	C20H27O2	-1	8	-24.502
cpd00352	delta1-Piperideine-6-L-carboxylate	C6H8NO2	-1	5	24.453
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	6	-23.738
cpd00039	L-Lysine	C6H15N2O2	1	27	22.674
cpd03711	2-Hydroxychromene-2-carboxylate	C10H7O4	-1	6	-22.673
cpd02851	AICAR	C9H13N4O8P	-2	6	22.599
cpd00441	(CH3)3N	C3H10N	1	7	-22.539
cpd00214	Palmitate	C16H31O2	-1	13	-22.183
cpd02043	(S)-4-Hydroxymandelate	C8H7O4	-1	5	-22.050
cpd02884	FAICAR	C10H13N4O9P	-2	5	21.911
cpd00219	Prephenate	C10H8O6	-2	16	21.361
cpd00689	Porphobilinogen	C10H13N2O4	-1	7	20.653
cpd00247	Orotate	C5H3N2O4	-1	9	-20.597
cpd02465	tetrahydrodipicolinate	C7H7NO4	-2	11	20.530
cpd00323	L-Pipecolate	C6H11NO2	0	6	20.527
cpd00763	4-Maleylacetoacetate	C8H6O6	-2	7	19.882
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	12	-19.797
cpd00780	Fumarylacetoacetate	C8H6O6	-2	9	19.685
cpd00343	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	8	-19.094
cpd00616	Pretyrosine	C10H12NO5	-1	11	19.019
cpd00332	Mevalonic acid	C6H11O4	-1	11	18.813
cpd01498	Maleylacetate	C6H4O5	-2	8	18.792
cpd02298	1F-beta-D-Fructosylsucrose	C18H32O16	0	5	18.790
cpd00351	Saccharopine	C11H19N2O6	-1	6	18.265
cpd00634	Chlorogenate	C16H17O9	-1	9	-17.239
cpd00479	Gentisate	C7H5O4	-1	7	-17.199
cpd00270	Caffeoyl-CoA	C30H38N7O19P3S	-4	22	-16.890
cpd01501	2-Methylcitrate	C7H7O7	-3	10	-16.504
cpd00504	LL-2,6-Diaminopimelate	C7H14N2O4	0	6	16.435
cpd00919	Homocitrate	C7H7O7	-3	5	-16.391
cpd00516	meso-2,6-Diaminopimelate	C7H14N2O4	0	5	16.218
cpd00667	11-cis-Retinol	C20H30O	0	5	-16.131
cpd19486	16-Hydroxypalmitate	C16H31O3	-1	5	-16.057
cpd03130	(2E)-Octenoyl-CoA	C29H44N7O17P3S	-4	8	16.007
cpd02730	3-Deoxy-D-manno-octulosonate8-phosphate	C8H12O11P	-3	6	-15.933
cpd04654	Caffeine	C8H10N4O2	0	6	-15.670
cpd00282	S-Dihydroorotate	C5H5N2O4	-1	12	-14.844
cpd03120	(S)-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	6	14.804
cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	6	-14.779
cpd02503	3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	-4	5	14.636
cpd03119	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	6	14.462
cpd00465	Ureidoglycolate	C3H5N2O4	-1	14	-14.251
cpd00378	Formamide	CH3NO	0	6	-14.138
cpd00337	Hydrouracil	C4H6N2O2	0	6	14.086
cpd00875	KDO	C8H13O8	-1	5	-14.069
cpd00876	3-Hydroxyisobutyrate	C4H7O3	-1	7	14.035
cpd01011	Butanal	C4H8O	0	6	14.020
cpd00405	Hexadecanal	C16H32O	0	9	-14.011
cpd00623	Sphinganine	C18H40NO2	1	8	-13.617
cpd03480	2-Hydroxyphenylacetate	C8H7O3	-1	8	-13.597
cpd03126	(2E)-Hexadecenoyl-CoA	C37H60N7O17P3S	-4	8	-13.572
cpd07322	5-O-Caffeoylshikimic acid	C16H15O8	-1	8	-13.540
cpd01879	3-Dehydrosphinganine	C18H38NO2	1	8	-13.349
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	-1	17	13.066
cpd00179	Maltose	C12H22O11	0	16	12.898
cpd04653	Theobromine	C7H8N4O2	0	6	-12.799
cpd00717	Aromadendrin	C15H12O6	0	7	12.656
cpd00415	Quinol	C6H6O2	0	10	-12.648
cpd00053	L-Glutamine	C5H10N2O3	0	38	-12.602
cpd03503	Resivit	C15H14O7	0	5	-12.587
cpd03121	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	6	12.482
cpd00073	Urea	CH4N2O	0	29	-12.409
cpd00183	Sarcosine	C3H7NO2	0	5	-12.401
cpd08984	5-Hydroxyconiferaldehyde	C10H10O4	0	5	-12.277
cpd00304	Retinal	C20H28O	0	17	-12.238
cpd00132	L-Asparagine	C4H8N2O3	0	10	-12.227
cpd03529	N4-Acetylaminobutanal	C6H11NO2	0	8	12.122
cpd01420	beta-Carotene	C40H56	0	10	-12.080
cpd00695	2-Oxoglutaramate	C5H6NO4	-1	12	-12.037
cpd00489	4-Hydroxyphenylacetate	C8H7O3	-1	11	-12.031
cpd03332	p-Coumaraldehyde	C9H8O2	0	5	11.962
cpd00307	Cytosine	C4H5N3O	0	7	-11.725
cpd03187	Oxalosuccinate	C6H3O7	-3	11	-11.702
cpd00137	Citrate	C6H5O7	-3	19	-11.698
cpd00186	D-Glutamate	C5H8NO4	-1	11	-11.695
cpd00663	Acrylyl-CoA	C24H34N7O17P3S	-4	12	11.675
cpd03123	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	6	11.650
cpd02305	HPL	C9H9O4	-1	5	-11.632
cpd00264	Spermidine	C7H22N3	3	13	11.630
cpd00262	Oxalyl-CoA	C23H31N7O19P3S	-5	5	-11.599
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	5	-11.578
cpd00365	Retinol	C20H30O	0	10	-11.480
cpd00456	3-Hydroxybenzoate	C7H5O3	-1	8	-11.461
cpd00051	L-Arginine	C6H15N4O2	1	42	-11.400
cpd02125	Tiglyl-CoA	C26H38N7O17P3S	-4	5	11.362
cpd01964	3-Hydroxybenzaldehyde	C7H6O2	0	5	-11.234
cpd00320	D-Aspartate	C4H6NO4	-1	5	-11.090
cpd00486	Indoleacetaldehyde	C10H9NO	0	13	11.040
cpd19030	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	7	-11.018
cpd02597	cis-2-Methylaconitate	C7H5O6	-3	9	-10.999
cpd02691	2-methyl-3-hydroxy-butyryl-CoA	C26H40N7O18P3S	-4	8	10.952
cpd01722	p-Coumaryl alcohol	C9H10O2	0	5	10.879
cpd03845	beta-Cellobiose	C12H22O11	0	7	10.870
cpd11255	1,2-dihydroxy-3-keto-5-methylthiopentene	C6H10O3S	0	6	10.615
