rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn39434	allantoin racemase	5.1.99.3	0.000	0.000	0.000	0.000	(1) (S)(+)-Allantoin[0] <=> (1) (R)-Allantoin[0]		0.000	0.000	2	4
rxn15750	R08570	4.1.2.-;4.1.2.51	4.380	4.380	0.000	0.000	(1) 2-keto-3-deoxygluconate[0] <=> (1) Pyruvate[0] + (1) D-Glyceraldehyde[0]		0.000	0.000	3	6
rxn32828	Maleylacetoacetate isomerase	5.2.1.2	-0.000	-0.000	0.000	0.000	(1) 4-Maleylacetoacetate[0] <=> (1) Fumarylacetoacetate[0]		0.000	0.000	2	8
rxn14311	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA 25-epimerase	5.1.99.4	0.000	0.000	0.000	0.000	(1) (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA[0] <=> (1) (25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA[0]		0.000	0.000	2	48
rxn01532	all-trans-Retinal 11-cis-trans-isomerase	5.2.1.3	1.840	1.840	0.000	0.000	(1) Retinal[0] <=> (1) 11-cis-Retinal[0]		0.000	0.000	2	20
rxn39977			0.000	0.000	0.000	0.000	(1) (E)-Phenylacetaldoxime[0] <=> (1) (Z)-Phenylacetaldehyde oxime[0]		0.000	0.000	2	8
rxn24043	2-methylpropanal-oxime cis-trans isomerase		0.000	0.000	0.000	0.000	(1) Isobutyraldehyde oxime[0] <=> (1) (Z)-2-methylpropanal-oxime[0]		0.000	0.000	2	4
rxn27429	ureidoglycolase	4.3.2.3	1.210	1.210	0.000	0.000	(1) Ureidoglycolate[0] <=> (1) Glyoxalate[0] + (1) Urea[0]		0.000	0.000	3	3
rxn24042	2-methylpropanal-oxime cis-trans isomerase		0.000	0.000	0.000	0.000	(1) Isobutyraldehyde oxime[0] <=> (1) (Z)-2-methylpropanal-oxime[0]		0.000	0.000	2	4
rxn00562	(S)-ureidoglycolate urea-lyase (glyoxylate-forming)	4.3.2.3	1.210	1.210	0.000	0.000	(1) Ureidoglycolate[0] <=> (1) Glyoxalate[0] + (1) Urea[0]		0.000	0.000	3	3
rxn00321	L-Lysine 2,3-aminomutase	5.4.3.2	-1.100	-1.100	0.000	0.000	(1) L-Lysine[0] <=> (1) L-beta-Lysine[0]		0.000	0.000	2	6
rxn18927	2-dehydro-3-deoxy-L-pentonate aldolase	4.1.2.18;4.1.2.28	4.730	4.730	0.000	0.000	(1) 2-dehydro-3-deoxy-L-arabinonate[0] <=> (1) Pyruvate[0] + (1) Glycolaldehyde[0]		0.000	0.000	3	5
rxn33231	Aconitate hydratase	4.2.1.3;4.2.1.4	1.990	1.990	0.000	0.000	(1) Citrate[0] <=> (1) H2O[0] + (1) cis-Aconitate[0]	h2o	0.000	0.000	3	6
rxn32840	Maleylacetoacetate isomerase	5.2.1.2	-0.000	-0.000	0.000	0.000	(1) 4-Maleylacetoacetate[0] <=> (1) Fumarylacetoacetate[0]		0.000	0.000	2	8
rxn33227	Aconitate hydratase	4.2.1.3;4.2.1.4	1.990	1.990	0.000	0.000	(1) Citrate[0] <=> (1) H2O[0] + (1) cis-Aconitate[0]	h2o	0.000	0.000	3	6
rxn04247	R06381		0.000	0.000	0.000	0.000	(1) (1R,4S)-Iso-dihydrocarvone[0] <=> (1) (1S,4S)-Dihydrocarvone[0]		0.000	0.000	2	10
rxn33811	RXN-8035	5.2.1.-	0.000	0.000	0.000	0.000	(1) beta-D-Glucosyl-2-coumarate[0] <=> (1) beta-D-Glucosyl-2-coumarinate[0]		0.000	0.000	2	15
rxn33856	Fumarate Hydratase	4.2.1.2	0.820	0.820	0.000	0.000	(1) L-Malate[0] <=> (1) H2O[0] + (1) Fumarate[0]	h2o	0.000	0.000	3	4
rxn33858	Fumarate Hydratase	4.2.1.2	0.820	0.820	0.000	0.000	(1) L-Malate[0] <=> (1) H2O[0] + (1) Fumarate[0]	h2o	0.000	0.000	3	4
rxn33857	Fumarate Hydratase	4.2.1.2	0.820	0.820	0.000	0.000	(1) L-Malate[0] <=> (1) H2O[0] + (1) Fumarate[0]	h2o	0.000	0.000	3	4
