rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn03585	4-Hydroxy-3-methoxybenzoate:oxygen oxidoreductase	1.2.3.9	-118.030	121.920	-239.950	239.950	(1) NADH[0] + (1) O2[0] + (1) Vanillin[0] => (1) H2O[0] + (1) NAD[0] + (1) Vanillate[0]	h2o;nad;nadh;o2	0.000	-2.000	6	21
rxn03525	(S)-N-Methylcoclaurine, NADPH:oxygen oxidoreductase (C-O phenol-coupling)	1.14.21.3	-104.870	109.720	-214.590	214.590	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) (R)-N-Methylcoclaurine[0] + (1) (S)-Coclaurine[0] => (2) H2O[0] + (1) NADP[0] + (1) 2'-Norberbamunine[0]	h;h2o;nadp;nadph;o2	-1.000	-6.000	8	35
rxn25082	RXN-8702.v	1.14.21.3	-104.860	109.720	-214.580	214.580	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (2) (R)-N-Methylcoclaurine[0] => (2) H2O[0] + (1) NADP[0] + (1) Guattegaumerine[0]	h;h2o;nadp;nadph;o2	-1.000	-6.000	7	36
rxn16896	(S)-N-methylcoclaurine,NADPH:oxygen oxidoreductase (C-O phenol-coupling)	1.14.21.3	-104.860	109.720	-214.580	214.580	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) (S)-N-Methylcoclaurine[0] + (1) (R)-N-Methylcoclaurine[0] => (2) H2O[0] + (1) NADP[0] + (1) Berbamunine[0]	h;h2o;nadp;nadph;o2	-1.000	-6.000	8	36
rxn03530	(S)-N-Methylcoclaurine, NADPH:oxygen oxidoreductase (C-O phenol-coupling)	1.14.21.3	-104.860	109.720	-214.580	214.580	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (2) (R)-N-Methylcoclaurine[0] => (2) H2O[0] + (1) NADP[0] + (1) Guattegaumerine[0]	h;h2o;nadp;nadph;o2	-1.000	-6.000	7	36
rxn16895	(S)-cheilanthifoline,NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)	1.14.21.1	-114.390	69.060	-183.450	183.450	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) (S)-Cheilanthifoline[0] => (2) H2O[0] + (1) NADP[0] + (1) Stylopine[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn16898	(S)-tetrahydrocolumbamine oxidase (methylenedioxy-bridge-forming)	1.14.21.5	-114.390	69.060	-183.450	183.450	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Isocorypalmine[0] => (2) H2O[0] + (1) NADP[0] + (1) (S)-Canadine[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn17124	(S)-scoulerine,NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)	1.14.21.2	-114.320	67.180	-181.500	181.500	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) (S)-Scoulerine[0] => (2) H2O[0] + (1) NADP[0] + (1) (S)-Cheilanthifoline[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn06317	flavanone,NADPH:oxygen oxidoreductase	1.14.13.88	-211.940	-64.450	-147.490	147.490	(2) NADPH[0] + (2) O2[0] + (2) H+[0] + (1) Aromadendrin[0] => (2) H2O[0] + (2) NADP[0] + (1) Ampelopsin[0]	h;h2o;nadp;nadph;o2	-2.000	-16.000	7	21
rxn20661	quinolinate synthase	2.5.1.72	-51.410	76.600	-128.010	128.010	(1) Glycerone-phosphate[0] + (1) Iminoaspartate[0] => (2) H2O[0] + (1) Phosphate[0] + (1) H+[0] + (1) Quinolinate[0]	h;h2o;pi	1.000	4.000	6	7
