compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd00755	Hydroxymethylbilane	C40H38N4O17	-8	5	131.0760	131.0760	846.0000	4.5111	61	4	20	36	0.5625	0	27	-8.8367	12	0
cpd03217	Lycopene	C40H56	0	6	49.5280	49.5280	536.0000	5.4505	40	0	0	21	0.5385	0	16	12.9380	26	22
cpd01932	1,2-Naphthalenediol	C10H8O2	0	12	-43.4410	43.4410	160.0000	1.8355	12	2	10	13	1.0000	0	0	2.2510	4	0
cpd01822	Hydroxyquinol	C6H6O3	0	9	-41.3310	41.3310	126.0000	1.5153	9	1	6	9	1.0000	0	0	0.8034	3	0
cpd00291	L-Dopa	C9H11NO4	0	8	-36.2500	36.2500	197.0000	1.0209	14	1	6	10	0.7143	1	3	-1.9993	10	0
cpd00854	Homoprotocatechuate	C8H7O4	-1	5	-34.2270	34.2270	167.0000		12	1	6	10	0.8333	0	2	-0.6098	8	0
cpd00168	2,3-Dihydroxybenzoate	C7H5O4	-1	10	-33.0460	33.0460	153.0000	1.0231	11	1	6	11	1.0000	0	1	-0.5387	7	0
cpd01468	Methylmalonate	C4H4O4	-2	14	-29.9190	29.9190	116.0000	0.3317	8	0	0	4	0.5714	0	2	-2.8777	5	0
cpd02045	1-Hydroxy-2-naphthoate	C11H7O3	-1	6	-29.3660	29.3660	187.0000	1.5324	14	2	10	15	1.0000	0	1	0.9089	8	0
cpd00197	Protocatechuate	C7H5O4	-1	14	-29.2120	29.2120	153.0000	1.0231	11	1	6	11	1.0000	0	1	-0.5387	7	0
cpd00077	Catechol	C6H6O2	0	14	-27.5480	27.5480	110.0000		8	1	6	8	1.0000	0	0	1.0978	3	0
cpd16277	Fructoselysine 6-phosphate	C12H24N2O10P	-1	5	27.2960	27.2960	388.0000	1.2205	25	0	0	2	0.0833	4	14	-7.4224	17	0
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	-4	18	-26.9850	26.9850	1002.0000		65	3	9	15	0.2239	7	33	1.6180	31	0
cpd00388	Allantoate	C4H7N4O4	-1	12	-25.1700	25.1700	175.0000	1.6937	12	0	0	8	0.7273	0	3	-3.6010	7	0
cpd02357	Dopamine	C8H12NO2	1	11	-25.1060	25.1060	154.0000	1.0431	11	1	6	8	0.7273	0	2	-0.1178	7	0
cpd00426	Homogentisate	C8H7O4	-1	15	-24.9460	24.9460	167.0000	1.0269	12	1	6	10	0.8333	0	2	-0.6098	8	0
