class	n	r	rho	median_absdiff	median_diff	frac_within_2	frac_over_15	median_abs_dg_eq
EC 5 isomerase	460	0.2995	0.2562	1.9400	0.0000	0.5065	0.0717	0.5100
EC 4 lyase	945	0.7954	0.6917	2.4500	0.0300	0.4381	0.0995	4.0400
CoA thioester change	1170	0.6699	0.6480	2.5400	0.8200	0.4359	0.0641	4.5650
contains S	2311	0.7744	0.6506	2.6000	0.7100	0.4336	0.0814	4.4300
EC 2 transferase	1227	0.4899	0.5459	2.6500	-0.0100	0.4148	0.0872	2.5700
phosphoanhydride change	72	0.5029	0.3119	2.7600	-0.3400	0.4583	0.0000	5.8500
EC 3 hydrolase	1383	0.3199	0.5526	2.9600	-0.6000	0.4006	0.1338	4.3600
contains P	6941	0.9059	0.6739	3.0800	-0.4400	0.3855	0.1526	4.9400
net proton == 0	5499	0.7734	0.5249	3.1300	-0.5400	0.3839	0.1658	2.8100
ATP/ADP/AMP	47	0.7532	0.4317	3.2500	-1.1400	0.4468	0.0000	5.4200
NAD(P)(H) redox	3818	0.9304	0.7126	3.6700	-1.2400	0.3465	0.1964	7.7800
net proton != 0	5598	0.8890	0.7294	3.8050	-0.3000	0.3367	0.1851	6.7450
aromatic ring present	7440	0.8420	0.6457	4.0100	-0.5300	0.3315	0.2208	6.1000
CO2	924	0.9148	0.7249	4.2550	-0.2700	0.3604	0.2024	5.7450
EC 1 oxidoreductase	3702	0.8542	0.6971	4.4950	-1.2900	0.3158	0.2628	10.4700
O2 involved	1765	0.8372	0.5929	6.7100	-2.0800	0.2334	0.3524	94.9700
SAM/SAH methyl transfer	41	0.4198	0.1238	10.3300	1.2100	0.2683	0.3902	7.4900
