compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd01858	Ampelopsin	C15H12O8	0	5	-162.340
cpd00755	Hydroxymethylbilane	C40H38N4O17	-8	5	130.146
cpd03503	Resivit	C15H14O7	0	6	-129.877
cpd03344	Eriodictyol	C15H12O6	0	7	-121.691
cpd01135	Taxifolin	C15H12O7	0	9	-121.438
cpd31927	3,5-dihydroxy-1,4-naphthoquinol	C10H8O4	0	5	-105.187
cpd00813	Pyrogallol	C6H6O3	0	5	-80.258
cpd01020	Gallate	C7H5O5	-1	7	-78.059
cpd00398	Naringenin	C15H12O5	0	8	-77.860
cpd00717	Aromadendrin	C15H12O6	0	7	-77.686
cpd01822	Hydroxyquinol	C6H6O3	0	12	-73.199
cpd00675	LTA4	C20H29O3	-1	6	72.295
cpd03851	Eicosapentaenoic acid	C20H29O2	-1	5	70.164
cpd01273	Rosmarinate	C18H15O8	-1	5	-62.691
cpd01519	Arachidonyl-CoA	C41H62N7O17P3S	-4	20	55.832
cpd00188	Arachidonate	C20H31O2	-1	34	52.215
cpd40677	2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine	C28H50NO7P	0	6	49.477
cpd07322	5-O-Caffeoylshikimic acid	C16H15O8	-1	8	-49.154
cpd00077	Catechol	C6H6O2	0	21	-49.113
cpd03217	Lycopene	C40H56	0	13	48.315
cpd00003	NAD	C21H26N7O14P2	-1	1799	46.237
cpd40346	1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine	C41H74NO8P	0	5	46.035
cpd25913	ubiquinol(7)	C44H68O4	0	11	-45.938
cpd25792	coenzyme-Q7	C44H66O4	0	11	45.938
cpd01351	Ubiquinone-9	C54H82O4	0	44	45.936
cpd25914	ubiquinol(9)	C54H84O4	0	44	-45.936
cpd08232	Ubidecarenone	C59H90O4	0	44	45.936
cpd25915	ubiquinol(10)	C59H92O4	0	44	-45.936
cpd15560	Ubiquinone-8	C49H74O4	0	55	45.927
cpd15561	Ubiquinol-8	C49H76O4	0	55	-45.927
cpd15290	Ubiquinone-6	C39H58O4	0	7	45.925
cpd15291	Ubiquinol-6	C39H60O4	0	7	-45.925
cpd00873	Nicotinate ribonucleotide	C11H12NO9P	-2	14	45.566
cpd00291	L-Dopa	C9H11NO4	0	13	-45.102
cpd11179	Decylubiquinol	C19H32O4	0	5	-44.956
cpd11178	Decylubiquinone	C19H30O4	0	5	44.956
cpd00854	Homoprotocatechuate	C8H7O4	-1	8	-44.849
cpd01932	1,2-Naphthalenediol	C10H8O2	0	13	-44.629
cpd04117	4-Methylcatechol	C7H8O2	0	10	-44.413
cpd00006	NADP	C21H25N7O17P3	-3	2016	43.732
cpd16507	Protocatechualdehyde	C7H6O3	0	5	-43.667
cpd24677	R(+)-3,4-dihydroxyphenyllactate	C9H9O5	-1	5	-42.509
cpd00168	2,3-Dihydroxybenzoate	C7H5O4	-1	17	-42.272
cpd03185	Menadione	C11H8O2	0	8	41.234
cpd40344	1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine	C44H80NO8P	0	7	41.176
cpd02016	N-Ribosylnicotinamide	C11H15N2O5	1	15	40.636
cpd02357	Dopamine	C8H12NO2	1	17	-39.920
cpd02502	3-(3,4-Dihydroxyphenyl)pyruvate	C9H7O5	-1	8	-39.613
cpd40519	1-octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine	C46H84NO8P	0	5	39.486
cpd01208	Resorcin	C6H6O2	0	5	-39.150
cpd00197	Protocatechuate	C7H5O4	-1	23	-39.081
cpd02500	Protocatechuatealdehyde	C8H8O3	0	9	-37.221
cpd00218	Niacin	C6H4NO2	-1	29	37.021
cpd03440	2-Hexaprenyl-6-methoxy-1,4-benzoquinone	C37H54O3	0	6	36.147
cpd23060	Glycerol trioleate	C57H104O6	0	11	35.407
cpd21870	2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol	C37H56O3	0	6	-34.993
cpd00881	Caffeate	C9H7O4	-1	13	-34.953
cpd00426	Homogentisate	C8H7O4	-1	15	-34.425
cpd01399	Maltotetraose	C24H42O21	0	11	34.003
cpd03315	Gentisate aldehyde	C7H6O3	0	6	-33.665
cpd02298	1F-beta-D-Fructosylsucrose	C18H32O16	0	20	33.618
cpd00004	NADH	C21H27N7O14P2	-2	1789	33.295
cpd00634	Chlorogenate	C16H17O9	-1	9	-32.779
cpd00355	Nicotinamide ribonucleotide	C11H14N2O8P	-1	15	32.554
cpd00219	Prephenate	C10H8O6	-2	18	31.700
cpd00005	NADPH	C21H26N7O17P3	-4	2014	31.537
cpd00592	Formyl-CoA	C22H32N7O17P3S	-4	8	-31.246
cpd02333	Quinolinate	C7H3NO4	-2	8	30.007
cpd08984	5-Hydroxyconiferaldehyde	C10H10O4	0	5	-29.931
cpd03778	Terephthalate	C8H4O4	-2	7	29.033
cpd00307	Cytosine	C4H5N3O	0	9	-28.470
cpd09804	2-Naphthoic acid	C11H7O2	-1	6	28.180
cpd15353	2-Demethylmenaquinol 8	C50H72O2	0	29	-27.513
cpd15352	2-Demethylmenaquinone 8	C50H70O2	0	29	27.513
cpd09410	Demethylphylloquinone	C30H44O2	0	16	27.511
cpd23602	3-phytyl-1,4-naphtoquinol	C30H46O2	0	16	-27.511
cpd04358	Styrene	C8H8	0	5	27.490
cpd00479	Gentisate	C7H5O4	-1	9	-27.352
cpd00270	Caffeoyl-CoA	C30H38N7O19P3S	-4	37	-27.274
cpd00388	Allantoate	C4H7N4O4	-1	14	-27.134
cpd25047	(2Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid	C9H7O4	-1	5	-26.592
cpd12844	Phytonadiol	C31H48O2	0	26	-26.393
cpd01401	Vitamin K1	C31H46O2	0	27	26.393
cpd15995	Menaquinone6	C41H56O2	0	8	26.374
cpd15994	Menaquinol6	C41H58O2	0	8	-26.374
cpd15499	Menaquinol 8	C51H74O2	0	11	-26.373
cpd15500	Menaquinone 8	C51H72O2	0	11	26.373
cpd03721	Cellotriose	C18H32O16	0	5	26.220
cpd21748	1,2-dihexadecanoyl-sn-glycero-3-phosphocholine	C40H80NO8P	0	8	-25.869
cpd02548	Indole-3-acetyl-beta-1-D-glucose	C16H19NO7	0	7	25.699
cpd00957	2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone	C9H14N5O8P	-2	8	-25.677
cpd03037	7-Dehydrodesmosterol	C27H42O	0	9	25.630
cpd01262	Amylotriose	C18H32O16	0	15	25.017
cpd00935	2,6-Dioxo-6-phenylhexa-3-enoate	C12H9O4	-1	5	24.743
cpd22023	3-indoleglyoxal	C10H7NO2	0	6	24.362
cpd11180	Reduced nicotinamide riboside	C11H16N2O5	0	7	24.205
cpd39918	1,2-di-(9Z-octadecenoyl)-glycerol	C39H72O5	0	8	24.101
cpd00486	Indoleacetaldehyde	C10H9NO	0	17	24.098
cpd40630	2,3-di-(9Z)-octadecenoyl-sn-glycerol	C39H72O5	0	5	24.035
cpd00577	Tretin M	C20H27O2	-1	8	-23.758
cpd02915	5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde	C9H10NO6	-1	5	23.668
cpd00415	Quinol	C6H6O2	0	25	-23.457
cpd00565	Coniferin	C16H22O8	0	5	23.356
cpd15240	hexacosanoate	C26H51O2	-1	5	-23.118
cpd40629	1,3-di-(9Z-octadecenoyl)-glycerol	C39H72O5	0	6	23.088
cpd00422	Cinnamoyl-CoA	C30H38N7O17P3S	-4	17	22.982
cpd07274	Plastoquinone A	C53H80O2	0	8	22.965
cpd16503	Plastoquinol-9	C53H82O2	0	8	-22.965
cpd00561	Vanillin	C8H8O3	0	13	-22.946
cpd25193	1-18:0-lysoPC	C26H54NO7P	0	22	-22.300
cpd26148	distearoyl phosphatidate	C39H75O8P	-2	6	-22.156
cpd24504	4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	C29H46O2	0	14	22.063
cpd03332	p-Coumaraldehyde	C9H8O2	0	5	22.010
cpd00419	PM	C8H13N2O2	1	7	-21.973
cpd03989	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate	C9H11O4	-1	5	21.893
cpd01496	o-Aminomuconate	C6H6NO4	-1	5	21.864
cpd03451	SHCHC	C11H10O6	-2	6	21.838
cpd00133	Nicotinamide	C6H6N2O	0	21	21.667
cpd00443	ABEE	C7H6NO2	-1	9	21.487
cpd05235	tetracosanoate	C24H47O2	-1	8	-21.442
cpd07395	Ononin	C22H22O9	0	5	21.296
cpd00639	Formononetin	C16H11O4	-1	8	-21.296
cpd03222	5alpha-Cholesta-7,24-dien-3beta-ol	C27H44O	0	10	21.073
cpd03221	Zymosterol	C27H44O	0	7	21.073
cpd00780	Fumarylacetoacetate	C8H6O6	-2	9	21.032
cpd23597	1,2-dipalmitoyl-phosphatidyl-ethanolamine	C37H74NO8P	0	7	-21.008
cpd24503	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	C29H48O2	0	12	20.836
cpd02533	1-Palmitoylglycerophosphocholine	C24H50NO7P	0	54	-20.610
cpd27285	indole-3-ketol	C10H9NO2	0	5	20.604
cpd00667	11-cis-Retinol	C20H30O	0	8	-20.448
cpd00763	4-Maleylacetoacetate	C8H6O6	-2	7	20.424
cpd24650	1D-myo-inositol (1,2,3,5,6) pentakisphosphate	C6H7O21P5	-10	7	-20.406
cpd00931	5-Amino-6--5-phosphoribosylaminouracil	C9H13N4O9P	-2	7	20.316
cpd00045	Adenosine 3-5-bisphosphate	C10H11N5O10P2	-4	11	-20.218
cpd00518	2-Hydroxymuconic semialdehyde	C6H5O4	-1	7	20.125
cpd03238	7alpha-Hydroxycholest-4-en-3-one	C27H44O2	0	5	-20.121
cpd00216	Chorismate	C10H8O6	-2	27	19.970
cpd00658	Isochorismate	C10H8O6	-2	9	19.964
cpd00463	Cholestenone	C27H44O	0	7	-19.934
cpd07830	Caffeyl aldehyde	C9H8O3	0	5	-19.827
cpd23245	2-hydroxybenzoyl-CoA	C28H36N7O18P3S	-4	11	-19.490
cpd00263	Pyridoxol	C8H11NO3	0	7	-19.397
