rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn59776			-0.000	0.000	-0.000	0.000	(1) Cholate[0] + (1) 7alpha-hydroxy-3-oxochol-4-en-24-oyl-CoA[0] <=> (1) Choloyl-CoA[0] + (1) 7alpha-hydroxy-3-oxochol-4-en-24-oate[0]		0.000	0.000	4	45	0.870	0.000
rxn55532	63776		0.000	-0.000	0.000	0.000	(1) 1-O-hexadecyl-sn-glycero-3-phosphocholine[0] + (1) 1-octadecanoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine[0] <=> (1) 1-acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)[0] + (1) 1-O-hexadecyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine[0]		0.000	0.000	4	44	0.870	0.000
rxn55535	63788		0.000	-0.000	0.000	0.000	(1) 1-Palmitoylglycerophosphocholine[0] + (1) 1-octadecanoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine[0] <=> (1) 1-acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)[0] + (1) 1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine[0]		0.000	0.000	4	44	0.870	0.000
rxn00373	Oxalate carboxy-lyase	4.1.1.2	-3.970	-3.970	0.000	0.000	(1) H+[0] + (1) Oxalate[0] => (1) CO2[0] + (1) Formate[0]	co2;h	-1.000	-4.000	4	2	1.550	1.043
rxn54659	59396		-0.000	-0.000	0.000	0.000	(1) L-Leucine[0] <=> (1) D-Leucine[0]		0.000	0.000	2	6	1.220	0.701
rxn53440	53180		-0.580	-0.580	0.000	0.000	(1) D-Erythrose[0] <=> (1) D-Erythrulose[0]		0.000	0.000	2	4	0.930	0.286
rxn54091	56412		0.000	0.000	0.000	0.000	(1) dimyristoylphosphatidylcholine[0] + (1) 1,2-diolein[0] <=> (1) 1,2-Dimyristyl-sn-glycerol[0] + (1) 1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine[0]		0.000	0.000	4	44	0.870	0.000
rxn52807	49436		-0.000	-0.000	0.000	0.000	(1) Cholate[0] + (1) Deoxycholoyl-CoA[0] <=> (1) Choloyl-CoA[0] + (1) Deoxycholate[0]		0.000	0.000	4	45	0.870	0.000
rxn21076	RXN-10711.c	3.1.1.1	-1.450	-1.450	0.000	0.000	(1) H2O[0] + (1) IAA methyl ester[0] <=> (1) H+[0] + (1) Methanol[0] + (1) Indoleacetate[0]	h;h2o	1.000	2.000	5	11	20.110	0.854
rxn07328	R07497		1.630	1.630	0.000	0.000	(1) Fecosterol[0] <=> (1) Episterol[0]		0.000	0.000	2	28	1.220	1.668
rxn23415	RXN-13142.c	5.1.99.-;5.1.99.6	0.000	0.000	0.000	0.000	(1) (R)-NADPHX[0] <=> (1) (6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide 2'-phosphate[0]		0.000	0.000	2	21	28.380	0.000
rxn22370	indol-3-ylacetaldoxime isomerase		0.000	0.000	0.000	0.000	(1) 3-Indoleacetaldoxime[0] <=> (1) (Z)-3-indoleacetaldoxime[0]		0.000	0.000	2	10	25.380	0.000
rxn23155	NAD(P)H-hydrate epimerase	5.1.99.-;5.1.99.6	0.000	0.000	0.000	0.000	(1) (6R)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide[0] <=> (1) (6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide[0]		0.000	0.000	2	21	28.380	0.000
rxn24042	2-methylpropanal-oxime cis-trans isomerase		0.000	0.000	0.000	0.000	(1) Isobutyraldehyde oxime[0] <=> (1) (Z)-2-methylpropanal-oxime[0]		0.000	0.000	2	4	25.380	0.000
rxn24043	2-methylpropanal-oxime cis-trans isomerase		0.000	0.000	0.000	0.000	(1) Isobutyraldehyde oxime[0] <=> (1) (Z)-2-methylpropanal-oxime[0]		0.000	0.000	2	4	25.380	0.000
rxn01532	all-trans-Retinal 11-cis-trans-isomerase	5.2.1.3	1.840	1.840	0.000	0.000	(1) Retinal[0] <=> (1) 11-cis-Retinal[0]		0.000	0.000	2	20	1.220	0.701
rxn42793		5.3.3.19	0.000	0.000	0.000	0.000	(1) 3-[(2E,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate[0] <=> (1) 3-[(2Z,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate[0]		0.000	0.000	2	9	31.080	0.000
rxn42485	2-methylbutanoyl-CoA thioesterase		-6.460	-6.460	0.000	0.000	(1) H2O[0] + (1) 2-Methylbutyryl-CoA[0] => (1) CoA[0] + (1) H+[0] + (1) 2-Methylbutyrate[0]	coa;h;h2o	1.000	2.000	5	26	18.030	0.345
rxn42561			1.630	1.630	0.000	0.000	(1) porifersta-8,25(27)-dienol[0] <=> (1) porifersta-7,25(27)-dienol[0]		0.000	0.000	2	29	1.220	1.668
rxn38305	RXN-10711.e	3.1.1.1	-1.450	-1.450	0.000	0.000	(1) H2O[0] + (1) IAA methyl ester[0] <=> (1) H+[0] + (1) Methanol[0] + (1) Indoleacetate[0]	h;h2o	1.000	2.000	5	11	20.110	0.854
rxn38306	RXN-10711.v	3.1.1.1	-1.450	-1.450	0.000	0.000	(1) H2O[0] + (1) IAA methyl ester[0] <=> (1) H+[0] + (1) Methanol[0] + (1) Indoleacetate[0]	h;h2o	1.000	2.000	5	11	20.110	0.854
rxn38674	RXN66-25.e	5.3.3.5	-1.630	-1.630	0.000	0.000	(1) Lathosterol[0] <=> (1) Zymostenol[0]		0.000	0.000	2	27	1.220	1.668
rxn38675	RXN66-25.r	5.3.3.5	-1.630	-1.630	0.000	0.000	(1) Lathosterol[0] <=> (1) Zymostenol[0]		0.000	0.000	2	27	1.220	1.668
rxn38680	RXN66-320.e	5.3.3.5	1.630	1.630	0.000	0.000	(1) Zymosterol[0] <=> (1) 5alpha-Cholesta-7,24-dien-3beta-ol[0]		0.000	0.000	2	27	1.220	0.701
rxn38681	RXN66-320.r	5.3.3.5	1.630	1.630	0.000	0.000	(1) Zymosterol[0] <=> (1) 5alpha-Cholesta-7,24-dien-3beta-ol[0]		0.000	0.000	2	27	1.220	0.701
rxn01259	Isomaltose 6-alpha-D-glucanohydrolase	3.2.1.10	-2.010	-2.010	0.000	0.000	(1) H2O[0] + (1) Brachiose[0] <=> (2) D-Glucose[0]	h2o	0.000	0.000	3	12	0.900	0.204
rxn45684			0.000	0.000	0.000	0.000	(1) (E)-4-Hydroxyphenylacetaldehyde-oxime[0] <=> (1) (Z)-4-Hydroxyphenylacetaldehyde-oxime[0]		0.000	0.000	2	8	25.380	0.000
rxn00779	D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase	1.2.1.9	-10.090	-10.090	0.000	0.000	(1) H2O[0] + (1) NADP[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 3-Phosphoglycerate[0]	h;h2o;nadp;nadph	2.000	14.000	6	21	0.870	0.128
rxn44847			-7.040	-7.040	0.000	0.000	(1) H2O[0] + (1) 2-Arachidonoylglycerol[0] <=> (1) H+[0] + (1) Glycerol[0] + (1) Arachidonate[0]	h;h2o	1.000	2.000	5	23	14.760	0.759
rxn44094			1.630	1.630	0.000	0.000	(1) ergosta-8,25(27)-dienol[0] <=> (1) ergosta-7,25(27)-dienol[0]		0.000	0.000	2	28	1.220	1.668
rxn34248	Oxalate decarboxylase	4.1.1.2	-3.970	-3.970	0.000	0.000	(1) H+[0] + (1) Oxalate[0] => (1) CO2[0] + (1) Formate[0]	co2;h	-1.000	-4.000	4	2	1.550	1.043
rxn34300	glycolate dehydrogenase	1.1.1.26;1.1.1.29;1.1.99.14	10.560	10.560	0.000	0.000	(1) NAD[0] + (1) Glycolate[0] <=> (1) NADH[0] + (1) Glyoxalate[0] + (1) H+[0]	h;nad;nadh	1.000	4.000	5	21	0.900	0.204
rxn02360	trans-4-Hydroxy-L-proline 2-epimerase	5.1.1.8	0.010	0.010	0.000	0.000	(1) trans-4-Hydroxy-L-proline[0] <=> (1) cis-4-Hydroxy-D-proline[0]		0.000	0.000	2	5	1.220	0.701
rxn32527	RXN0A-10711	3.1.1.1	-1.450	-1.450	0.000	0.000	(1) H2O[0] + (1) IAA methyl ester[0] <=> (1) H+[0] + (1) Methanol[0] + (1) Indoleacetate[0]	h;h2o	1.000	2.000	5	11	20.110	0.854
rxn32938	-		1.630	1.630	0.000	0.000	(1) Fecosterol[0] <=> (1) Episterol[0]		0.000	0.000	2	28	1.220	1.668
rxn51800	43812		-0.000	0.000	-0.000	0.000	(1) 1-Palmitoylglycerophosphocholine[0] + (1) (2-{[2,3-bis(octadecanoyloxy)propyl phosphonato]oxy}ethyl)trimethylazanium[0] <=> (1) 1-18:0-lysoPC[0] + (1) 1-hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine[0]		0.000	0.000	4	44	0.870	0.000
rxn51801	43816		-0.000	0.000	-0.000	0.000	(1) 1-Palmitoylglycerophosphocholine[0] + (1) 1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine[0] <=> (1) 1-Oleoylglycerophosphocholine[0] + (1) 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine[0]		0.000	0.000	4	44	0.870	0.000
rxn51802	43820		0.000	0.000	0.000	0.000	(1) 1-Palmitoylglycerophosphocholine[0] + (1) 1-16:0-2-18:2-phosphatidylethanolamine[0] <=> (1) 1-16:0-2-18:2-phosphatidylcholine[0] + (1) 1-16:0-lysoPE[0]		0.000	0.000	4	42	0.870	0.000
rxn51803	43824		-0.020	-0.020	0.000	0.000	(1) 1-Palmitoylglycerophosphocholine[0] + (1) 1-16:0-2-18:2-phosphatidate[0] <=> (1) 1-Palmitoylglycerol 3-phosphate[0] + (1) 1-16:0-2-18:2-phosphatidylcholine[0]		0.000	0.000	4	42	0.870	0.000
rxn04082	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	-0.120	-0.120	0.000	0.000	(1) L-ribulose-5-phosphate[0] <=> (1) D-Xylulose5-phosphate[0]		0.000	0.000	2	5	0.950	0.313
rxn27867	GABA transaminase	2.6.1.19	1.570	1.570	0.000	0.000	(1) 2-Oxoglutarate[0] + (1) GABA[0] <=> (1) L-Glutamate[0] + (1) 4-Oxobutanoate[0]	glu	0.000	-2.000	4	5	0.970	0.350
rxn03281	delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase	5.3.3.5	1.630	1.630	0.000	0.000	(1) Zymosterol[0] <=> (1) 5alpha-Cholesta-7,24-dien-3beta-ol[0]		0.000	0.000	2	27	1.220	0.701
rxn02904	(S)-4-Hydroxymandelate racemase	5.1.2.2	0.000	0.000	0.000	0.000	(1) (S)-4-Hydroxymandelate[0] <=> (1) (R)-4-Hydroxymandelate[0]		0.000	0.000	2	8	28.380	0.000
