solver	rmse_bar	n	ccc	r	slope	rmse	median_absdiff	coverage	feasible	min_decile_retention	top_decile_retention
oracle	1.00000	3943	0.99938	0.99939	0.99814	0.99967	0.77000	0.35532			
oracle	1.50000	5189	0.99884	0.99885	0.99501	1.49957	1.07000	0.46760			
oracle	2.00000	6184	0.99787	0.99789	0.99233	1.99947	1.37000	0.55727			
oracle	2.50000	6917	0.99688	0.99690	0.99183	2.49988	1.58000	0.62332			
oracle	3.00000	7464	0.99566	0.99567	0.99087	2.99995	1.78000	0.67261			
oracle	4.00000	8291	0.99244	0.99247	0.98683	3.99997	2.10000	0.74714			
oracle	5.00000	8911	0.98837	0.98841	0.98476	4.99882	2.36000	0.80301			
oracle	7.50000	9979	0.97556	0.97586	0.97055	7.49974	2.85000	0.89925			
oracle	10.00000	10431	0.96115	0.96234	0.93297	9.99665	3.07000	0.93998			
oracle	15.00000	10867	0.92051	0.92243	0.92051	14.99659	3.28000	0.97927			
oracle	20.00000	11084	0.86756	0.87162	0.90460	19.93370	3.43000	0.99883			
rule	1.00000	0						0.00000	False		
rule	1.50000	835	0.99041	0.99051	1.00104	1.47704	0.54000	0.07525	True	0.00000	0.00000
rule	2.00000	2140	0.99314	0.99316	0.98763	1.99942	0.77000	0.19284	True	0.03978	0.03978
rule	2.50000	2565	0.99364	0.99381	0.97557	2.49981	0.92000	0.23114	True	0.06691	0.06691
rule	3.00000	3246	0.98540	0.98540	0.98696	2.99787	1.22000	0.29251	True	0.06781	0.06781
rule	4.00000	4404	0.97612	0.97656	0.95050	3.99291	1.38000	0.39686	True	0.10759	0.10759
rule	5.00000	5556	0.95615	0.95633	0.96532	4.97735	1.69000	0.50068	True	0.11664	0.11664
rule	7.50000	7523	0.96652	0.96715	0.96481	7.48609	2.27000	0.67793	True	0.37253	0.40868
rule	10.00000	9413	0.95225	0.95534	0.89721	9.98941	2.70000	0.84825	True	0.43806	0.77306
rule	15.00000	9574	0.95032	0.95269	0.90414	10.38201	2.76000	0.86276	True	0.46768	0.80108
rule	20.00000	9574	0.95032	0.95269	0.90414	10.38201	2.76000	0.86276	True	0.46768	0.80108
rule_floored	1.00000	0						0.00000	False		
rule_floored	1.50000	0						0.00000	False		
rule_floored	2.00000	0						0.00000	False		
rule_floored	2.50000	0						0.00000	False		
rule_floored	3.00000	0						0.00000	False		
rule_floored	4.00000	0						0.00000	False		
rule_floored	5.00000	5414	0.98124	0.98150	0.96249	4.89429	1.64000	0.48788	True		
rule_floored	7.50000	7509	0.96588	0.96782	0.92219	7.45999	2.17000	0.67667	True		
rule_floored	10.00000	9385	0.95296	0.95607	0.89782	9.94273	2.70000	0.84572	True		
rule_floored	15.00000	9551	0.95133	0.95389	0.90259	10.26415	2.74000	0.86068	True		
rule_floored	20.00000	9551	0.95133	0.95389	0.90259	10.26415	2.74000	0.86068	True		
