rxn	name	ec	chem_class	dg_eq	dg_dgp	dgp_uncertainty	eq_uncertainty	absdiff
rxn59776			Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn00230	diphosphate:acetate phosphotransferase	2.7.2.12	Group transfer: phosphoryl	5.7300	5.7300	0.8900	0.1539	0.0000
rxn56314	67432		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn56331	67504		Other / unclassified	-0.0000	-0.0000	0.8700	0.0000	0.0000
rxn56330	67500		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn56327	67488		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56319	67456		Other / unclassified	0.0000	-0.0000	0.8700	0.0000	0.0000
rxn56315	67436		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56335	67520		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56333	67512		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56351	67584		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn56394	67780		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56391	67768		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56390	67764		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56389	67760		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56388	67756		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn56408	67836		Other / unclassified	0.0000	-0.0000	0.8700	0.0000	0.0000
rxn56404	67820		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn03281	delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase	5.3.3.5	Isomerisation / rearrangement	1.6300	1.6300	1.2200	0.7007	0.0000
rxn02360	trans-4-Hydroxy-L-proline 2-epimerase	5.1.1.8	Isomerisation / rearrangement	0.0100	0.0100	1.2200	0.7007	0.0000
rxn54091	56412		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn31400	R_Glycolate_NAD__oxidoreductase	1.1.1.26;1.1.1.29;1.1.99.14	Redox: carbon, hydride transfer	10.5600	10.5600	0.9000	0.2043	0.0000
rxn00373	Oxalate carboxy-lyase	4.1.1.2	C-C bond: carboxylation / decarboxylation	-3.9700	-3.9700	1.5500	1.0427	0.0000
rxn00779	D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase	1.2.1.9	Redox: carbon, hydride transfer	-10.0900	-10.0900	0.8700	0.1282	0.0000
rxn52807	49436		Other / unclassified	-0.0000	-0.0000	0.8700	0.0000	0.0000
rxn53440	53180		Other / unclassified	-0.5800	-0.5800	0.9300	0.2861	0.0000
rxn01532	all-trans-Retinal 11-cis-trans-isomerase	5.2.1.3	Isomerisation / rearrangement	1.8400	1.8400	1.2200	0.7007	0.0000
rxn55532	63776		Other / unclassified	0.0000	-0.0000	0.8700	0.0000	0.0000
rxn55535	63788		Other / unclassified	0.0000	-0.0000	0.8700	0.0000	0.0000
rxn04082	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	Isomerisation / rearrangement	-0.1200	-0.1200	0.9500	0.3134	0.0000
rxn38681	RXN66-320.r	5.3.3.5	Isomerisation / rearrangement	1.6300	1.6300	1.2200	0.7007	0.0000
rxn38680	RXN66-320.e	5.3.3.5	Isomerisation / rearrangement	1.6300	1.6300	1.2200	0.7007	0.0000
rxn19742	GABA-oxoglutarate aminotransferase	2.6.1.19	Group transfer: amino / amido	1.5700	1.5700	0.9700	0.3504	0.0000
rxn34248	Oxalate decarboxylase	4.1.1.2	C-C bond: carboxylation / decarboxylation	-3.9700	-3.9700	1.5500	1.0427	0.0000
rxn34300	glycolate dehydrogenase	1.1.1.26;1.1.1.29;1.1.99.14	Redox: carbon, hydride transfer	10.5600	10.5600	0.9000	0.2043	0.0000
rxn54659	59396		Other / unclassified	-0.0000	-0.0000	1.2200	0.7007	0.0000
rxn00512	Glycolate:NAD+ oxidoreductase	1.1.1.26;1.1.1.29;1.1.99.14	Redox: carbon, hydride transfer	10.5600	10.5600	0.9000	0.2043	0.0000
rxn27867	GABA transaminase	2.6.1.19	Group transfer: amino / amido	1.5700	1.5700	0.9700	0.3504	0.0000
rxn15726	R08198	1.1.1.95;1.1.99.2	Redox: carbon, hydride transfer	6.5400	6.5400	1.0600	0.4955	0.0000
rxn01259	Isomaltose 6-alpha-D-glucanohydrolase	3.2.1.10	Hydrolysis	-2.0100	-2.0100	0.9000	0.2037	0.0000
rxn51796	43796		Other / unclassified	0.0000	-0.0000	0.8700	0.0000	0.0000
rxn51798	43804		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn51802	43820		Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn51803	43824		Other / unclassified	-0.0200	-0.0200	0.8700	0.0000	0.0000
rxn51801	43816		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn51800	43812		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn51799	43808		Other / unclassified	-0.0000	0.0000	0.8700	0.0000	0.0000
rxn01057	lactate racemase	5.1.2.1	Isomerisation / rearrangement	0.7400	0.7400	1.0700	0.5075	0.0000
rxn01204	4-aminobutanoate:2-oxoglutarate aminotransferase	2.6.1.19	Group transfer: amino / amido	1.5700	1.5700	0.9700	0.3504	0.0000
rxn59927			Other / unclassified	0.0000	0.0000	0.8700	0.0000	0.0000
rxn01682	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase	4.1.2.8;4.2.1.20	C-C bond: aldol / Claisen	4.5900	4.5800	1.2200	0.7007	0.0100
