rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn42483		3.1.1.M1	348.940	17.950	330.990	330.990	(1) Pedunculagin[0] <=> (1) D-Glucose[0] + (3) H+[0] + (2) Ellagic acid[0]	h	3.000	10.000	4	34	210.930	
rxn47832	ellagitannin acyl esterase		133.130	-152.180	285.310	285.310	(4) H2O[0] + (1) Pedunculagin[0] <=> (1) D-Glucose[0] + (3) H+[0] + (2) 3,4,5,3',4',5'-hexahydroxydiphenate[0]	h;h2o	3.000	10.000	5	34	115.460	
rxn40560		1.10.3.-	18.700	-201.710	220.410	220.410	(1) O2[0] + (2) 4-hydroxy-3,5-dimethoxybenzaldehyde azine[0] <=> (2) H2O[0] + (2) TMAMQ[0]	h2o;o2	0.000	0.000	4	18	288.320	
rxn47342			-13.440	-227.140	213.700	213.700	(1) O2[0] + (2) 3,5-dihydroxy-1,4-naphthoquinol[0] => (2) H2O[0] + (2) H+[0] + (2) 3,5-Dihydroxy-1,4-naphthoquinone[0]	h;h2o;o2	2.000	4.000	5	10	125.540	
rxn35640	phenylacetyl-CoA dehydrogenase	1.17.5.1	-45.710	141.130	-186.840	186.840	(1) H2O[0] + (1) Phenylacetyl-CoA[0] + (2) Ubiquinone-9[0] => (1) Phenylglyoxylyl-CoA[0] + (2) ubiquinol(9)[0]	h2o	0.000	0.000	5	54	162.990	2.968
rxn35641	phenylacetyl-CoA dehydrogenase	1.17.5.1	-45.710	141.130	-186.840	186.840	(1) H2O[0] + (1) Phenylacetyl-CoA[0] + (2) Ubidecarenone[0] => (1) Phenylglyoxylyl-CoA[0] + (2) ubiquinol(10)[0]	h2o	0.000	0.000	5	59	162.990	2.968
rxn35639	phenylacetyl-CoA dehydrogenase	1.17.5.1	-45.710	141.130	-186.840	186.840	(1) H2O[0] + (1) Phenylacetyl-CoA[0] + (2) Ubiquinone-8[0] => (1) Phenylglyoxylyl-CoA[0] + (2) Ubiquinol-8[0]	h2o;ubiquinol8;ubiquinone8	0.000	0.000	5	49	162.990	2.968
rxn44987			-27.490	157.040	-184.530	184.530	(2) H2O[0] + (2) Juglone[0] <=> (2) 3,5-dihydroxy-1,4-naphthoquinol[0]	h2o	0.000	0.000	3	10	135.230	4.688
rxn37132	zeta-carotene desaturase	1.3.5.6	-36.110	140.300	-176.410	176.410	(2) Ubidecarenone[0] + (1) 9,9'-Di-cis-zeta-carotene[0] => (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) ubiquinol(10)[0]		0.000	0.000	4	59	172.880	3.007
rxn37130	zeta-carotene desaturase	1.3.5.6	-36.110	140.300	-176.410	176.410	(1) 9,9'-Di-cis-zeta-carotene[0] + (2) Ubiquinone-8[0] => (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) Ubiquinol-8[0]	ubiquinol8;ubiquinone8	0.000	0.000	4	49	172.880	3.007
