ec3	n	median_absdiff	frac_discordant	example_enzyme	dominant_class
1.3.5	24	88.0400	1.0000	fumarate reductase complex (i.e. FRD, involved in an	Redox: quinone / quinol
1.1.5	81	79.3400	0.9630	sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase	Redox: quinone / quinol
1.6.5	139	50.4700	0.9928	NADPH:p-benzoquinone oxidoreductase	Redox: quinone / quinol
1.13.11	119	41.5000	0.7227	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cle	Oxygenation: O2 incorporated
5.5.1	36	17.7500	0.6389	Flavanone lyase (decyclizing)	Isomerisation / rearrangement
1.14.12	47	16.4100	0.6596	Anthranilate,NADH:oxygen oxidoreductase (1,2-hydroxy	Oxygenation: O2 incorporated
1.3.99	23	15.1000	0.5217	Succinate:(acceptor) oxidoreductase	Redox: carbon, hydride transfer
1.14.99	31	11.4800	0.3871	omega-3 fatty acid desaturase, chloroplast (FAD7) (F	Oxygenation: O2 incorporated
3.5.2	34	10.7150	0.2647	L-Lysine-1,6-lactam lactamhydrolase	Hydrolysis
3.2.1	212	9.9000	0.3821	alpha,alpha-trehalose glucohydrolase	Hydrolysis
1.1.99	32	8.2800	0.2500	Sucrose:(acceptor) 3-oxidoreductase	Other / unclassified
3.7.1	54	7.7200	0.0741	2,4-dioxopentanoate acetylhydrolase	Hydrolysis
2.1.1	46	7.6150	0.1522	S-Adenosyl-L-methionine:L-methionine S-methyltransfe	Group transfer: methyl / C1
1.14.13	518	7.4250	0.3938	rxn00050	Oxygenation: O2 incorporated
1.14.14	47	7.2900	0.3404	rxn01340	Oxygenation: O2 incorporated
3.3.2	22	6.7900	0.0455	trans-2,3-Epoxysuccinate hydrolase	Hydrolysis
1.2.3	34	6.6650	0.0882	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decar	Redox: O2 as terminal acceptor
1.14.11	52	6.3200	0.2308	L-Proline,2-oxoglutarate:oxygen oxidoreductase (4-hy	Oxygenation: O2 incorporated
2.5.1	56	6.1450	0.2679	putrescine:putrescine 4-aminobutyltransferase (ammon	Other / unclassified
3.5.3	47	6.1300	0.1064	L-Arginine amidinohydrolase	Hydrolysis
1.3.1	209	6.1200	0.2967	succinate:NAD+ oxidoreductase	Redox: carbon, hydride transfer
1.5.99	22	4.7550	0.0455	L-Pipecolate:(acceptor) 1,6-oxidoreductase	Redox: carbon, hydride transfer
3.1.1	116	4.3350	0.1466	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybu	Hydrolysis
2.4.2	42	4.2300	0.0952	NAD+:L-arginine ADP-D-ribosyltransferase	Group transfer: glycosyl
4.4.1	30	3.9900	0.1333	L-methionine methanethiol-lyase (deaminating;2-oxobu	Redox: heteroatom (S)
1.13.12	29	3.8900	0.1724	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating	Oxygenation: O2 incorporated
1.14.-	21	3.5900	0.2381	Sphinganine, NADPH: oxygen oxidoreductase (4-hydroxy	Oxygenation: O2 incorporated
1.3.3	49	3.5500	0.1429	5,6-Dihydrouracil:oxygen oxidoreductase	Redox: O2 as terminal acceptor
2.3.1	437	3.5400	0.1098	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucos	Redox: heteroatom (S)
1.5.3	39	3.3900	0.1026	sarcosine:oxygen oxidoreductase (demethylating)	Redox: O2 as terminal acceptor
4.2.1	345	3.1000	0.1101	5-aminolevulinate hydro-lyase (adding 5-aminolevulin	Addition / elimination
3.2.2	62	3.0250	0.2258	NAD nucleosidase, mitochondrial	Group transfer: glycosyl
1.1.1	1260	3.0050	0.0905	(S)-malate:NAD+ oxidoreductase (decarboxylating)	Redox: carbon, hydride transfer
2.4.1	106	2.9200	0.0283	sucrose:sucrose 1'-beta-D-fructosyltransferase	Other / unclassified
2.1.2	23	2.9100	0.0000	5,10-Methylenetetrahydrofolate:glycine hydroxymethyl	Other / unclassified
3.6.1	51	2.7600	0.0196	diphosphate phosphohydrolase	Group transfer: phosphoryl
5.3.1	99	2.6100	0.0202	D-glucose aldose-ketose-isomerase	Isomerisation / rearrangement
5.3.3	40	2.5150	0.0000	trans-Aconitate delta2-delta3-isomerase	Isomerisation / rearrangement
1.1.3	62	2.4600	0.0323	thiamine:oxygen 5-oxidoreductase	Redox: O2 as terminal acceptor
3.4.13	24	2.3900	0.0000	beta-Alanyl-L-lysine hydrolase	Hydrolysis
4.1.1	222	2.2500	0.0586	glyoxylate carboxy-lyase (dimerizing; tartronate-sem	C-C bond: carboxylation / decarboxylation
2.2.1	43	2.2300	0.0000	pyruvate:pyruvate acetaldehydetransferase (decarboxy	Other / unclassified
3.1.4	20	2.1800	0.1000	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	Hydrolysis
4.1.3	57	2.1100	0.0877	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (py	C-C bond: aldol / Claisen
5.4.99	27	1.9600	0.1481	L-threo-3-Methylaspartate carboxy-aminomethylmutase	Isomerisation / rearrangement
4.1.2	93	1.9300	0.0753	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (b	C-C bond: aldol / Claisen
2.6.1	266	1.9200	0.0376	L-Alanine:2-oxoglutarate aminotransferase	Group transfer: amino / amido
3.5.1	225	1.9100	0.0089	urea-1-carboxylate amidohydrolase	Hydrolysis
3.1.3	286	1.8850	0.0839	NADP+ 2'-phosphohydrolase	Hydrolysis
5.2.1	23	1.8200	0.0000	Maleate cis-trans-isomerase	Isomerisation / rearrangement
5.4.2	22	1.8150	0.0000	phosphoenolpyruvate 2,3-phosphonomutase	Isomerisation / rearrangement
1.2.1	328	1.7950	0.0061	pyruvaldehyde:NAD+ oxidoreductase	Redox: carbon, hydride transfer
3.1.2	95	1.7800	0.0316	Acetyl-CoA hydrolase	Redox: heteroatom (S)
1.5.1	85	1.7700	0.1059	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (gly	Redox: carbon, hydride transfer
1.4.3	95	1.7400	0.0316	L-Glutamate:oxygen oxidoreductase (deaminating)	Redox: O2 as terminal acceptor
2.8.3	48	1.7050	0.0417	succinyl-CoA:malate CoA-transferase	Other / unclassified
3.5.4	53	1.6400	0.1887	AMP aminohydrolase	Hydrolysis
2.3.3	44	1.6200	0.0000	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioe	Redox: heteroatom (S)
1.14.21	24	1.4600	0.3333	5alpha-cholest-7-en-3beta-ol, NADH:oxygen 5-oxidored	Oxygenation: O2 incorporated
2.7.8	37	1.3800	0.3784	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):un	Other / unclassified
1.11.1	25	1.0400	0.0800	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	Other / unclassified
5.1.3	78	0.9700	0.0000	UDP-glucose 4-epimerase	Isomerisation / rearrangement
1.4.1	56	0.9000	0.0357	L-glutamate:NAD+ oxidoreductase (transaminating)	Redox: carbon, hydride transfer
4.3.1	44	0.7700	0.0227	2,3-diaminopropanoate ammonia-lyase (adding water; p	Addition / elimination
5.1.1	26	0.6700	0.0000	glutamate racemase	Isomerisation / rearrangement
