rxn	name	status	is_transport	is_obsolete	stored_reversibility	equation	definition	ec	ec_class	n_ec	dg_gc	dg_eq	dg_dgp	n_sources	n_kegg_alias	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	n_kegg_with_dg	n_kegg_no_dg	kegg_spread_kcal	n_sub	n_prod	n_participants	sum_abs_coeff	max_abs_coeff	n_elements	elements	has_S	has_P	has_N	has_halogen	has_metal	has_Se	n_generic_formula	n_missing_formula	n_missing_smiles	all_have_smiles	max_carbon	max_mass	max_heavy_atoms	total_rings	total_arom_rings	cofactors	n_cofactors	cof_acp	cof_adp	cof_amp	cof_atp	cof_co2	cof_coa	cof_cytc_ox	cof_cytc_red	cof_fad	cof_fadh2	cof_fdx_ox	cof_fdx_red	cof_fmn	cof_fmnh2	cof_gln	cof_glu	cof_gsh	cof_gssg	cof_h	cof_h2o	cof_h2o2	cof_menaquinol8	cof_menaquinone8	cof_mthf	cof_nad	cof_nadh	cof_nadp	cof_nadph	cof_nh3	cof_o2	cof_pi	cof_ppi	cof_pydx5p	cof_sah	cof_sam	cof_thf	cof_ubiquinol8	cof_ubiquinone8	g_acetal	d_acetal	g_aldehyde	d_aldehyde	g_alkene	d_alkene	g_alkyne	d_alkyne	g_amide	d_amide	g_aromatic_c	d_aromatic_c	g_aromatic_n	d_aromatic_n	g_carboxylate	d_carboxylate	g_disulfide	d_disulfide	g_epoxide	d_epoxide	g_ester	d_ester	g_ether	d_ether	g_guanidine	d_guanidine	g_halide	d_halide	g_hydroxyl	d_hydroxyl	g_imine	d_imine	g_ketone	d_ketone	g_nitrile	d_nitrile	g_nitro	d_nitro	g_phosphate	d_phosphate	g_phosphoanhydride	d_phosphoanhydride	g_primary_amine	d_primary_amine	g_quaternary_n	d_quaternary_n	g_sulfate_ester	d_sulfate_ester	g_sulfonate	d_sulfonate	g_thioester	d_thioester	g_thiol	d_thiol	n_groups_changed	diff_gc_eq	diff_gc_dgp	diff_eq_dgp	dg_range3	dg_mean3	max_abs_pairdiff	eq_worst_tier	eq_all_tier1	eq_stereo_blind	eq_mnx_collision	net_proton	d_charge_sq	eq_uncertainty	eq_sentinel	dgp_uncertainty	diff	absdiff	chem_class	chem_subclass
rxn00001	diphosphate phosphohydrolase	OK	0	0	>	(1) cpd00001[0] + (1) cpd00012[0] => (2) cpd00009[0] + (1) cpd00067[0]	(1) H2O[0] + (1) PPi[0] => (2) Phosphate[0] + (1) H+[0]	3.6.1.1	3	1	4.1500	-4.0700	-3.7700	3	1	R00004	R00004	1	9	1	0	0.0000	2	2	4	5.0000	2.0000	3	H;O;P	0	1	0	0	0	0	0	0	0	1	0	176.0000	9	0	0	h;h2o;pi;ppi	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	8.2200	7.9200	-0.3000	8.2200	-1.2300	8.2200	1	1	0	0	1.0000	0.0000	0.0456	0	0.8700	-0.3000	0.3000	Group transfer: phosphoryl	kinase / phosphatase / anhydride
rxn00002	urea-1-carboxylate amidohydrolase	OK	0	0	>	(1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] => (2) cpd00011[0] + (2) cpd00013[0]	(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0]	3.5.1.54	3	1	-9.6200	-19.7700	-20.5500	3	1	R00005	R00005	1	3	1	0	0.0000	3	2	5	9.0000	3.0000	4	C;H;N;O	0	0	1	0	0	0	0	0	0	1	2	103.0000	7	0	0	co2;h;h2o;nh3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	-3.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	10.1500	10.9300	0.7800	10.9300	-16.6467	10.9300	1	1	0	0	-3.0000	-2.0000	1.8423	0	15.3900	0.7800	0.7800	C-C bond: carboxylation / decarboxylation	CO2 added or lost
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	OK	0	0	<	(1) cpd00011[0] + (1) cpd00668[0] <= (2) cpd00020[0] + (1) cpd00067[0]	(1) CO2[0] + (1) ALCTT[0] <= (2) Pyruvate[0] + (1) H+[0]	2.2.1.6	2	1	10.5300	7.1400	11.1600	3	1	R00006	R00006	1	3	1	0	0.0000	2	2	4	5.0000	2.0000	3	C;H;O	0	0	0	0	0	0	0	0	0	1	5	131.0000	9	0	0	co2;h	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-1.0000	0.0000	0.0000	3.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	3.3900	-0.6300	-4.0200	4.0200	9.6100	4.0200	1	1	0	0	1.0000	2.0000	0.8905	0	17.6200	-4.0200	4.0200	C-C bond: carboxylation / decarboxylation	CO2 added or lost
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	OK	0	0	=	(1) cpd02570[0] <=> (2) cpd00020[0]	(1) Parapyruvate[0] <=> (2) Pyruvate[0]	4.1.3.17	4	1	3.1700	3.3800	1.7400	3	1	R00008	R00008	1	1	1	0	0.0000	1	1	2	3.0000	2.0000	3	C;H;O	0	0	0	0	0	0	0	0	0	1	6	174.0000	12	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-1.0000	0.0000	0.0000	3.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	-0.2100	1.4300	1.6400	1.6400	2.7633	1.6400	1	1	0	0	0.0000	-2.0000	0.5646	0	17.4900	1.6400	1.6400	C-C bond: aldol / Claisen	condensation or retro-cleavage
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	OK	0	0	>	(2) cpd00025[0] => (2) cpd00001[0] + (1) cpd00007[0]	(2) H2O2[0] => (2) H2O[0] + (1) O2[0]	1.11.1.21;1.11.1.6	1	2	-45.3600	-45.8600	-46.5100	3	1	R00009	R00009	1	24	1	0	0.0000	1	2	3	5.0000	2.0000	2	H;O	0	0	0	0	0	0	0	0	0	1	0	34.0000	2	0	0	h2o;h2o2;o2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0.5000	1.1500	0.6500	1.1500	-45.9100	1.1500	1	1	0	0	0.0000	0.0000	1.6083	0	2.1600	0.6500	0.6500	Other / unclassified	-
rxn00007	alpha,alpha-trehalose glucohydrolase	OK	0	0	=	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	(1) H2O[0] + (1) TRHL[0] <=> (2) D-Glucose[0]	3.2.1.28	3	1	-3.1100	-2.7400	-2.6700	3	2	R00010	R00010;R06103	1	5	1	1	0.0000	2	1	3	4.0000	2.0000	3	C;H;O	0	0	0	0	0	0	0	0	0	1	12	342.0000	23	3	0	h2o	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	18.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	-0.3700	-0.4400	-0.0700	0.4400	-2.8400	0.4400	1	1	0	0	0.0000	0.0000	0.2575	0	0.9100	-0.0700	0.0700	Hydrolysis	other hydrolase
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	OK	0	0	=	(2) cpd00040[0] + (1) cpd00067[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	(2) Glyoxalate[0] + (1) H+[0] <=> (1) CO2[0] + (1) Tartronate semialdehyde[0]	4.1.1.47	4	1	-10.5700	-4.4900	-4.5200	3	1	R00013	R00013	1	1	1	0	0.0000	2	2	4	5.0000	2.0000	3	C;H;O	0	0	0	0	0	0	0	0	0	1	3	103.0000	7	0	0	co2;h	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	3.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3	-6.0800	-6.0500	0.0300	6.0800	-6.5267	6.0800	1	1	0	0	-1.0000	-2.0000	1.0617	0	1.5400	0.0300	0.0300	C-C bond: carboxylation / decarboxylation	CO2 added or lost
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	OK	0	0	=	(2) cpd00076[0] <=> (1) cpd00027[0] + (1) cpd02298[0]	(2) Sucrose[0] <=> (1) D-Glucose[0] + (1) 1F-beta-D-Fructosylsucrose[0]	2.4.1.99	2	1	0.0000	-1.3800	-8.1800	3	1	R00015	R00015	1	37	1	0	0.0000	1	2	3	4.0000	2.0000	3	C;H;O	0	0	0	0	0	0	0	0	0	1	18	504.0000	34	6	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.3800	8.1800	6.8000	8.1800	-3.1867	8.1800	1	1	0	0	0.0000	0.0000	1.3194	0	17.5100	6.8000	6.8000	Other / unclassified	-
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	OK	0	0	=	(2) cpd00089[0] <=> (1) cpd00027[0] + (1) cpd00499[0]	(2) Glucose-1-phosphate[0] <=> (1) D-Glucose[0] + (1) D-glucose-1,6-biphosphate[0]	2.7.1.41	2	1	0.0000	-5.8700	-2.4000	3	1		R00016	1	0	0	0		1	2	3	4.0000	2.0000	4	C;H;O;P	0	1	0	0	0	0	0	0	0	1	6	338.0000	20	3	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	5.8700	2.4000	-3.4700	5.8700	-2.7567	5.8700	1	1	0	0	0.0000	8.0000	0.9800	0	1.2200	-3.4700	3.4700	Other / unclassified	-
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	OK	0	0	=	(2) cpd00118[0] <=> (1) cpd00013[0] + (1) cpd03802[0]	(2) Putrescine[0] <=> (1) NH3[0] + (1) Homospermidine[0]	2.5.1.44	2	1	-0.5200	-1.1600	-3.2700	3	1	R00018	R00018	1	2	1	0	0.0000	1	2	3	4.0000	2.0000	3	C;H;N	0	0	1	0	0	0	0	0	0	1	8	162.0000	11	0	0	nh3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0.6400	2.7500	2.1100	2.7500	-1.6500	2.7500	1	1	0	0	0.0000	2.0000	1.0856	0	22.2000	2.1100	2.1100	Other / unclassified	-
