compound	name	formula	n_reactions	fitted_offset	observed_median_absdiff	ratio_vs_baseline	verdict	median_sigma
cpd25915	ubiquinol(10)	C59H92O4	44	-45.9536	86.9100	25.2645	REAL	80.3000
cpd01351	Ubiquinone-9	C54H82O4	44	45.9537	86.9100	25.2645	REAL	80.3000
cpd25914	ubiquinol(9)	C54H84O4	44	-45.9537	86.9100	25.2645	REAL	80.3000
cpd15560	Ubiquinone-8	C49H74O4	55	45.9414	86.9100	25.2645	REAL	80.3000
cpd15561	Ubiquinol-8	C49H76O4	55	-45.9414	86.9100	25.2645	REAL	80.3000
cpd08232	Ubidecarenone	C59H90O4	44	45.9536	86.9100	25.2645	REAL	80.3000
cpd01716	3-Dehydroshikimate	C7H7O5	22	-10.8183	63.5800	18.4826	REAL	64.8000
cpd00077	Catechol	C6H6O2	21	-48.9427	59.2200	17.2151	REAL	36.8000
cpd00168	2,3-Dihydroxybenzoate	C7H5O4	17	-42.1206	59.0100	17.1541	REAL	38.7600
cpd00699	5-Dehydroquinate	C7H9O6	23	-13.6967	54.9800	15.9826	REAL	61.8700
cpd01024	Methane	CH4	16	-5.6533	50.7900	14.7645	REAL	65.1800
cpd23602	3-phytyl-1,4-naphtoquinol	C30H46O2	16	-27.5288	50.4700	14.6715	REAL	61.8700
cpd09410	Demethylphylloquinone	C30H44O2	16	27.5288	50.4700	14.6715	REAL	61.8700
cpd15353	2-Demethylmenaquinol 8	C50H72O2	29	-27.5310	50.2600	14.6105	REAL	61.8700
cpd15352	2-Demethylmenaquinone 8	C50H70O2	29	27.5310	50.2600	14.6105	REAL	61.8700
cpd12844	Phytonadiol	C31H48O2	26	-26.4104	47.8200	13.9012	REAL	68.4600
cpd01401	Vitamin K1	C31H46O2	27	26.4104	47.8200	13.9012	REAL	68.4600
cpd00197	Protocatechuate	C7H5O4	23	-38.9239	35.2100	10.2355	REAL	28.0000
cpd00426	Homogentisate	C8H7O4	15	-34.2522	35.2000	10.2326	REAL	24.9100
cpd00248	Quinate	C7H11O6	24	-11.5321	31.2400	9.0814	REAL	45.7500
cpd00383	Shikimate	C7H9O5	28	-0.0582	26.8800	7.8140	REAL	42.9000
cpd01182	Kynurenate	C10H6NO3	16	-5.5220	24.6550	7.1672	REAL	44.0800
cpd00415	Quinol	C6H6O2	25	-23.3014	22.9000	6.6570	REAL	30.6800
cpd30321	beta-D-Fructose	C6H12O6	35	-7.4795	21.4100	6.2238	REAL	18.6500
cpd19245	di-trans,poly-cis-Undecaprenyl phosphate	C55H89O4P	20	0.0000	19.9100	5.7878	REAL	134.4300
cpd00885	Phytate	C6H6O24P6	22	0.1164	18.8550	5.4811	REAL	54.0500
cpd02016	N-Ribosylnicotinamide	C11H15N2O5	15	40.7662	17.8600	5.1919	REAL	14.7700
cpd00136	4-Hydroxybenzoate	C7H5O3	21	2.9507	17.1900	4.9971	REAL	24.3300
cpd01061	Geranial	C10H16O	34	15.2466	15.9400	4.6337	REAL	37.8000
cpd00852	beta-Glucogallin	C13H16O10	26	7.3678	15.6250	4.5422	REAL	27.2500
cpd16443	beta-D-Ribofuranose	C5H10O5	28	-9.2744	15.1650	4.4084	REAL	14.7500
cpd00219	Prephenate	C10H8O6	18	31.8953	15.0150	4.3648	REAL	45.0350
cpd23440	4-isopropylcyclohexenecarbaldehyde	C10H16O	28	-16.0283	14.8950	4.3299	REAL	44.9900
cpd00306	Xylitol	C5H12O5	16	1.3430	14.5100	4.2180	REAL	14.7500
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	34	-3.1052	13.9550	4.0567	REAL	42.0600
cpd00599	SALC	C7H5O3	30	-10.9508	13.6800	3.9767	REAL	27.1000
cpd01420	beta-Carotene	C40H56	18	-21.5724	13.2650	3.8561	REAL	38.4300
cpd00489	4-Hydroxyphenylacetate	C8H7O3	15	-0.8953	13.1900	3.8343	REAL	22.5300
cpd00218	Niacin	C6H4NO2	29	37.1796	13.1000	3.8081	REAL	23.7100
cpd00401	Benzoyl-CoA	C28H36N7O17P3S	30	4.2186	12.9100	3.7529	REAL	30.2400
cpd19035	beta-D-Fructose 6-phosphate	C6H11O9P	36	-9.9008	12.7900	3.7180	REAL	16.8500
cpd00982	FADH2	C27H33N9O15P2	119	6.4199	12.5800	3.6570	REAL	23.4700
cpd00106	Fumarate	C4H2O4	62	-1.7452	12.5000	3.6337	REAL	22.4900
cpd00015	FAD	C27H31N9O15P2	121	0.5978	12.1300	3.5262	REAL	23.2700
cpd00221	D-Lactate	C3H5O3	31	-5.3272	11.3700	3.3052	REAL	18.9500
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	16	-7.8492	11.2450	3.2689	REAL	17.4900
cpd00318	Tryptamine	C10H13N2	16	10.2385	11.0400	3.2093	REAL	22.0700
cpd01270	FMNH2	C17H21N4O9P	22	-5.4171	10.6500	3.0959	REAL	30.7000
cpd00868	p-hydroxyphenylpyruvate	C9H7O4	42	18.1784	10.6100	3.0843	REAL	15.1400
cpd00153	Benzoate	C7H5O2	31	11.3996	10.5000	3.0523	REAL	24.4500
cpd00019	S-Adenosyl-homocysteine	C14H20N6O5S	37	-12.8472	10.3300	3.0029	REAL	42.0600
cpd00190	beta-D-Glucose	C6H12O6	164	-1.1472	9.9600	2.8953	REAL	17.3850
cpd01693	6-Phosphosucrose	C12H21O14P	16	15.8044	9.9000	2.8779	REAL	8.0100
cpd00709	beta D-Galactose	C6H12O6	35	-15.0847	8.9800	2.6105	REAL	9.2700
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	17	4.9694	8.7600	2.5465	REAL	20.8700
cpd00604	4-Coumarate	C9H7O3	16	7.1741	8.7400	2.5407	REAL	14.7350
cpd19001	alpha-D-Glucose	C6H12O6	85	-1.4710	8.4600	2.4593	REAL	15.8200
cpd00361	ACTN	C4H8O2	20	8.7561	8.1700	2.3750	REAL	17.7100
cpd00170	Gluconolactone	C6H10O6	28	11.4158	8.1300	2.3634	REAL	13.3350
cpd00863	beta-D-Glucose 6-phosphate	C6H11O9P	43	-3.7256	8.0800	2.3488	REAL	8.0100
cpd00304	Retinal	C20H28O	19	-15.6188	8.0800	2.3488	REAL	14.2400
