class	n	share_of_subset	median_absdiff	vs_baseline	frac_discordant	enrichment_in_discordant	median_abs_dg_eq	rel_error	median_sigma	r
Redox: quinone / quinol	562	0.0506	50.7900	14.7645	0.8843	5.0378	28.0650	1.8097	61.8700	0.6291
Group transfer: methyl / C1	42	0.0038	13.0900	3.8052	0.4286	2.4414	7.3350	1.7846	41.6950	0.4015
Oxygenation: O2 incorporated	1159	0.1044	7.7200	2.2442	0.3667	2.0889	100.8100	0.0766	28.1400	0.7725
Group transfer: glycosyl	95	0.0086	4.4400	1.2907	0.2211	1.2593	2.8100	1.5801	14.7500	0.3323
Addition / elimination	449	0.0405	3.2500	0.9448	0.1225	0.6978	2.3200	1.4009	17.8400	0.7197
Redox: carbon, hydride transfer	2719	0.2450	3.1800	0.9244	0.1181	0.6725	4.9300	0.6450	17.9700	0.5189
Other / unclassified	1657	0.1493	3.1200	0.9070	0.1533	0.8732	2.1400	1.4579	18.4800	0.6916
Hydrolysis	1515	0.1365	3.0500	0.8866	0.1201	0.6843	4.0200	0.7587	16.8900	0.2197
Group transfer: acyl (thioester)	18	0.0016	2.9500	0.8576	0.3889	2.2153	2.0150	1.4640	22.7300	-0.5968
Redox: O2 as terminal acceptor	396	0.0357	2.7950	0.8125	0.0606	0.3452	25.5350	0.1095	14.3200	0.8650
Redox: heteroatom (S)	1220	0.1099	2.5400	0.7384	0.0492	0.2802	4.7150	0.5387	15.6550	0.6606
C-C bond: carboxylation / decarboxylation	417	0.0376	2.4300	0.7064	0.0671	0.3825	4.3700	0.5561	17.9800	0.9002
Group transfer: amino / amido	195	0.0176	2.2200	0.6453	0.0615	0.3506	2.0400	1.0882	10.6900	0.5840
C-C bond: aldol / Claisen	149	0.0134	1.9300	0.5610	0.0940	0.5353	3.3100	0.5831	15.8300	0.4181
Isomerisation / rearrangement	430	0.0387	1.8650	0.5422	0.0698	0.3974	0.5000	3.7300	16.8150	0.3088
Group transfer: phosphoryl	73	0.0066	1.7400	0.5058	0.0000	0.0000	4.9400	0.3522	0.9100	0.5668
