rxn	n_models	frac_models_growth_sensitive	median_growth_span	max_growth_span
rxa45615	1531	0.0	0.0	0.0
rxn00001	5419	0.013471120132865843	0.0	43.641724
rxn00006	3970	0.0	0.0	0.0
rxn00011	5352	0.36434977578475336	0.0	52.72553
rxn00077	5398	0.0	0.0	0.0
rxn00083	2875	0.02052173913043478	0.0	14.131623
rxn00097	5502	0.04616503089785533	0.0	57.43227
rxn00102	150	0.0	0.0	0.0
rxn00122	5476	0.0	0.0	0.0
rxn00147	2809	0.7536489854040583	10.219849	55.901665
rxn00148	5200	0.5353846153846153	0.6655941	66.730774
rxn00151	1826	0.05585980284775466	0.0	43.641724
rxn00157	1858	0.5403659849300323	3.1014194	32.927765
rxn00159	1954	0.6530194472876152	3.50074	74.01247
rxn00160	15	0.0	0.0	0.0
rxn00161	3964	0.5887991927346115	2.147829	74.01247
rxn00162	710	0.5464788732394367	1.3496399	78.512215
rxn00171	4663	0.5751662020158697	1.0997925	35.841984
rxn00172	941	0.19234856535600425	0.0	26.268576
rxn00173	3806	0.5120861797162375	0.30971336	33.574116
rxn00175	3991	0.1112503132047106	0.0	66.730774
rxn00178	4128	0.0012112403100775194	0.0	0.92715836
rxn00199	4535	0.58257993384785	4.936001	82.45581
rxn00206	4908	0.0	0.0	0.0
rxn00216	3552	0.08108108108108109	0.0	45.35019
rxn00224	3214	0.0	0.0	0.0
rxn00225	4186	0.5635451505016722	4.3694134	44.186256
rxn00247	2603	0.7364579331540531	9.425224	78.512215
rxn00248	4034	0.43827466534457116	0.0	86.27455
rxn00250	7	0.0	0.0	0.0
rxn00251	3190	0.7799373040752351	5.5762634	71.36123
rxn00256	4602	0.4708822251195133	0.0	82.45581
rxn00265	799	0.12015018773466833	0.0	64.95986
rxn00285	4352	0.328125	0.0	78.512215
rxn00288	3469	0.046987604496973194	0.0	8.637302
rxn00305	1333	0.0	0.0	0.0
rxn00324	1887	0.0005299417064122947	0.0	0.6315117
rxn00330	2544	0.08411949685534591	0.0	70.96395
rxn00336	2365	0.09048625792811839	0.0	70.96395
rxn00371	2803	0.6617909382804138	4.1350975	28.997025
rxn00379	3762	0.000531632110579479	0.0	3.368946
rxn00392	5186	0.0	0.0	0.0
rxn00441	3788	0.5591341077085533	0.38892746	81.61802
rxn00459	5582	0.6087423862414905	7.078224	78.512215
rxn00499	3535	0.22347949080622348	0.0	49.84755
rxn00500	2180	0.006880733944954129	0.0	9.5667
rxn00506	3655	0.4322845417236662	0.0	23.793606
rxn00507	2492	0.41131621187800965	0.0	21.40863
rxn00512	1887	0.0005299417064122947	0.0	6.3882437
rxn00543	4740	0.570675105485232	1.0484142	35.841984
rxn00544	900	0.022222222222222223	0.0	16.822765
rxn00545	3250	0.1366153846153846	0.0	69.60629
rxn00548	1298	0.30277349768875195	0.0	53.202152
rxn00549	4682	0.6992738146091414	8.736858	69.670715
rxn00558	5378	0.6305317962067684	1.725647	71.53683
rxn00568	2826	0.2767162066525124	0.0	22.489117
rxn00569	2603	0.006146753745678064	0.0	4.011879
rxn00602	2056	0.0	0.0	0.0
rxn00604	3909	0.14709644410335124	0.0	68.21841
rxn00611	5156	0.07447633824670287	0.0	55.33779
rxn00612	5156	0.17940263770364623	0.0	55.33779
rxn00615	4152	0.203757225433526	0.0	73.111435
rxn00616	3842	0.04997397188964081	0.0	8.011337
rxn00623	2469	0.002025111381125962	0.0	2.9955482
rxn00668	2095	0.0	0.0	0.0
rxn00670	3808	0.0	0.0	0.0
rxn00678	99	0.0	0.0	0.0
rxn00747	5562	0.4343761236965121	0.0	73.111435
rxn00748	2116	0.0	0.0	2.6261756e-13
rxn00762	1424	0.0	0.0	0.0
rxn00763	4650	0.0	0.0	0.0
rxn00770	5538	0.0	0.0	0.0
rxn00777	5607	0.6019261637239165	8.611176	87.21121
rxn00779	14	0.07142857142857142	0.0	0.2398262
rxn00781	5582	0.6082049444643497	8.004978	78.512215
rxn00782	358	0.002793296089385475	0.0	0.03466034
rxn00785	5292	0.5175736961451247	0.755043	87.21121
rxn00786	5370	0.12644320297951583	0.0	69.670715
rxn00799	5031	0.6306897237129795	5.829937	86.27455
rxn00868	1542	0.00324254215304799	0.0	0.92715836
rxn00869	2121	0.0023573785950023575	0.0	0.92715836
rxn00871	90	0.0	0.0	0.0
rxn00874	4110	0.0	0.0	0.0
rxn00875	935	0.0	0.0	0.0
rxn00935	1852	0.0032397408207343412	0.0	1.7248306
rxn00974	4747	0.45649884137349905	0.0	82.45581
rxn00985	4186	0.0	0.0	0.0
rxn00990	935	0.0	0.0	0.0
rxn00994	915	0.0	0.0	0.0
rxn00995	377	0.0	0.0	0.0
rxn01057	24	0.0	0.0	0.0
rxn01100	5574	0.6110513096519555	8.127155	78.512215
rxn01106	5585	0.6084153983885408	7.078224	78.512215
rxn01115	3615	0.22627939142461964	0.0	61.427597
rxn01116	5291	0.608958608958609	1.1648865	87.21121
rxn01121	545	0.0	0.0	0.0
rxn01123	2522	0.0	0.0	0.0
rxn01130	377	0.0	0.0	0.0
rxn01187	1298	0.14946070878274267	0.0	69.11635
rxn01200	5292	0.159297052154195	0.0	64.618546
rxn01236	68	0.0	0.0	0.0
rxn01241	5162	0.5147229755908562	0.54239655	78.512215
rxn01274	2667	0.0	0.0	0.0
