assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000005825.2,GCF_000005825.2,Alkalihalophilus pseudofirmus OF4,398511,ASM582v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Alkalihalophilus,Alkalihalophilus pseudofirmus
GCF_000005845.2,GCF_000005845.2,Escherichia coli str. K-12 substr. MG1655,511145,ASM584v2,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000006175.1,,,,,missing,,,,,,,,
GCF_000006605.1,GCF_000006605.1,Corynebacterium jeikeium K411,306537,ASM660v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium
GCF_000006625.1,GCF_000006625.1,Ureaplasma parvum serovar 3 str. ATCC 700970,273119,ASM662v1,resolved,Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Mycoplasmoidaceae,Ureaplasma,Ureaplasma parvum
GCF_000006645.1,GCF_000006645.1,Yersinia pestis KIM10+,187410,ASM664v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
GCF_000006685.1,GCF_000006685.1,Chlamydia muridarum str. Nigg,243161,ASM668v1,resolved,Bacteria,Pseudomonadati,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum
GCF_000006725.1,GCF_000006725.1,Xylella fastidiosa 9a5c,160492,ASM672v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa
GCF_000006745.1,GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,243277,ASM674v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
GCF_000006765.1,GCF_000006765.1,Pseudomonas aeruginosa PAO1,208964,ASM676v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
GCF_000006785.2,GCF_000006785.2,Streptococcus pyogenes M1 GAS,160490,ASM678v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
GCF_000006805.1,GCF_000006805.1,Halobacterium salinarum NRC-1,64091,ASM680v1,resolved,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum
GCF_000006825.1,GCF_000006825.1,Pasteurella multocida subsp. multocida str. Pm70,272843,ASM682v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida
GCF_000006845.1,GCF_000006845.1,Neisseria gonorrhoeae FA 1090,242231,ASM684v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_000006865.1,GCF_000006865.1,Lactococcus lactis subsp. lactis Il1403,272623,ASM686v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
GCF_000006885.1,GCF_000006885.1,Streptococcus pneumoniae TIGR4,170187,ASM688v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
GCF_000006905.1,GCF_000006905.1,Caulobacter vibrioides CB15,190650,ASM690v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides
