rxn_id	Jankowski_2008	Flamholz_2012	Beber_2022	LLM_Opus_4.8
rxn00001	=	>	>	>
rxn00002	>	>	>	>
rxn00003	<	<	=	>
rxn00004	=	=	=	=
rxn00006	>	>	>	>
rxn00007	=	>	>	>
rxn00008	<	<	NA	<
rxn00009	=	=	=	=
rxn00010	>	=	=	>
rxn00011	=	=	=	>
rxn00012	=	=	=	>
rxn00013	=	=	=	=
rxn00014	NA	NA	NA	>
rxn00015	=	=	=	>
rxn00016	=	>	>	>
rxn00017	=	NA	>	=
rxn00018	=	=	=	>
rxn00019	NA	NA	=	>
rxn00020	=	>	>	>
rxn00021	=	=	=	=
rxn00022	=	>	>	>
rxn00023	NA	NA	NA	>
rxn00024	>	>	>	>
rxn00025	>	>	>	>
rxn00026	>	>	>	>
rxn00027	NA	NA	NA	>
rxn00028	>	NA	>	>
rxn00029	>	>	>	>
rxn00030	=	=	=	=
rxn00031	=	NA	=	=
rxn00032	>	>	>	>
rxn00033	>	>	>	>
rxn00034	>	>	>	>
rxn00035	>	>	>	>
rxn00036	>	>	>	>
rxn00037	>	>	>	>
rxn00038	=	>	>	>
rxn00039	=	=	=	>
rxn00040	=	>	>	>
rxn00041	=	>	>	>
rxn00042	>	>	>	>
rxn00043	>	>	>	>
rxn00044	=	=	=	>
rxn00045	=	NA	=	=
rxn00046	=	=	=	=
rxn00047	>	>	>	>
rxn00048	>	>	>	>
rxn00050	<	NA	<	<
rxn00051	>	>	>	>
rxn00052	>	>	>	>
rxn00053	NA	NA	=	?
rxn00054	>	NA	>	>
rxn00055	=	NA	=	>
rxn00056	=	=	=	>
rxn00057	>	NA	>	>
rxn00058	NA	NA	NA	>
rxn00059	NA	NA	NA	>
rxn00060	>	>	>	>
rxn00061	>	>	>	>
rxn00062	>	>	>	>
rxn00063	>	>	>	>
rxn00064	>	>	>	>
rxn00065	>	=	=	>
rxn00066	>	>	>	>
rxn00067	=	NA	=	=
rxn00068	<	<	<	?
rxn00069	=	=	=	=
rxn00070	<	=	=	<
rxn00071	NA	NA	>	<
rxn00072	NA	NA	NA	<
rxn00073	NA	NA	NA	=
rxn00074	NA	NA	NA	=
rxn00075	=	>	>	>
rxn00076	>	>	>	>
rxn00077	=	=	=	>
rxn00078	=	=	=	>
rxn00079	NA	NA	NA	>
rxn00080	NA	NA	NA	>
rxn00081	NA	NA	NA	>
rxn00082	NA	NA	NA	>
rxn00083	=	=	=	=
rxn00084	>	>	>	>
rxn00085	=	=	=	=
rxn00086	<	=	=	<
rxn00087	<	=	=	<
rxn00088	=	>	>	>
rxn00089	NA	NA	>	>
rxn00090	=	>	>	>
rxn00091	>	>	NA	?
rxn00092	>	>	>	>
rxn00093	>	>	>	>
rxn00095	=	>	>	>
rxn00096	=	=	=	?
rxn00097	=	=	=	=
rxn00098	>	>	>	>
rxn00099	=	>	>	>
rxn00100	=	=	=	>
rxn00101	>	>	>	>
rxn00102	=	=	=	=
rxn00103	=	=	=	=
rxn00104	NA	NA	=	=
rxn00105	=	=	=	=
rxn00106	NA	NA	>	>
rxn00107	=	=	=	>
rxn00108	=	=	=	>
rxn00109	<	NA	>	<
rxn00110	NA	NA	NA	>
rxn00111	NA	NA	NA	>
rxn00112	>	NA	NA	>
rxn00113	=	=	=	>
rxn00114	=	<	=	=
rxn00115	NA	NA	NA	?
rxn00116	>	>	>	>
rxn00117	=	=	=	=
rxn00118	=	=	=	=
rxn00119	=	=	=	=
rxn00120	>	>	>	>
rxn00121	>	>	>	>
rxn00122	=	=	=	=
rxn00123	=	>	>	>
rxn00124	>	=	=	>
rxn00125	>	NA	<	>
rxn00126	>	NA	>	>
rxn00127	=	>	>	>
rxn00128	=	NA	>	>
rxn00129	=	NA	<	>
rxn00130	>	>	>	>
rxn00131	=	>	>	>
rxn00132	=	>	>	>
rxn00133	>	>	>	>
rxn00134	=	=	=	>
rxn00135	NA	NA	>	>
rxn00136	>	NA	>	>
rxn00137	=	>	=	>
rxn00138	>	=	=	>
rxn00139	=	=	=	<
rxn00140	>	>	>	>
rxn00141	=	=	=	=
rxn00142	=	>	>	>
rxn00143	=	>	>	>
rxn00144	>	=	=	>
rxn00145	NA	NA	NA	>
rxn00146	NA	NA	NA	>
rxn00147	>	=	=	>
rxn00148	=	=	=	>
rxn00149	=	=	>	>
rxn00150	=	=	>	>
rxn00151	>	=	=	=
rxn00152	>	>	>	>
rxn00153	=	>	>	>
rxn00154	=	=	=	>
rxn00155	=	=	=	>
rxn00156	>	>	>	>
rxn00157	=	=	=	<
rxn00158	>	NA	>	>
rxn00159	=	=	=	>
rxn00160	=	=	=	>
rxn00161	=	=	=	>
rxn00162	>	>	>	>
rxn00163	>	NA	<	>
rxn00164	<	<	<	=
rxn00165	>	>	>	>
rxn00166	>	>	>	>
rxn00168	>	>	>	>
rxn00170	>	>	>	>
rxn00171	=	=	=	=
rxn00172	=	=	=	=
rxn00173	=	=	=	=
rxn00174	=	>	>	>
rxn00175	=	=	=	>
rxn00176	=	NA	>	>
rxn00177	=	=	=	=
rxn00178	=	=	=	=
rxn00179	=	=	=	>
rxn00180	=	=	=	>
rxn00181	=	=	=	>
rxn00182	=	=	=	=
rxn00183	=	>	>	=
rxn00184	=	=	=	=
rxn00185	>	>	>	>
rxn00186	=	=	=	>
rxn00187	=	=	=	>
rxn00188	=	<	<	<
rxn00189	>	>	>	>
rxn00190	>	=	=	>
rxn00191	=	=	=	=
rxn00192	=	=	=	>
rxn00193	=	=	=	=
rxn00194	>	>	>	>
rxn00195	=	=	=	=
rxn00196	=	>	>	>
rxn00197	=	=	=	>
rxn00198	=	=	=	=
rxn00199	>	>	>	>
rxn00200	>	=	=	>
rxn00201	<	<	<	=
rxn00202	=	=	=	<
rxn00203	>	>	>	>
rxn00204	>	>	>	>
rxn00205	>	>	>	>
rxn00206	>	NA	<	>
rxn00207	<	NA	<	<
rxn00208	>	>	>	>
rxn00209	>	>	>	>
rxn00210	>	>	>	>
rxn00211	=	=	=	>
rxn00212	>	>	>	>
rxn00213	=	=	=	=
rxn00214	=	NA	=	=
rxn00215	>	>	>	>
rxn00216	>	=	=	>
rxn00217	=	=	=	>
rxn00218	=	=	=	>
rxn00219	>	>	>	>
rxn00220	=	>	>	>
rxn00221	=	>	>	>
rxn00222	=	>	>	>
rxn00223	=	=	=	=
rxn00224	NA	NA	NA	>
rxn00225	=	=	=	=
rxn00226	=	NA	<	=
rxn00227	=	>	>	>
rxn00228	>	>	>	>
rxn00229	>	>	>	>
rxn00230	=	=	=	=
rxn00231	>	>	>	>
rxn00232	>	NA	>	>
rxn00233	>	>	>	>
rxn00234	=	=	=	=
rxn00235	=	>	>	>
rxn00236	>	>	>	>
rxn00237	=	=	=	=
rxn00238	NA	NA	NA	=
rxn00239	=	=	=	=
rxn00240	NA	NA	NA	=
rxn00241	>	>	>	>
rxn00242	=	>	>	>
rxn00243	=	>	>	>
rxn00244	>	>	>	>
rxn00245	>	>	>	=
rxn00247	=	=	=	=
rxn00248	=	=	=	=
rxn00249	=	=	=	=
rxn00250	=	=	=	>
rxn00251	=	<	<	<
rxn00252	=	=	=	=
rxn00253	>	>	>	>
rxn00254	>	=	=	>
rxn00255	=	=	=	=
rxn00256	=	<	<	<
rxn00257	=	=	=	>
rxn00258	=	=	=	>
rxn00259	=	NA	=	=
rxn00260	=	=	=	=
rxn00261	<	<	NA	?
rxn00262	>	>	>	>
rxn00263	>	>	>	>
rxn00264	>	>	>	>
rxn00265	=	=	=	>
rxn00266	<	=	=	=
rxn00267	NA	NA	NA	>
rxn00268	=	=	=	=
rxn00269	>	>	>	>
rxn00270	=	NA	=	>
rxn00271	=	=	=	=
rxn00272	=	=	=	>
rxn00273	=	<	=	<
rxn00274	=	<	=	<
rxn00275	=	=	=	=
rxn00276	=	=	=	=
rxn00277	NA	NA	NA	?
