rxn_id,operator,dg,dge
rxn00001,>,-3.82,0.02
rxn00002,>,-23.02,0.25
rxn00003,=,5.71,0.36
rxn00004,=,-1.48,0.35
rxn00006,>,-46.54,0.06
rxn00007,=,-2.98,0.03
rxn00008,>,-64.69,0.7
rxn00009,>,0.42,0.03
rxn00010,=,-5.17,0.04
rxn00011,>,-7.32,0.43
rxn00012,=,-5.12,0.36
rxn00015,>,-4.6,0.56
rxn00016,=,2.51,0.33
rxn00017,=,-4.45,0.68
rxn00018,=,-8.63,0.04
rxn00019,=,-8.63,0.04
rxn00020,=,6.13,0.49
rxn00021,=,2.37,0.65
rxn00022,=,5.81,0.49
rxn00024,>,-48.69,0.85
rxn00025,>,-72.68,1.17
rxn00026,>,-29.07,0.14
rxn00028,>,-77.12,1.5
rxn00029,>,-38.95,0.74
rxn00030,=,-8.44,0.5
rxn00031,=,2.37,0.3
rxn00032,=,2.37,0.3
rxn00033,>,-128.62,0.49
rxn00034,>,-61.99,0.85
rxn00035,>,-28.33,0.96
rxn00036,>,-148.19,1.38
rxn00037,>,-148.19,1.38
rxn00038,>,-8.6,0.23
rxn00039,>,-10.93,0.26
rxn00040,>,-17.93,0.5
rxn00041,>,-18.28,0.54
rxn00042,>,-96.38,0.35
rxn00043,>,-131.46,1.63
rxn00044,=,0.08,0.29
rxn00045,=,0.0,0.02
rxn00046,>,-10.74,0.31
rxn00048,<,14.06,1.56
rxn00050,=,14.06,1.56
rxn00051,>,-106.66,2.31
rxn00052,>,-34.79,0.17
rxn00053,>,-34.79,0.17
rxn00054,>,-292.35,1.69
rxn00055,>,-17.63,2.2
rxn00057,>,-216.78,2.66
rxn00060,>,-68.01,1.57
rxn00061,>,-12.15,0.02
rxn00062,>,-6.4,0.02
rxn00063,>,-8.33,0.02
rxn00064,=,-5.65,0.02
rxn00065,>,1.68,0.03
rxn00066,>,-78.75,0.04
rxn00067,<,2.35,0.05
rxn00069,=,12.0,0.03
rxn00070,<,4.69,0.03
rxn00071,<,59.74,1.25
rxn00072,<,91.35,0.03
rxn00073,<,91.35,0.03
rxn00074,<,15.69,0.02
rxn00075,=,-4.33,0.25
rxn00076,>,-8.15,0.03
rxn00077,=,-2.84,0.03
rxn00078,=,-3.43,0.03
rxn00080,>,-90.77,0.03
rxn00081,>,-90.77,0.03
rxn00082,>,-90.77,0.03
rxn00083,=,0.58,0.02
rxn00084,>,-78.16,0.04
rxn00085,=,11.41,0.03
rxn00086,=,4.11,0.03
rxn00087,=,4.11,0.03
rxn00088,>,-3.55,0.03
rxn00089,=,-2.58,0.04
rxn00090,=,-27.52,0.04
rxn00091,>,-27.52,0.04
rxn00092,>,-5.75,0.02
rxn00093,=,-5.65,0.02
rxn00095,>,-9.44,0.03
rxn00096,=,3.05,0.03
rxn00097,=,-0.65,0.02
rxn00098,>,-6.07,0.02
rxn00099,>,-29.63,0.55
rxn00100,>,0.86,0.03
rxn00101,>,-7.32,0.04
rxn00102,=,1.15,0.04
rxn00103,>,-3.46,0.04
rxn00104,=,-3.46,0.04
rxn00105,=,-0.17,0.03
rxn00106,>,-4.49,0.02
rxn00107,=,0.01,0.02
rxn00108,=,0.61,0.02
rxn00109,<,60.97,0.47
rxn00110,<,60.97,0.47
rxn00111,<,60.97,0.47
rxn00112,<,60.97,0.47
rxn00113,=,-0.02,0.04
rxn00114,<,6.37,0.04
rxn00115,>,-17.52,0.04
rxn00116,>,-5.61,0.02
rxn00117,=,-0.22,0.02
rxn00118,=,-0.42,0.02
rxn00119,=,-0.79,0.02
rxn00120,>,-6.17,0.02
rxn00121,>,-5.26,0.39
rxn00122,>,-3.07,0.39
rxn00123,=,0.77,0.31
rxn00124,>,-7.16,0.31
rxn00125,=,10.95,0.71
rxn00126,=,17.96,0.73
rxn00127,>,-8.15,0.17
rxn00128,>,-9.6,0.76
rxn00129,=,10.36,0.79
rxn00130,=,-5.65,0.02
rxn00131,=,-3.04,0.03
rxn00132,>,-2.97,0.02
rxn00133,>,-8.8,0.03
rxn00134,=,-3.43,0.02
rxn00135,=,-3.43,0.02
rxn00136,>,-8.89,0.03
rxn00137,=,0.06,0.21
rxn00138,=,0.08,0.51
rxn00139,<,4.75,0.03
rxn00140,>,-10.01,0.03
rxn00141,=,8.31,0.03
rxn00142,=,-5.65,0.02
rxn00143,=,0.46,0.23
rxn00144,=,2.1,0.35
rxn00147,>,0.82,0.02
rxn00148,=,6.57,0.02
rxn00149,=,-3.16,0.19
rxn00150,=,-3.75,0.19
rxn00151,=,4.64,0.02
rxn00152,>,-37.76,0.05
rxn00153,>,-12.97,0.02
rxn00154,=,-7.91,0.04
rxn00155,=,-8.49,0.04
rxn00156,>,-40.11,0.05
rxn00157,=,5.02,0.03
rxn00158,>,-20.72,0.22
rxn00159,=,3.3,0.04
rxn00160,=,5.77,0.05
rxn00161,=,2.71,0.04
rxn00162,>,-4.03,0.04
rxn00163,<,17.34,0.79
rxn00164,<,4.03,0.04
rxn00165,>,-7.13,0.03
rxn00166,>,-8.19,0.22
rxn00168,>,-4.14,0.04
rxn00170,>,-7.24,0.02
rxn00171,=,-3.77,0.03
rxn00172,=,0.85,0.02
rxn00173,=,2.35,0.02
rxn00174,>,-5.88,0.17
rxn00175,=,-1.08,0.02
rxn00176,>,-15.03,0.27
rxn00177,=,1.09,0.18
rxn00178,=,6.29,0.03
rxn00179,=,3.07,0.21
rxn00180,=,3.07,0.21
rxn00181,=,2.78,0.26
rxn00182,=,9.22,0.02
rxn00183,=,-5.3,0.03
rxn00184,=,8.64,0.02
rxn00185,>,-22.99,0.04
rxn00186,>,-7.51,0.39
rxn00187,=,-3.62,0.03
rxn00188,=,2.63,0.33
rxn00189,>,-2.78,0.03
rxn00190,>,-2.7,0.51
rxn00191,=,0.16,0.02
rxn00192,>,-1.72,0.26
rxn00193,=,0.04,0.03
rxn00194,>,-8.75,0.04
rxn00195,=,-1.59,0.03
rxn00196,=,-6.18,0.03
rxn00197,=,-6.98,0.04
rxn00198,>,1.43,0.04
rxn00199,>,-3.65,0.19
rxn00200,>,-3.07,0.03
rxn00201,<,9.79,0.04
rxn00202,=,-9.94,0.18
rxn00203,>,-7.29,0.04
rxn00204,>,-39.34,0.07
rxn00205,>,-74.05,0.04
rxn00206,=,-8.35,0.98
rxn00207,<,42.29,0.05
rxn00208,>,-23.3,0.05
rxn00209,>,-24.93,0.05
rxn00210,>,-23.03,0.05
rxn00211,=,1.87,0.18
rxn00212,>,-7.93,0.02
rxn00213,=,-0.03,0.02
rxn00214,=,0.7,0.03
rxn00215,>,-8.28,0.3
rxn00216,=,-3.43,0.02
rxn00217,=,-0.2,0.03
rxn00218,=,2.91,0.24
rxn00219,>,-21.51,0.29
rxn00220,>,-2.96,0.02
rxn00221,>,-4.49,0.02
rxn00222,=,-2.88,0.03
rxn00223,=,0.21,0.02
rxn00224,<,19.34,0.03
rxn00225,=,3.2,0.02
rxn00226,<,13.94,0.27
rxn00227,>,-9.6,0.02
rxn00228,>,-39.0,0.27
rxn00229,>,-119.52,0.04
rxn00230,=,5.78,0.02
rxn00231,>,-9.58,0.43
rxn00232,>,-22.27,0.27
rxn00233,>,-8.55,0.16
rxn00234,=,0.49,0.03
rxn00235,>,-7.51,0.31
rxn00236,>,-5.79,0.02
rxn00237,=,0.01,0.02
rxn00239,=,-0.61,0.02
rxn00241,>,-6.4,0.02
rxn00242,>,-4.6,0.27
rxn00243,=,-7.58,0.03
rxn00244,>,-12.04,0.04
rxn00245,>,-12.89,0.15
rxn00247,=,2.54,0.04
rxn00248,=,7.32,0.02
rxn00249,=,6.74,0.02
rxn00250,=,-1.19,0.02
rxn00251,=,8.94,0.04
rxn00252,=,5.12,0.04
rxn00253,>,-9.65,0.13
rxn00254,>,-4.85,0.18
rxn00255,=,2.84,0.19
rxn00256,<,8.33,0.02
rxn00257,=,1.93,0.02
rxn00258,=,-1.85,0.16
rxn00259,=,1.72,0.21
rxn00260,=,0.72,0.02
rxn00261,=,0.72,0.02
rxn00262,>,-22.27,0.04
rxn00263,>,-23.87,0.16
rxn00264,>,-24.88,0.04
rxn00265,=,1.09,0.02
rxn00266,=,-0.0,0.02
rxn00268,=,12.07,0.03
rxn00269,>,-20.13,0.04
rxn00270,=,12.15,0.75
rxn00271,=,3.48,0.37
rxn00272,=,-2.69,0.03
rxn00273,>,-2.69,0.03
rxn00274,=,5.92,0.22
rxn00275,=,2.85,0.03
rxn00276,=,2.13,0.03
rxn00277,=,2.13,0.03
rxn00278,=,9.38,0.02
rxn00279,>,-3.47,0.04
rxn00280,=,8.36,0.03
rxn00281,=,8.36,0.03
rxn00282,=,-0.56,0.03
rxn00283,=,0.0,0.03
rxn00284,<,16.74,0.03
rxn00285,=,0.1,0.02
rxn00286,=,-0.78,0.03
rxn00287,>,-6.5,0.02
rxn00288,<,12.32,0.04
rxn00289,=,4.96,0.25
rxn00290,=,2.59,0.02
rxn00291,=,-0.55,0.39
rxn00292,=,-5.43,0.04
rxn00293,=,-0.02,0.02
rxn00295,=,0.22,0.28
rxn00297,=,-0.57,0.26
rxn00298,=,1.82,0.17
rxn00299,>,-40.13,0.56
rxn00300,>,-4.37,0.37
rxn00301,>,-8.37,0.02
rxn00302,=,1.99,0.03
rxn00303,>,-4.98,0.27
rxn00304,=,6.56,0.02
rxn00305,=,2.53,0.04
rxn00306,=,0.09,0.02
rxn00307,>,1.63,0.03
rxn00308,>,0.34,0.04
rxn00309,=,10.97,0.03
rxn00310,>,-22.29,0.05
rxn00311,>,-56.2,0.38
rxn00312,>,-108.97,0.06
rxn00313,>,-6.27,0.06
rxn00314,=,11.7,0.29
rxn00315,=,1.59,0.03
rxn00316,>,-1.01,0.25
rxn00317,=,1.75,0.03
rxn00318,=,-6.24,0.25
rxn00319,>,-5.96,0.04
rxn00320,=,-0.19,0.03
rxn00321,=,-1.1,0.03
rxn00322,>,-6.75,0.06
rxn00323,=,0.33,0.27
rxn00324,=,10.16,0.03
rxn00325,>,-37.96,0.05
rxn00326,=,-1.77,0.03
rxn00327,>,-6.11,0.05
rxn00328,=,4.42,0.03
rxn00330,<,8.28,0.03
rxn00331,=,2.56,0.03
rxn00332,<,6.39,0.26
rxn00333,>,-21.46,0.04
rxn00334,>,-10.28,0.4
rxn00335,=,-2.02,0.13
rxn00336,=,2.01,0.03
rxn00337,=,4.33,0.03
rxn00338,>,-18.57,0.45
rxn00339,=,-2.47,0.04
rxn00340,=,-4.4,0.04
rxn00341,>,-7.73,0.05
rxn00342,>,-3.93,0.04
rxn00343,=,-0.39,0.32
rxn00344,=,3.37,0.28
rxn00345,>,-10.62,0.28
rxn00346,>,-5.37,0.05
rxn00347,=,3.43,0.02
rxn00348,=,1.61,0.16
rxn00349,=,1.61,0.16
rxn00350,=,5.28,0.45
rxn00351,>,-10.66,0.28
rxn00352,>,-6.82,0.36
rxn00353,=,-6.82,0.36
rxn00354,=,0.9,0.18
rxn00355,>,-2.42,0.22
rxn00356,=,-2.54,0.03
rxn00357,=,-0.74,0.36
rxn00358,=,4.25,0.31
rxn00359,>,-19.65,0.03
rxn00360,=,0.08,0.21
rxn00361,=,-6.48,0.21
rxn00362,=,5.15,0.51
rxn00363,>,-2.98,0.02
rxn00364,=,-0.61,0.02
rxn00365,=,-3.42,0.02
rxn00366,>,-5.78,0.02
rxn00367,>,-8.35,0.02
rxn00368,=,-3.19,0.02
rxn00369,=,-3.42,0.02
rxn00370,<,16.54,0.24
rxn00371,>,-2.88,0.04
rxn00372,>,-21.74,0.24
rxn00373,>,-4.25,0.04
rxn00374,>,-14.16,0.66
rxn00375,=,-8.29,0.42
rxn00376,>,-13.38,0.34
rxn00377,>,-19.52,0.31
rxn00379,<,11.34,0.03
rxn00380,<,13.92,0.03
rxn00381,>,-19.67,0.03
rxn00382,>,-37.03,0.55
rxn00383,>,-40.9,0.05
rxn00384,>,-29.06,0.54
rxn00385,>,-7.77,0.62
rxn00386,>,-9.44,0.76
rxn00387,>,-8.41,0.59
rxn00391,>,-5.17,0.39
rxn00392,=,-1.23,0.39
rxn00393,=,0.68,0.39
rxn00394,=,-6.86,0.06
rxn00395,>,-8.32,0.04
rxn00396,=,1.27,0.02
rxn00397,=,1.27,0.02
rxn00398,=,1.27,0.02
rxn00399,=,1.27,0.02
rxn00400,>,-68.41,0.62
rxn00401,>,-108.97,0.06
rxn00402,=,7.82,0.03
rxn00403,=,12.76,0.23
rxn00404,=,-0.07,0.03
rxn00405,>,-6.75,0.06
rxn00406,=,-0.19,0.03
rxn00407,=,-4.33,0.03
rxn00408,>,-6.39,0.02
rxn00409,=,-0.0,0.02
rxn00410,=,-2.06,0.03
rxn00411,=,6.58,0.02
rxn00412,>,-4.84,0.03
rxn00413,>,1.65,0.03
rxn00414,=,-1.62,0.03
rxn00415,=,0.13,0.02
rxn00416,>,-7.17,0.04
rxn00417,=,0.04,0.03
rxn00418,=,0.04,0.03
rxn00419,=,11.0,0.03
rxn00420,>,-2.45,0.02
rxn00421,=,-1.37,0.02
rxn00422,=,1.62,0.03
rxn00423,=,-1.61,0.03
rxn00424,=,-1.07,0.03
rxn00425,=,1.07,0.22
rxn00426,>,-7.27,0.55
rxn00427,>,-70.26,0.05
rxn00428,=,23.56,0.49
rxn00429,=,-9.76,0.03
rxn00430,=,8.48,0.04
rxn00431,=,8.48,0.04
rxn00432,>,-23.73,0.05
rxn00433,>,-21.52,0.27
rxn00434,>,-16.0,0.3
rxn00435,>,-18.24,0.04
rxn00436,>,-6.09,0.02
rxn00437,=,0.35,0.02
rxn00438,=,-0.31,0.02
rxn00439,>,-6.74,0.02
rxn00440,=,-3.28,0.11
rxn00441,>,-11.17,0.43
rxn00442,>,-11.17,0.43
rxn00444,>,-61.83,0.75
rxn00445,>,-24.65,0.54
rxn00447,>,-24.65,0.54
rxn00448,>,-127.43,0.53
rxn00449,=,-0.0,0.02
rxn00450,>,-25.67,0.17
rxn00451,=,9.12,0.6
rxn00452,=,-1.65,0.73
rxn00453,>,-23.2,0.4
rxn00454,=,-5.54,0.17
rxn00455,=,-3.49,0.37
rxn00456,=,5.92,0.36
rxn00457,=,-2.45,0.17
rxn00458,>,-9.75,0.21
rxn00459,=,-1.0,0.02
rxn00460,=,6.8,0.02
rxn00461,>,-6.14,0.37
rxn00462,<,3.64,0.03
rxn00463,>,-7.96,0.02
rxn00464,>,-14.57,1.04
rxn00465,=,-5.86,0.05
rxn00466,=,10.11,0.28
rxn00467,=,4.33,0.05
rxn00468,>,-13.84,0.43
rxn00469,=,-4.79,0.26
rxn00470,>,-6.75,0.06
rxn00471,>,-5.96,0.04
rxn00472,=,-0.19,0.03
rxn00473,=,5.04,0.02
rxn00474,>,-12.17,0.03
rxn00475,>,-1.87,0.05
rxn00476,>,-2.46,0.05
rxn00477,>,-34.08,0.06
rxn00478,>,-88.31,0.53
rxn00479,>,-116.48,0.32
rxn00480,>,-92.51,0.36
rxn00481,>,-3.61,0.32
rxn00482,=,2.83,0.78
rxn00483,>,-11.09,0.05
rxn00484,>,-11.64,0.26
rxn00485,>,-12.52,0.22
rxn00486,<,72.89,0.52
rxn00487,=,9.09,0.03
rxn00488,>,-23.12,0.05
rxn00489,>,-105.52,0.32
rxn00490,=,5.28,0.88
rxn00491,=,-0.29,0.03
rxn00492,>,-5.35,0.31
rxn00493,=,-0.13,0.03
rxn00494,=,0.85,0.03
rxn00495,>,-0.8,0.02
rxn00496,=,-0.8,0.02
rxn00497,>,-11.64,0.26
rxn00498,>,-26.58,1.32
rxn00499,=,6.58,0.02
rxn00500,=,5.85,0.03
rxn00501,=,-5.06,0.05
rxn00502,=,-5.64,0.05
rxn00503,=,1.24,0.06
rxn00504,=,0.65,0.06
rxn00505,>,2.02,0.04
rxn00506,=,-11.01,0.03
rxn00507,>,-11.6,0.03
rxn00508,=,-5.61,0.03
rxn00509,=,-6.19,0.03
rxn00510,=,9.16,0.03
rxn00511,=,8.58,0.03
rxn00512,=,10.74,0.03
rxn00513,>,-6.4,0.02
rxn00514,>,-8.32,0.02
rxn00515,=,-0.0,0.02
rxn00516,>,-6.07,0.02
rxn00517,=,6.57,0.02
rxn00518,=,-3.43,0.02
rxn00519,=,2.54,0.04
rxn00520,=,0.1,0.02
rxn00521,=,7.04,0.05
rxn00522,>,-22.97,0.05
rxn00523,>,-59.48,0.45
rxn00524,>,-64.13,0.43
rxn00525,<,19.75,0.88
rxn00526,<,19.17,0.88
rxn00527,=,0.02,0.03
rxn00528,>,-10.25,0.42
rxn00529,>,-11.64,0.26
rxn00530,>,-0.8,0.02
rxn00531,=,-4.63,0.36
rxn00532,=,0.24,0.17
rxn00533,=,0.66,0.16
rxn00534,=,-0.97,0.14
rxn00535,=,-0.97,0.14
rxn00536,=,4.61,0.02
rxn00537,>,-30.31,0.29
rxn00538,>,-9.29,0.19
rxn00539,>,-7.2,0.22
rxn00540,=,-4.85,0.16
rxn00541,=,2.41,0.03
rxn00542,=,5.33,0.03
rxn00543,=,5.19,0.02
rxn00544,=,-3.18,0.43
rxn00545,=,-3.77,0.02
rxn00546,=,2.75,0.03
rxn00547,=,-3.43,0.02
rxn00548,>,-11.43,0.03
rxn00549,>,-2.62,0.02
rxn00550,>,-6.39,0.24
rxn00551,=,-1.2,0.02
rxn00552,=,0.54,0.03
rxn00553,=,0.7,0.27
rxn00554,=,-3.77,0.02
rxn00555,=,-3.32,0.03
rxn00556,=,-3.55,0.02
rxn00557,=,-3.77,0.02
rxn00558,=,0.21,0.02
rxn00559,=,0.05,0.03
rxn00560,=,10.48,0.24
rxn00561,=,-6.79,0.06
rxn00562,=,1.21,0.03
rxn00563,>,-15.57,0.34
rxn00564,=,1.09,0.32
rxn00565,>,-82.56,0.05
rxn00566,>,-0.7,0.04
rxn00568,<,96.12,0.04
rxn00569,<,94.37,0.04
rxn00570,<,75.8,0.47
rxn00571,<,35.33,0.04
rxn00572,<,34.74,0.04
rxn00573,<,28.21,0.47
rxn00574,<,28.21,0.47
rxn00575,=,-6.22,0.03
rxn00577,=,-1.73,0.03
rxn00578,>,-4.25,0.27
