rxn_id	Beber_2022	ln_RI
rxn00001	>	-9.033
rxn00002	>	-20.283
rxn00003	=	5.452
rxn00004	=	-0.805
rxn00006	>	-47.029
rxn00007	>	-7.687
rxn00009	=	2.388
rxn00010	=	-3.212
rxn00011	=	5.328
rxn00012	=	-1.165
rxn00013	=	-1.200
rxn00015	=	-0.997
rxn00016	>	-7.959
rxn00017	>	-8.599
rxn00018	=	-6.455
rxn00019	=	-1.938
rxn00020	>	-7.160
rxn00021	=	-1.283
rxn00022	>	-8.434
rxn00024	>	-82.382
rxn00025	>	-72.577
rxn00026	>	-22.553
rxn00028	>	-71.866
rxn00029	>	-23.246
rxn00030	=	1.283
rxn00031	=	0.065
rxn00032	>	-65.272
rxn00033	>	-79.252
rxn00034	>	-74.426
rxn00035	>	-77.425
rxn00036	>	-52.697
rxn00037	>	-53.232
rxn00038	>	-19.812
rxn00039	=	-2.234
rxn00040	>	-21.165
rxn00041	>	-21.421
rxn00042	>	-65.639
rxn00043	>	-45.465
rxn00044	=	-3.563
rxn00045	=	0.000
rxn00046	=	-0.999
rxn00047	>	-13.226
rxn00048	>	-19.545
rxn00050	<	81.874
rxn00051	>	-75.402
rxn00052	>	-34.672
rxn00053	=	2.763
rxn00054	>	-80.889
rxn00055	=	-2.267
rxn00056	=	-1.827
rxn00057	>	-52.717
rxn00060	>	-13.395
rxn00061	>	-18.939
rxn00062	>	-12.581
rxn00063	>	-16.219
rxn00064	>	-18.827
rxn00065	=	-4.476
rxn00066	>	-81.841
rxn00067	=	0.267
rxn00068	<	27.793
rxn00069	=	6.426
rxn00070	=	4.797
rxn00071	>	-7.130
rxn00075	>	-14.835
rxn00076	>	-15.378
rxn00077	=	-2.575
rxn00078	=	-2.574
rxn00083	=	-0.000
rxn00084	>	-81.841
rxn00085	=	6.426
rxn00086	=	4.797
rxn00087	=	1.176
rxn00088	>	-9.148
rxn00089	>	-12.083
rxn00090	>	-16.090
rxn00092	>	-12.671
rxn00093	>	-19.178
rxn00095	>	-16.402
rxn00096	=	2.865
rxn00097	=	0.067
rxn00098	>	-14.851
rxn00099	>	-11.734
rxn00100	=	0.544
rxn00101	>	-11.662
rxn00102	=	3.249
rxn00103	=	-2.908
rxn00104	=	-0.532
rxn00105	=	-0.631
rxn00106	>	-14.315
rxn00107	=	1.199
rxn00108	=	-0.945
rxn00109	>	-17.865
rxn00113	=	-0.882
rxn00114	=	6.138
rxn00116	>	-12.423
rxn00117	=	-0.085
rxn00118	=	0.152
rxn00119	=	-0.118
rxn00120	>	-12.468
rxn00121	>	-13.440
rxn00122	=	-2.084
rxn00123	>	-7.821
rxn00124	=	-3.570
