rxn_id,operator,dg,dge
rxn00001,>,-3.46,0.05
rxn00002,>,-20.14,1.86
rxn00003,<,8.27,0.9
rxn00004,=,4.49,0.57
rxn00006,>,-46.06,1.64
rxn00007,=,-2.79,0.26
rxn00008,<,62.53,0.8
rxn00009,=,2.7,1.52
rxn00010,=,-4.57,1.08
rxn00011,<,7.23,0.84
rxn00012,=,-1.36,1.32
rxn00013,=,-3.73,0.95
rxn00015,=,-1.2,1.08
rxn00016,=,-3.2,0.86
rxn00018,=,-6.24,0.92
rxn00020,=,-2.63,0.42
rxn00021,=,2.81,0.44
rxn00022,=,-3.48,0.38
rxn00024,>,-125.98,2.59
rxn00025,>,-86.46,1.22
rxn00026,>,-26.84,1.03
rxn00029,>,-24.58,0.97
rxn00030,=,-2.83,0.26
rxn00032,>,-101.23,0.92
rxn00033,>,-159.92,2.75
rxn00034,>,-87.92,0.79
rxn00035,>,-119.25,1.85
rxn00036,>,-82.41,3.41
rxn00037,>,-107.75,2.01
rxn00038,>,-11.98,1.19
rxn00039,=,-2.55,0.35
rxn00040,>,-13.77,0.8
rxn00041,>,-13.87,0.8
rxn00042,>,-101.47,1.76
rxn00043,>,-71.27,4.91
rxn00044,=,1.15,0.41
rxn00046,=,-1.82,0.96
rxn00047,>,-14.55,0.79
rxn00048,>,-22.96,1.98
rxn00051,>,-118.04,4.77
rxn00052,>,-40.01,1.05
rxn00054,=,-236.85,47801.15
rxn00055,=,2.65,71701.72
rxn00056,=,-11.89,4.12
rxn00057,=,-161.95,95602.29
rxn00060,>,-32.71,2.06
rxn00061,>,-11.9,0.15
rxn00062,>,-6.16,0.07
rxn00063,>,-8.43,0.14
rxn00064,>,-13.75,0.86
rxn00065,>,1.72,0.24
rxn00066,>,-77.79,0.79
rxn00068,<,48.81,2.02
rxn00069,=,11.53,0.22
rxn00070,=,3.7,0.21
rxn00075,>,-8.85,0.79
rxn00076,>,-8.79,0.73
rxn00077,=,-3.14,0.71
rxn00078,=,-3.14,0.72
rxn00083,=,-0.0,0.08
rxn00084,>,-77.79,0.79
rxn00085,=,11.53,0.23
rxn00086,=,3.7,0.19
rxn00087,=,-1.54,1.6
rxn00088,>,-3.02,0.72
rxn00090,=,-28.02,1.04
rxn00091,>,-70.71,1.25
rxn00092,>,-5.74,0.08
rxn00093,>,-14.62,0.93
rxn00095,=,-7.85,1.99
rxn00096,>,1.69,1.99
rxn00097,=,-0.42,0.04
rxn00098,>,-7.49,0.72
rxn00099,>,-11.69,0.9
rxn00100,>,0.57,0.71
rxn00101,>,-7.11,1.11
rxn00102,=,1.26,0.75
rxn00103,>,-3.53,0.8
rxn00105,=,0.36,0.71
rxn00107,=,0.62,0.3
rxn00108,=,-0.23,0.31
rxn00113,=,0.14,0.96
rxn00114,<,6.3,0.96
rxn00116,>,-5.03,0.78
rxn00117,=,-0.68,0.31
rxn00118,=,0.25,0.31
rxn00119,=,-1.13,0.78
rxn00120,>,-5.48,0.31
rxn00121,>,-5.35,0.94
rxn00122,>,-3.08,0.94
rxn00123,>,-2.71,0.48
rxn00124,=,-3.45,0.48
rxn00125,=,11.44,23900.57
rxn00126,>,-20.35,23900.57
rxn00127,>,-5.47,0.75
rxn00128,=,-13.15,23900.57
rxn00129,=,13.15,23900.57
rxn00130,>,-7.56,0.47
rxn00131,=,-4.78,0.49
rxn00132,>,-3.37,0.34
rxn00133,=,-7.42,1.99
rxn00134,=,-2.79,0.35
rxn00137,>,-2.59,0.75
rxn00138,=,-3.69,0.67
rxn00139,<,3.85,0.33
rxn00140,>,-10.15,0.27
rxn00141,=,8.79,0.58
rxn00142,=,-5.45,0.69
rxn00143,=,-3.86,0.68
rxn00144,=,0.61,1.02
rxn00147,>,0.79,0.12
rxn00148,=,6.53,0.1
rxn00149,=,-6.69,0.5
rxn00150,=,-6.69,0.5
rxn00151,=,4.26,0.12
rxn00152,>,-37.93,1.28
rxn00153,>,-12.69,0.13
rxn00154,=,-8.47,0.78
rxn00155,=,-8.47,0.79
rxn00156,>,-40.2,1.27
rxn00157,=,4.94,0.36
rxn00158,>,-91.83,23900.57
rxn00159,=,3.13,0.76
rxn00160,=,5.29,1.26
rxn00161,=,3.13,0.76
rxn00162,>,-3.96,0.76
rxn00164,<,5.33,1.04
rxn00165,>,-6.93,0.23
rxn00166,>,-6.8,0.72
rxn00168,>,-4.29,0.8
rxn00170,>,-7.3,0.13
rxn00171,=,-4.18,0.29
rxn00172,=,1.14,0.09
rxn00173,=,2.26,0.15
rxn00174,>,-3.95,0.77
rxn00175,=,-1.13,0.1
rxn00176,=,-282.63,23900.57
rxn00177,=,2.81,0.38
rxn00178,=,6.02,0.21
rxn00179,=,6.51,0.55
rxn00180,=,5.82,0.55
rxn00181,=,5.82,0.55
rxn00182,=,8.71,0.07
rxn00183,=,-10.34,0.49
rxn00184,=,8.72,0.09
rxn00185,>,-23.01,1.02
rxn00186,=,-0.72,0.79
rxn00187,=,-3.34,0.2
rxn00188,<,13.21,1.19
rxn00189,>,-2.82,0.21
rxn00190,>,-6.51,0.71
rxn00191,=,0.07,0.13
rxn00192,>,-5.12,0.81
rxn00193,=,0.13,0.52
rxn00194,>,-5.69,0.85
rxn00195,=,-1.77,0.58
rxn00196,=,-8.47,0.49
rxn00197,=,-6.93,0.95
rxn00198,>,1.41,0.78
rxn00199,>,-3.33,0.96
rxn00200,=,-0.14,0.58
rxn00201,<,10.04,0.79
rxn00202,<,6.93,0.67
rxn00203,>,-4.14,0.82
rxn00204,>,-39.15,1.89
rxn00205,>,-74.09,0.81
rxn00208,>,-23.36,1.11
rxn00209,>,-27.09,1.03
rxn00210,>,-23.14,1.15
rxn00211,=,-4.28,0.56
rxn00212,>,-7.08,0.97
rxn00213,=,0.03,0.34
rxn00215,>,-15.71,0.62
rxn00216,=,-4.01,0.11
rxn00217,=,-1.02,0.28
rxn00218,=,-2.59,0.51
rxn00219,>,-31.6,1.1
rxn00220,>,-2.15,0.11
rxn00221,>,-4.86,0.32
rxn00222,=,-3.44,0.61
rxn00223,=,0.19,0.34
rxn00225,=,3.41,0.13
rxn00226,=,281.5,23900.57
rxn00227,>,-9.57,0.15
rxn00228,>,-20.13,1.71
rxn00229,>,-118.86,1.08
rxn00230,=,6.1,0.16
rxn00231,>,-5.66,0.58
rxn00232,=,-289.93,23900.57
rxn00233,>,-10.35,1.06
rxn00234,=,0.62,0.28
rxn00235,=,-6.8,0.57
