model_id,reason,n_reactions,n_metabolites,n_genes,n_exchanges_open,growth_flux,n_unique_rxns,n_unique_cpds,n_rare_rxns,novel_rxns_added,novel_cpds_added,min_jaccard_to_selected
GCF_003261575.2,reaction-coverage rank 1: adds 187 previously-uncovered reactions,221,178,347,22,40.634,187,149,0,187,,
GCF_000632475.1,reaction-coverage rank 2: adds 20 previously-uncovered reactions,212,189,310,19,61.502,181,163,1,20,,
GCF_000164985.3,reaction-coverage rank 3: adds 9 previously-uncovered reactions,187,163,185,19,32.852,158,137,0,9,,
GCF_009688965.1,reaction-coverage rank 4: adds 7 previously-uncovered reactions,179,171,310,19,19.98,148,145,3,7,,
GCF_003441595.1,reaction-coverage rank 5: adds 3 previously-uncovered reactions,182,164,230,19,27.024,153,138,1,3,,
GCF_000010625.1,reaction-coverage rank 6: adds 2 previously-uncovered reactions,144,140,148,18,16.908,116,115,0,2,,
GCF_000011305.1,reaction-coverage rank 7: adds 1 previously-uncovered reactions,161,153,149,19,19.464,132,127,0,1,,
GCF_000015745.1,reaction-coverage rank 8: adds 1 previously-uncovered reactions,185,161,181,21,20.097,154,133,1,1,,
GCF_000016745.1,reaction-coverage rank 9: adds 1 previously-uncovered reactions,151,149,202,19,18.596,122,124,1,1,,
GCF_000025265.1,reaction-coverage rank 10: adds 1 previously-uncovered reactions,170,161,279,19,33.816,141,135,1,1,,
GCF_000200595.1,reaction-coverage rank 11: adds 1 previously-uncovered reactions,133,133,99,21,20.317,102,105,1,1,,
GCF_000756615.1,reaction-coverage rank 12: adds 1 previously-uncovered reactions,178,166,182,19,29.647,149,140,1,1,,
GCF_000283635.1,extreme: smallest by reactions,99,110,82,15,14.275,74,88,0,,,
GCF_000014405.1,extreme: smallest by metabolites,100,104,72,17,8.681,73,80,0,,,
GCF_000599545.1,extreme: largest by genes,197,169,456,20,57.355,167,142,0,,,
GCF_000014425.1,extreme: smallest by genes,106,108,69,17,8.657,79,85,0,,,
GCF_002591335.1,extreme: highest growth flux,191,161,334,21,62.063,160,133,0,,,
GCF_000746585.1,extreme: lowest growth flux (still growing),112,119,80,15,1.674,87,97,0,,,
GCF_000008165.1,extreme: widest open exchange repertoire,194,167,218,22,40.634,162,138,0,,,
GCF_000024425.1,extreme: narrowest open exchange repertoire,137,141,128,13,2.902,114,121,0,,,
GCF_000018405.1,extreme: carries many rare reactions (<1% of growers),140,146,176,16,17.802,112,124,2,,,
GCF_000233715.2,extreme: carries many rare reactions (<1% of growers),156,156,229,18,26.203,126,131,2,,,
GCF_001688725.2,farthest-point: min Jaccard distance to already-selected = 0.454,122,127,117,16,17.73,96,104,0,,,0.4539
GCF_000270285.1,farthest-point: min Jaccard distance to already-selected = 0.434,129,128,180,17,15.253,100,104,0,,,0.4337
GCF_008805035.1,farthest-point: min Jaccard distance to already-selected = 0.431,112,127,72,16,14.207,86,105,0,,,0.4314
GCF_000237205.1,farthest-point: min Jaccard distance to already-selected = 0.431,130,129,84,18,30.736,102,104,0,,,0.4311
GCF_002082765.1,farthest-point: min Jaccard distance to already-selected = 0.419,125,125,101,19,21.991,96,100,0,,,0.4194
GCF_003352785.1,farthest-point: min Jaccard distance to already-selected = 0.405,125,129,99,16,4.853,99,106,0,,,0.4048
GCF_900186975.1,farthest-point: min Jaccard distance to already-selected = 0.402,130,129,116,18,5.845,102,104,0,,,0.4024
GCF_001688905.2,farthest-point: min Jaccard distance to already-selected = 0.393,134,126,126,20,18.361,100,100,0,,,0.3934
GCF_001262075.1,farthest-point: min Jaccard distance to already-selected = 0.390,139,141,117,18,9.718,111,117,0,,,0.3902
GCF_001020955.1,farthest-point: min Jaccard distance to already-selected = 0.390,132,135,128,19,6.617,103,109,0,,,0.3898
GCF_000284095.1,farthest-point: min Jaccard distance to already-selected = 0.389,147,136,134,20,21.144,115,109,0,,,0.3893
GCF_000020645.1,farthest-point: min Jaccard distance to already-selected = 0.388,129,132,130,15,9.755,104,111,0,,,0.3882
GCF_900232105.1,farthest-point: min Jaccard distance to already-selected = 0.384,144,144,200,18,16.426,116,119,1,,,0.3836
GCF_013377295.1,farthest-point: min Jaccard distance to already-selected = 0.381,137,138,95,17,31.953,108,115,0,,,0.381
GCF_001746835.1,farthest-point: min Jaccard distance to already-selected = 0.379,139,138,136,19,18.784,110,113,0,,,0.3788
GCF_006874645.1,farthest-point: min Jaccard distance to already-selected = 0.379,127,135,123,14,11.932,103,114,0,,,0.3788
GCF_001659705.1,farthest-point: min Jaccard distance to already-selected = 0.375,130,133,124,15,20.374,105,111,0,,,0.375
GCF_003355515.1,farthest-point: min Jaccard distance to already-selected = 0.371,127,126,115,17,16.808,100,102,0,,,0.371
GCF_000179915.2,farthest-point: min Jaccard distance to already-selected = 0.365,141,134,125,18,20.688,113,109,0,,,0.3653
GCF_008118345.1,farthest-point: min Jaccard distance to already-selected = 0.365,151,139,139,19,40.634,122,113,0,,,0.365
GCF_002005145.1,farthest-point: min Jaccard distance to already-selected = 0.364,142,133,176,18,21.482,114,108,0,,,0.3643
GCF_000507245.1,farthest-point: min Jaccard distance to already-selected = 0.360,141,145,116,17,16.057,114,121,1,,,0.3597
GCF_000284315.1,farthest-point: min Jaccard distance to already-selected = 0.359,127,130,128,18,5.392,99,105,0,,,0.3588
GCF_003143535.1,farthest-point: min Jaccard distance to already-selected = 0.358,134,145,122,18,5.969,106,120,0,,,0.3582
GCF_009649955.1,farthest-point: min Jaccard distance to already-selected = 0.356,143,135,133,17,13.92,114,111,0,,,0.3562
GCF_000014865.1,farthest-point: min Jaccard distance to already-selected = 0.354,145,148,162,18,17.146,117,123,0,,,0.354
