model_id,n_samples,mean_flux,q05,q50,q95,p_grows,point_estimate_flux,point_in_ci95
GCF_000006725.1,50,34.999613,34.245520,34.934620,35.266931,1.0000,34.934620,1
GCF_000007465.2,50,40.303585,30.077302,45.115954,45.115954,1.0000,45.115954,1
GCF_000007845.1,50,103.970280,84.298196,105.372746,109.956809,1.0000,109.956809,0
GCF_000008165.1,50,107.861930,87.965447,109.956809,109.956809,1.0000,109.956809,1
GCF_000008525.1,50,14.812124,14.812124,14.812124,14.812124,1.0000,14.812124,1
GCF_000009905.1,50,85.420494,66.574725,87.059256,87.059256,1.0000,87.059256,1
GCF_000009985.1,50,78.778689,60.289813,80.386418,80.386418,1.0000,80.386418,1
GCF_000011305.1,50,95.719677,73.496361,93.719363,106.099181,1.0000,106.099181,1
GCF_000014005.1,50,88.059578,75.091555,93.592372,100.467776,1.0000,100.467776,1
GCF_000014285.1,50,79.802636,69.155938,80.397946,83.514146,1.0000,83.514146,1
GCF_000014405.1,50,16.258405,16.258405,16.258405,16.258405,1.0000,16.258405,1
GCF_000014425.1,50,40.179729,29.984873,44.977309,44.977309,1.0000,44.977309,1
GCF_000014965.1,50,59.140605,52.588217,59.643214,59.643214,1.0000,59.643214,1
GCF_000015745.1,50,88.014508,73.088216,93.151648,95.844064,1.0000,95.844064,1
GCF_000016745.1,50,80.653181,72.989304,72.989304,91.236630,1.0000,91.236630,1
GCF_000018865.1,50,53.041280,34.879224,50.696547,67.016012,1.0000,66.264723,1
GCF_000020525.1,50,50.886477,35.956155,51.519968,53.934233,1.0000,51.519968,1
GCF_000020545.1,50,56.044079,37.344504,55.605416,61.108254,1.0000,61.108254,1
GCF_000021045.1,50,112.900907,107.576733,107.735039,121.201919,1.0000,121.201919,1
GCF_000021805.1,50,65.421690,47.345453,63.146851,74.570402,1.0000,74.570402,1
GCF_000022565.1,50,78.502609,68.176742,79.992362,85.759907,1.0000,85.759907,1
GCF_000023745.1,50,63.683252,49.582214,65.974085,65.974085,1.0000,65.974085,1
GCF_000024945.1,50,82.876903,65.974085,81.437535,87.965447,1.0000,87.965447,1
GCF_000025185.1,50,62.478426,41.758652,66.429127,83.036409,1.0000,83.036409,1
GCF_000025265.1,50,117.846973,106.182826,121.892734,131.111512,1.0000,131.111512,1
GCF_000025945.1,50,62.843315,56.328292,58.553773,71.878630,1.0000,71.878630,1
GCF_000092365.1,50,59.765361,59.765361,59.765361,59.765361,1.0000,59.765361,1
GCF_000143845.1,50,50.990700,24.672919,57.570145,57.570145,1.0000,57.570145,1
