family	n	median_kappa	median_snr	median_sigma	median_turnover	median_abs_dg	mad_gc_eq	mad_gc_dgp	mad_eq_dgp	r_gc_eq	r_gc_dgp	r_eq_dgp
methyl transfer (SAM/SAH)	270	0.5144	39.5357	5.1832	393.1850	4.3600	10.1000	18.7000	15.2950	0.6011	0.1233	0.4165
small (<=6 C)	1461	0.0196	5.2703	1.0801	301.1000	4.7200	2.3100	3.4300	1.7300	0.7880	0.8452	0.6772
EC 1 oxidoreductase	2777	0.0298	5.1531	2.9296	905.5300	12.5000	2.3200	4.7600	3.9800	0.9435	0.9189	0.8886
aldehyde group change	972	0.0130	3.7538	2.3081	627.6800	9.0950	1.2550	3.3900	2.4250	0.9207	0.8902	0.8233
EC 3 hydrolase	1299	0.0122	3.7363	1.6876	501.6500	5.7500	5.1800	5.9000	2.2900	0.2264	0.2609	0.1178
1 group type changes	2277	0.0107	3.6750	2.0538	639.7000	7.2200	4.4000	4.5900	2.4200	0.6633	0.8222	0.5544
EC 2 transferase	2173	0.0068	3.6675	2.9370	1197.4300	5.7500	4.6600	7.1300	2.9900	0.7495	0.4400	0.3181
amide group change	744	0.0153	3.5251	2.1359	524.4700	5.2900	4.3900	4.4900	3.9200	0.9078	0.3656	0.5194
redox: NAD(P)(H)	2203	0.0128	3.3840	3.0258	1096.3600	9.8000	2.1200	3.9100	3.4600	0.9628	0.9339	0.9220
ketone group change	1658	0.0175	3.3730	2.4593	738.1950	6.2200	2.2600	3.8150	3.1600	0.9098	0.8216	0.8013
phosphoanhydride change	881	0.0032	3.3492	1.7198	1395.8100	14.0300	10.9800	10.5900	1.3700	0.7738	0.0042	0.1866
amide-N transfer (Gln/Glu)	279	0.0054	2.7623	1.2661	430.9800	2.4600	1.8200	2.7000	1.7500	0.8618	-0.2085	-0.0440
phosphoryl transfer (ATP/ADP/AMP)	809	0.0024	2.7499	1.6857	1427.3900	14.0300	10.5300	10.1000	1.5100	0.0996	0.2911	0.4573
acyl transfer (thioester/CoA)	544	0.0052	1.7952	3.5741	1408.8500	5.7500	1.4200	3.7200	2.4650	0.8423	0.0816	0.1514
EC 6 ligase	257	0.0026	1.7918	2.7701	1959.3700	11.1300	15.5300	11.3500	2.2400	0.0598	0.2136	0.3792
