space	cluster	label	n	gc_median	eq_median	dgp_median	gc_iqr	dgp_iqr	mad_gc_eq	mad_gc_dgp	r_gc_dgp	frac_kegg_vouched	enriched	example_rxns	example_names	top_ec_class
raw	-1	noise	5330	-3.6800	-3.3300	-2.9800	16.9075	15.6200	3.8450	6.2350	0.6622	1.0000	-	rxn00001;rxn00002;rxn00003;rxn00004	diphosphate phosphohydrolase | urea-1-carboxylate amidohydrolase | pyruvate:pyruvate acetaldehydetransfer	1
raw	44	C44	374	0.0000	0.0000	0.0100	0.0500	0.8900	0.5100	0.3200	0.1889	1.0000	-	rxn00044;rxn00083;rxn00102;rxn00107	N-(6-aminohexanoyl)-6-aminohexanoate a | NADPH:NAD+ oxidoreductase | carbonate hydro-lyase (carbon-dioxide-	2
raw	23	C23	282	-14.0300	-3.2250	-3.4600	0.0000	1.0600	10.8050	10.4700	0.0368	1.0000	cof_adp 68% (10.1x); d_phosphoanhydride_nz 93% (8.8x); cof_atp 71% (8.2x); ec2 93% (3.6x)	rxn00077;rxn00078;rxn00124;rxn00134	ATP:NAD+ 2'-phosphotransferase | ATP:NADH 2'-phosphotransferase | ATP:pyridoxal 5'-phosphotransferase	2
raw	8	C8	115	-94.3900	-95.0700	-94.8400	3.6100	1.9700	1.0100	2.2800	-0.1923	1.0000	cof_o2 100% (7.2x); cof_nadph 81% (5.8x); cof_nadp 81% (5.8x); d_aromatic_c_nz 97% (3.2x); d_alkene_nz 97% (2.9x); ec1 91% (2.7x)	rxn01067;rxn01567;rxn01696;rxn01788	Cholesterol,NADPH:oxygen oxidoreductas | (-)-menthol,NADPH:oxygen oxidoreductas | R02356	1
raw	17	C17	102	9.4800	8.7200	8.7650	3.8500	5.0550	1.1200	1.8650	-0.8078	1.0000	d_ketone_nz 42% (2.1x); d_aromatic_c_nz 64% (2.1x)	rxn00139;rxn00164;rxn00182;rxn00184	AMP:diphosphate phospho-D-ribosyltrans | 2-Hydroxyethylenedicarboxylate carboxy | L-glutamate:NAD+ oxidoreductase (deami	1
raw	38	C38	101	3.7600	4.4400	4.3300	0.0900	1.6300	0.6800	0.7700	-0.0330	1.0000	cof_nadh 57% (4.7x); cof_nad 57% (4.6x); d_ketone_nz 57% (2.9x); d_aromatic_c_nz 86% (2.8x); d_alkene_nz 86% (2.5x); ec1 81% (2.4x)	rxn00328;rxn01208;rxn01239;rxn01276	4-hydroxy-2-oxoglutarate glyoxylate-ly | R01652 | L-Sorbose:NADP+ 5-oxidoreductase	1
raw	15	C15	88	-4.3600	-1.8400	-23.1100	0.0000	0.6500	2.5200	18.7500	-0.0105	1.0000	cof_sah 98% (32.9x); cof_sam 98% (30.9x); has_S 99% (5.1x); ec2 92% (3.5x); d_hydroxyl_nz 98% (2.0x)	rxn00372;rxn00596;rxn00922;rxn01426	Formyl-CoA hydrolase | S-Adenosyl-L-methionine:catechol O-met | S-Adenosyl-L-methionine:phenol O-methy	2
raw	36	C36	80	-6.8100	-6.3050	-6.4000	0.0000	0.2200	0.6500	0.4100	0.6175	1.0000	cof_pi 85% (10.5x); d_phosphoanhydride_nz 85% (8.1x); kegg_heavily_reused 36% (5.9x); ec3 74% (4.7x); is_obsolete 71% (2.3x); cof_h2o 81% (2.2x)	rxn00062;rxn00098;rxn00120;rxn00165	ATP phosphohydrolase | Adenosine-tetraphosphate phosphohydrol | UTP phosphohydrolase	3
raw	13	C13	77	-24.0200	-22.9300	-22.2700	2.5500	2.5300	1.4500	1.6200	0.7667	1.0000	cof_h2o2 100% (29.2x); cof_nh3 70% (11.3x); cof_o2 100% (7.2x); d_aldehyde_nz 69% (5.9x); ec1 99% (3.0x)	rxn00185;rxn00208;rxn00209;rxn00210	L-Glutamate:oxygen oxidoreductase (dea | Pyridoxamine-5'-phosphate:oxygen oxido | Pyridoxine 5-phosphate:oxygen oxidored	1
raw	35	C35	76	-5.7000	-5.8150	-6.5150	0.4600	1.3900	0.1700	1.1050	0.6425	1.0000	cof_coa 76% (11.8x); d_thioester_nz 76% (11.7x); has_S 76% (3.9x); ec3 51% (3.3x); d_carboxylate_nz 53% (2.5x)	rxn00287;rxn00737;rxn00895;rxn00943	Succinyl-CoA hydrolase | L-threonine ammonia-lyase (2-oxobutano | Acetyl-CoA:D-glucosamine N-acetyltrans	3
raw	45	C45	75	2.3000	-0.2800	2.5600	0.0000	2.2100	2.5800	1.1300	-0.0253	1.0000	cof_nadh 55% (4.5x); cof_nad 55% (4.4x); d_ketone_nz 80% (4.0x); d_aromatic_c_nz 80% (2.6x); d_alkene_nz 85% (2.5x); ec1 76% (2.3x)	rxn01336;rxn01566;rxn01688;rxn01692	Testosterone:NAD+ 17-oxidoreductase | (-)-menthol:NADP+ oxidoreductase | Estradiol-17alpha:NAD+ 17-oxidoreducta	1
raw	37	C37	74	5.5000	4.8200	5.0800	1.0000	0.5850	0.7500	0.6450	-0.4255	1.0000	d_aldehyde_nz 55% (4.8x); cof_nadh 53% (4.3x); cof_nad 53% (4.2x); d_aromatic_c_nz 95% (3.1x); cof_nadph 42% (3.0x); cof_nadp 42% (3.0x)	rxn00157;rxn00473;rxn00536;rxn00542	Acetyl-CoA:formate C-acetyltransferase | L-tryptophan indole-lyase (deaminating | Ethanol:NADP+ oxidoreductase	1
raw	4	C4	72	-8.8800	58.0500	3.4250	16.2225	12.0150	68.6000	7.9800	0.5495	1.0000	ec3 56% (3.6x)	rxn00357;rxn00827;rxn00846;rxn00925	UDP-galactose:UDP-N-acetyl-D-glucosami | CTP:N-acetylneuraminate cytidylyltrans | Monomethyl-sulfate sulfohydrolase	3
raw	10	C10	71	-95.8300	-105.9700	-81.7400	0.0000	4.0450	10.1400	14.0900	0.4824	1.0000	cof_o2 100% (7.2x); cof_nadph 73% (5.3x); cof_nadp 73% (5.3x); d_aromatic_c_nz 100% (3.3x); ec1 99% (3.0x); d_alkene_nz 100% (2.9x)	rxn00586;rxn00589;rxn00960;rxn00962	phenol,NADPH:oxogen oxidoreductase (2- | salicylate,NADH:oxygen oxidoreductase  | 4-hydroxybenzoate,NADH:oxygen oxidored	1
raw	18	C18	69	-21.5500	-2.8400	-1.0800	0.9100	1.8300	18.8800	19.7100	-0.0233	1.0000	cof_amp 57% (22.7x); ec6 61% (19.8x); cof_ppi 54% (7.9x); cof_atp 61% (7.1x); cof_coa 43% (6.7x); d_thioester_nz 43% (6.7x)	rxn00138;rxn00175;rxn00340;rxn00414	deamido-NAD+:ammonia ligase (AMP-formi | Acetate:CoA ligase (AMP-forming) | L-aspartate:ammonia ligase (AMP-formin	6
raw	24	C24	66	-8.2150	2.2600	2.5400	2.9900	1.5175	10.7500	10.9700	0.4936	1.0000	cof_pi 59% (7.3x); ec2 61% (2.3x)	rxn00065;rxn00173;rxn00225;rxn00247	ATP diphosphate-lyase (cyclizing; 3',5 | acetyl-CoA:phosphate acetyltransferase | ATP:acetate phosphotransferase	2
raw	19	C19	57	-3.6300	6.4800	6.8200	0.5200	1.8000	10.1100	10.6100	0.3117	1.0000	ec3 63% (4.1x)	rxn00148;rxn00251;rxn00304;rxn00411	ATP:pyruvate 2-O-phosphotransferase | phosphate:oxaloacetate carboxy-lyase ( | GTP:pyruvate 2-O-phosphotransferase	3
raw	16	C16	55	-1.7000	-13.2000	-13.1900	0.0000	2.7550	11.5000	11.5600	-0.4387	1.0000	ec2 65% (2.5x)	rxn00038;rxn00040;rxn00128;rxn00153	(R)-3-((R)-3-Hydroxybutanoyloxy)-butan | digallate acylhydrolase | S-adenosyl-L-methionine methylthioaden	2
raw	14	C14	53	-27.3000	-8.0000	-8.0400	1.0700	0.5400	19.5800	20.1300	0.0031	1.0000	cof_amp 49% (19.7x); d_phosphoanhydride_nz 100% (9.5x); cof_ppi 60% (8.9x); ec3 77% (5.0x); cof_h2o 87% (2.3x)	rxn00063;rxn00076;rxn00121;rxn00212	ATP diphosphohydrolase (diphosphate-fo | NAD+ phosphohydrolase | FAD nucleotidohydrolase	3
raw	12	C12	49	-22.5300	-18.1300	-22.4400	0.0000	0.7100	4.4000	0.2400	0.3575	1.0000	cof_ppi 92% (13.6x); ec2 90% (3.5x)	rxn00269;rxn01213;rxn01214;rxn01466	glycine:oxygen oxidoreductase (deamina | GPPSYN-RXN | Dimethylallyl-diphosphate:isopentenyl-	2
raw	34	C34	48	-5.2900	-5.8300	-3.5800	0.6100	1.6200	0.7100	2.1950	-0.3880	1.0000	cof_coa 48% (7.4x); d_thioester_nz 48% (7.4x); ec3 54% (3.5x); has_S 54% (2.8x)	rxn00407;rxn01107;rxn01183;rxn01217	CTP aminohydrolase | D-Glucono-1,5-lactone lactonohydrolase | 4-Coumaroyl-CoA:agmatine N4-coumaroylt	3
raw	28	C28	47	-9.5800	-9.3300	-11.1000	1.6300	0.9850	1.5100	1.6300	-0.0093	1.0000	d_aldehyde_nz 60% (5.1x); d_carboxylate_nz 49% (2.3x); cof_h2o 81% (2.1x)	rxn00779;rxn00957;rxn00958;rxn01032	D-glyceraldehyde 3-phosphate:NADP+ oxi | 4-hydroxybenzaldehyde:NAD+ oxidoreduct | 4-Hydroxybenzaldehyde:NADP+ oxidoreduc	1
raw	21	C21	47	7.2200	-3.3500	-2.9700	0.0000	0.0200	10.5700	10.1900	0.0000	1.0000	cof_pi 100% (12.3x); ec3 81% (5.2x); cof_h2o 100% (2.7x); d_hydroxyl_nz 100% (2.1x)	rxn00132;rxn00363;rxn01218;rxn01445	Adenosine 5'-monophosphate phosphohydr | Cytidine-5'-monophosphate phosphohydro | 2'-Deoxycytidine 5'-monophosphate phos	3
raw	5	C5	45	-14.3400	-68.0100	-8.4100	8.7100	6.3800	52.7200	8.4100	-0.4753	1.0000	-	rxn00385;rxn00386;rxn00387;rxn00758	3'-Phosphoadenylylsulfate:17beta-estra | 3'-Phosphoadenylylsulfate:phenolic-ste | 3'-Phosphoadenylylsulfate:phenolic-ste	2
raw	6	C6	44	-76.3150	-83.0100	-84.1150	10.2900	13.1150	9.3050	14.7300	-0.7576	1.0000	cof_o2 91% (6.5x); cof_nadh 45% (3.7x); cof_nad 45% (3.6x); ec1 89% (2.7x)	rxn00025;rxn00066;rxn00084;rxn00565	beta-Carotene:oxygen 15,15'-oxidoreduc | NADH:hydrogen-peroxide oxidoreductase | NADPH:hydrogen-peroxide oxidoreductase	1
