space	cluster	label	n	gc_median	eq_median	dgp_median	gc_iqr	dgp_iqr	mad_gc_eq	mad_gc_dgp	r_gc_dgp	frac_kegg_vouched	enriched	example_rxns	example_names	top_ec_class
symlog	-1	noise	4954	-4.5800	-3.0800	-3.4000	18.4250	15.3675	4.2200	5.9600	0.6666	1.0000	-	rxn00001;rxn00002;rxn00003;rxn00006	diphosphate phosphohydrolase | urea-1-carboxylate amidohydrolase | pyruvate:pyruvate acetaldehydetransfer	1
symlog	22	C22	360	5.0500	4.8900	5.0800	2.3100	2.2400	1.1900	1.2400	0.1689	1.0000	cof_nadh 51% (4.2x); cof_nad 51% (4.0x); d_aromatic_c_nz 83% (2.7x); d_ketone_nz 52% (2.6x); d_alkene_nz 83% (2.4x); ec1 80% (2.4x)	rxn00141;rxn00157;rxn00178;rxn00230	S-Adenosyl-L-homocysteine hydrolase | Acetyl-CoA:formate C-acetyltransferase | Acetyl-CoA:acetyl-CoA C-acetyltransfer	1
symlog	0	C0	290	-6.9000	4.8000	5.5300	6.7000	4.0575	11.9850	11.4950	0.2605	1.0000	-	rxn00065;rxn00100;rxn00114;rxn00125	ATP diphosphate-lyase (cyclizing; 3',5 | ATP:dephospho-CoA 3'-phosphotransferas | ATP:carbamate phosphotransferase	2
symlog	36	C36	237	-14.0300	-3.7000	-3.5900	0.0000	1.1900	10.3900	10.4800	0.4849	1.0000	cof_adp 61% (9.1x); d_phosphoanhydride_nz 92% (8.7x); cof_atp 60% (7.0x); ec2 86% (3.3x)	rxn00077;rxn00078;rxn00092;rxn00124	ATP:NAD+ 2'-phosphotransferase | ATP:NADH 2'-phosphotransferase | ADP phosphohydrolase	2
symlog	2	C2	190	7.2200	-3.3500	-2.9700	0.0000	1.1275	10.5700	10.1900	0.0358	1.0000	cof_pi 89% (11.0x); ec3 84% (5.4x); cof_h2o 89% (2.4x)	rxn00088;rxn00132;rxn00220;rxn00221	NADP+ 2'-phosphohydrolase | Adenosine 5'-monophosphate phosphohydr | D-Glucose-6-phosphate phosphohydrolase	3
symlog	9	C9	172	-3.7600	-4.4400	4.8400	2.6400	3.4725	0.8300	8.9200	-0.6383	1.0000	-	rxn00016;rxn00020;rxn00022;rxn00211	chitobiose N-acetylglucosaminohydrolas | cellobiose glucohydrolase | maltose glucohydrolase	1
symlog	25	C25	133	-1.7000	-3.7100	-5.8800	0.2400	4.4600	1.9600	4.1100	-0.1173	1.0000	ec2 58% (2.2x)	rxn00187;rxn00454;rxn00469;rxn00540	L-Glutamate:ammonia ligase (ADP-formin | L-Methionine:glyoxylate aminotransfera | N2-Acetyl-L-ornithine amidohydrolase	2
symlog	34	C34	114	-24.0200	-22.5800	-21.4600	1.9350	2.9725	1.4500	2.5700	0.6370	1.0000	cof_h2o2 98% (28.7x); cof_nh3 58% (9.3x); cof_o2 98% (7.0x); d_aldehyde_nz 74% (6.3x); ec1 99% (3.0x)	rxn00026;rxn00185;rxn00208;rxn00209	thiamine:oxygen 5-oxidoreductase | L-Glutamate:oxygen oxidoreductase (dea | Pyridoxamine-5'-phosphate:oxygen oxido	1
symlog	16	C16	106	0.0000	0.0000	0.0000	0.0000	0.1450	0.0700	0.1100	-0.1627	1.0000	ec5 41% (7.6x)	rxn00117;rxn00191;rxn00193;rxn00237	ATP:UDP phosphotransferase | L-Alanine:2-oxoglutarate aminotransfer | glutamate racemase	2
symlog	12	C12	93	2.3000	-0.2800	3.9000	0.0000	4.0000	2.5800	1.6000	-0.0978	1.0000	d_ketone_nz 86% (4.3x); cof_nadh 48% (4.0x); cof_nad 48% (3.9x); d_aromatic_c_nz 86% (2.8x); cof_nadph 38% (2.7x); cof_nadp 38% (2.7x)	rxn01566;rxn01793;rxn01794;rxn01850	(-)-menthol:NADP+ oxidoreductase | Androsterone:NAD+ oxidoreductase | Androsterone:NADP+ oxidoreductase	1
