rxn	name	ec_class	dg_gc	dg_eq	dg_dgp	cluster
rxn00001	diphosphate phosphohydrolase	3	4.150	-3.460	-3.820	-1
rxn00002	urea-1-carboxylate amidohydrolase	3	-9.620	-20.140	-23.020	-1
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2	10.530	8.270	5.710	-1
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	4	3.170	4.490	-1.480	1
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	1	-45.360	-46.060	-46.540	-1
rxn00007	alpha,alpha-trehalose glucohydrolase	3	-3.110	-2.790	-2.980	31
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	1	62.270	62.530	-64.690	-1
rxn00009	GTP:GTP guanylyltransferase	2	-8.460	2.700	0.420	-1
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	4	-10.570	-4.570	-5.170	-1
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1;2;4	6.870	7.230	-7.320	-1
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	2	0.000	-1.360	-5.120	-1
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2	-0.520	-1.200	-4.600	-1
rxn00016	chitobiose N-acetylglucosaminohydrolase	3	-3.110	-3.200	2.510	9
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	4	-7.910	-6.240	-8.630	-1
rxn00020	cellobiose glucohydrolase	3	-3.110	-2.630	6.130	9
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	4	2.470	2.810	2.370	-1
rxn00022	maltose glucohydrolase	3	-3.110	-3.480	5.810	9
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	1	-82.880	-125.980	-48.690	-1
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	1	-87.460	-86.460	-72.680	23
rxn00026	thiamine:oxygen 5-oxidoreductase	1	-26.490	-26.840	-29.070	34
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	4	-15.310	-24.580	-38.950	-1
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	4	-4.020	-2.830	-8.440	-1
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	1	-136.560	-159.920	-128.620	-1
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	1	-83.780	-87.920	-61.990	-1
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	1	-121.360	-119.250	-28.330	-1
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	1	-79.740	-82.410	-148.190	-1
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	3	-2.140	-11.980	-8.600	13
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2	0.000	-2.550	-10.930	-1
rxn00040	digallate acylhydrolase	3	-2.140	-13.770	-17.930	13
rxn00041	orsellinate-depside hydrolase	3	-2.140	-13.870	-18.280	13
rxn00042	inosine:oxygen 5'-oxidoreductase	1	-98.340	-101.470	-96.380	-1
rxn00043	catechol:oxygen oxidoreductase	1	-82.180	-71.270	-131.460	-1
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	3	-0.460	1.150	0.080	-1
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	2	0.000	-1.820	-10.740	-1
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2	-51.050	-22.960	14.060	-1
rxn00051	D-urobilinogen:oxygen oxidoreductase	none	-84.120	-118.040	-106.660	-1
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	1	-41.510	-40.010	-34.790	32
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	1	-286.320	-236.850	-292.350	-1
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	2	-24.550	2.650	-17.630	-1
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	1	-264.940	-161.950	-216.780	-1
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	2;4	-25.970	-32.710	-68.010	-1
rxn00061	ATP diphosphohydrolase (phosphate-forming)	3	-23.150	-11.900	-12.150	-1
rxn00062	ATP phosphohydrolase	3;5;7	-6.810	-6.160	-6.400	42
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	3	-27.300	-8.430	-8.330	30
rxn00064	ATP aminohydrolase	3	-8.480	-13.750	-5.650	-1
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	4	-8.480	1.720	1.680	0
rxn00066	NADH:hydrogen-peroxide oxidoreductase	1	-77.070	-77.790	-78.750	23
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	1	13.410	11.530	12.000	18
rxn00070	glutathione:NAD+ oxidoreductase	1	21.970	3.700	4.690	-1
rxn00075	NAD nucleosidase, mitochondrial	3	-3.670	-8.850	-4.330	-1
rxn00076	NAD+ phosphohydrolase	3	-28.370	-8.790	-8.150	30
rxn00077	ATP:NAD+ 2'-phosphotransferase	2	-14.030	-3.140	-2.840	36
rxn00078	ATP:NADH 2'-phosphotransferase	2	-14.030	-3.140	-3.430	36
rxn00083	NADPH:NAD+ oxidoreductase	1	0.000	-0.000	0.580	-1
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	1	-77.070	-77.790	-78.160	23
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	1	13.410	11.530	11.410	-1
rxn00086	glutathione:NADP+ oxidoreductase	1	21.970	3.700	4.110	-1
rxn00088	NADP+ 2'-phosphohydrolase	3	7.220	-3.020	-3.550	2
rxn00090	glutathione:oxygen oxidoreductase	1	-9.740	-28.020	-27.520	-1
rxn00092	ADP phosphohydrolase	3	-16.340	-5.740	-5.750	36
rxn00093	ADP aminohydrolase	3	-8.480	-14.620	-5.650	-1
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	3	-9.310	-7.850	-9.440	-1
rxn00096	ADP:ATP adenylyltransferase	2	2.500	1.690	3.050	-1
rxn00097	ATP:AMP phosphotransferase	2	9.530	-0.420	-0.650	3
rxn00098	Adenosine-tetraphosphate phosphohydrolase	3	-6.810	-7.490	-6.070	42
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	4	-13.100	-11.690	-29.630	-1
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	2	-14.030	0.570	0.860	0
rxn00101	Urea amidohydrolase	3	-5.750	-7.110	-7.320	-1
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	4	0.840	1.260	1.150	-1
rxn00103	formate:NADP+ oxidoreductase	1	-3.090	-3.530	-3.460	31
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	2	1.070	0.360	-0.170	-1
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2	0.000	0.620	0.010	17
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	2	-9.530	-0.230	0.610	-1
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	6	-16.900	0.140	-0.020	-1
rxn00114	ATP:carbamate phosphotransferase	2	-10.090	6.300	6.370	0
rxn00116	UDP phosphohydrolase	3	-16.340	-5.030	-5.610	-1
rxn00117	ATP:UDP phosphotransferase	2	-0.000	-0.680	-0.220	16
rxn00118	Uridine triphosphate:AMP phosphotransferase	2	9.530	0.250	-0.420	3
rxn00119	ATP:UMP phosphotransferase	2	9.530	-1.130	-0.790	3
rxn00120	UTP phosphohydrolase	3	-6.810	-5.480	-6.170	42
rxn00121	FAD nucleotidohydrolase	3	-28.370	-5.350	-5.260	-1
rxn00122	ATP:FMN adenylyltransferase	2	1.070	-3.080	-3.070	-1
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	3	7.220	-2.710	0.770	-1
rxn00124	ATP:pyridoxal 5'-phosphotransferase	2	-14.030	-3.450	-7.160	36
rxn00125	S-Adenosyl-L-methionine hydrolase	3	-7.470	11.440	10.950	0
rxn00126	ATP:L-methionine S-adenosyltransferase	2	-12.610	-20.350	17.960	8
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	4	-3.090	-5.470	-8.150	33
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	4	-3.050	-13.150	-9.600	13
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	2	1.850	13.150	10.360	-1
rxn00130	AMP aminohydrolase	3	-8.480	-7.560	-5.650	-1
rxn00131	AMP phosphoribohydrolase	3	-0.730	-4.780	-3.040	-1
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	3	7.220	-3.370	-2.970	2
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	3	-18.840	-7.420	-8.800	-1
rxn00134	ATP:adenosine 5'-phosphotransferase	2	-14.030	-2.790	-3.430	36
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	3	7.220	-2.590	0.060	-1
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	6	-22.580	-3.690	0.080	-1
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	2	12.540	3.850	4.750	-1
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	3	-18.820	-10.150	-10.010	-1
rxn00141	S-Adenosyl-L-homocysteine hydrolase	3	5.680	8.790	8.310	22
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase	3	3.710	-5.450	-5.650	-1
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	3	-0.730	-3.860	0.460	-1
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	4	-3.800	0.610	2.100	-1
rxn00147	ATP:pyruvate,water phosphotransferase	2	-21.260	0.790	0.820	0
rxn00148	ATP:pyruvate 2-O-phosphotransferase	2	-4.920	6.530	6.570	0
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	1	-9.800	-6.690	-3.160	-1
rxn00150	2-Oxopropanal:NADP+ oxidoreductase	1	-9.800	-6.690	-3.750	-1
rxn00151	ATP:pyruvate,phosphate phosphotransferase	2	-25.410	4.260	4.640	-1
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	1	-45.690	-37.930	-37.760	32
rxn00153	Phosphoenolpyruvate phosphohydrolase	3	-1.890	-12.690	-12.970	13
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	1;2	-8.140	-8.470	-7.910	-1
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	1	-8.140	-8.470	-8.490	39
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	1	-39.850	-40.200	-40.110	32
rxn00157	Acetyl-CoA:formate C-acetyltransferase	2	5.050	4.940	5.020	22
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)	4	-6.460	-91.830	-20.720	-1
rxn00159	(S)-malate:NAD+ oxidoreductase (decarboxylating)	1	1.320	3.130	3.300	-1
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	1	1.320	5.290	5.770	-1
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	1	1.320	3.130	2.710	-1
rxn00162	oxaloacetate carboxy-lyase (pyruvate-forming)	1;4	-4.900	-3.960	-4.030	-1
rxn00164	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)	4	13.120	5.330	4.030	-1
rxn00165	L-serine ammonia-lyase	4	-7.510	-6.930	-7.130	42
rxn00166	D-serine ammonia-lyase	4	-7.510	-6.800	-8.190	-1
rxn00168	pyruvate carboxy-lyase (acetaldehyde-forming)	4	-3.440	-4.290	-4.140	-1
rxn00170	Acetyl-CoA hydrolase	3	-7.290	-7.300	-7.240	42
rxn00171	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	1	-4.700	-4.180	-3.770	-1
rxn00172	Acetate:CoA ligase (ADP-forming)	6	0.480	1.140	0.850	-1
rxn00173	acetyl-CoA:phosphate acetyltransferase	2	-5.840	2.260	2.350	0
rxn00174	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)	4	-4.900	-3.950	-5.880	-1
rxn00175	Acetate:CoA ligase (AMP-forming)	6	-20.010	-1.130	-1.080	-1
rxn00176	acetyl adenylate:CoA acetyltransferase	6	-10.420	-282.630	-15.030	-1
rxn00177	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)	4	3.170	2.810	1.090	-1
rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	2	7.060	6.020	6.290	22
rxn00179	ATP:L-glutamate 5-phosphotransferase	2	-6.900	6.510	3.070	0
rxn00181	ATP:L-glutamate 1-phosphotransferase	2	-6.900	5.820	2.780	0
rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	1	8.690	8.710	9.220	18
rxn00183	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	1	-9.800	-10.340	-5.300	40
rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	1	8.690	8.720	8.640	18
rxn00185	L-Glutamate:oxygen oxidoreductase (deaminating)	1	-23.020	-23.010	-22.990	34
rxn00186	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)	3	-4.130	-0.720	-7.510	-1
rxn00187	L-Glutamate:ammonia ligase (ADP-forming)	6	-2.090	-3.340	-3.620	25
rxn00188	N-carbamyl-L-glutamate amidohydrolase	3	-2.730	13.210	2.630	-1
rxn00189	L-Glutamine amidohydrolase	3;6	-4.720	-2.820	-2.780	31
rxn00190	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)	6	-27.300	-6.510	-2.700	-1
rxn00191	L-Alanine:2-oxoglutarate aminotransferase	2	0.000	0.070	0.160	16
rxn00192	acetyl-CoA:L-glutamate N-acetyltransferase	2	-5.290	-5.120	-1.720	-1
rxn00193	glutamate racemase	5	0.000	0.130	0.040	16
rxn00194	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)	4	-3.090	-5.690	-8.750	33
rxn00195	L-threo-3-Methylaspartate carboxy-aminomethylmutase	5	1.810	-1.770	-1.590	-1
rxn00196	2,5-dioxopentanoate:NADP+ 5-oxidoreductase	1	-9.800	-8.470	-6.180	40
rxn00197	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)	1	-8.140	-6.930	-6.980	-1
rxn00198	Isocitrate:NADP+ oxidoreductase (decarboxylating)	1	3.130	1.410	1.430	21
