feature	rate_concordant	rate_discordant	odds_ratio	p_fisher	strat_delta	n_strata
max_abs_coeff	1	1		5.7518e-67		
_status_ok	0.96912	0.80532	7.5865	5.0676e-61	0.16086	10
_ring	0.76355	0.94207	0.19857	1.24e-44	-0.16695	10
cof_o2	0.10748	0.27445	0.31834	3.4641e-36	0.098571	10
cof_ppi	0.030578	0.13295	0.2057	3.8044e-31	-0.039187	10
is_obsolete	0.35029	0.18519	2.3722	2.5443e-25	0.14075	10
cof_h	0.49864	0.66192	0.50798	1.3819e-20	-0.1026	10
has_N	0.77838	0.63438	2.0243	9.957e-20	0.041341	10
cof_sam	0.00090827	0.031339	0.028099	9.9502e-18	-0.060391	10
sum_abs_coeff	5	5		3.6495e-17		
cof_nad	0.17015	0.071225	2.6737	4.6389e-17	-0.012041	10
cof_nadh	0.16833	0.071225	2.6393	1.3099e-16	-0.013217	10
cof_coa	0.095368	0.026591	3.8592	2.8798e-15	0.034223	10
has_halogen	0.0054496	0.040836	0.1287	1.913e-14	-0.048503	10
cof_sah	0.0015138	0.02849	0.051698	2.0407e-14	-0.0541	10
cof_adp	0.046927	0.005698	8.592	8.1226e-13	0.028922	10
cof_amp	0.002422	0.026591	0.088879	1.5609e-11	-0.010069	10
cof_glu	0.05056	0.0094967	5.5542	3.7217e-11	0.037305	10
n_elements	5	4		1.4955e-09		
_arom	0.64063	0.73789	0.63322	3.8446e-09	-0.13495	10
total_arom_rings	4	4		9.0157e-07		
max_carbon	17	20		1.4828e-06		
total_rings	6	6		1.8035e-06		
has_P	0.62549	0.55176	1.3568	2.2156e-05	0.012636	10
cof_nh3	0.086285	0.049383	1.8178	6.5486e-05	0.075669	10
cof_pi	0.053588	0.026591	2.0728	0.0002145	0.0046646	10
cof_h2o2	0.045413	0.020893	2.2295	0.00024866	0.085668	10
n_participants	5	5		0.002012		
cof_h2o	0.35392	0.39126	0.85228	0.029908	0.13064	10
n_cofactors	2	2		0.038013		
n_groups_changed	3	3		0.069955		
max_mass	536.88	450		0.078109		
cof_co2	0.087496	0.10351	0.83042	0.12457	-0.06048	10
cof_nadph	0.14986	0.16524	0.89053	0.23881	0.029562	10
cof_nadp	0.15017	0.16524	0.89265	0.23936	0.029813	10
max_heavy_atoms	35	31		0.24032		
n_kegg_with_dg	1	1		0.25663		
cof_thf	0.0072661	0.0037987	1.9195	0.27265	0.0020376	10
has_S	0.18892	0.17474	1.1001	0.3167	-0.068555	10
_multi_kegg	0.0069634	0.0037987	1.8389	0.36645	0.0042766	10
cof_atp	0.049046	0.042735	1.1553	0.45411	0.0050208	10
cof_gln	0.011505	0.008547	1.3501	0.49573	0.0054889	10
n_missing_smiles	0	0		1		
n_generic_formula	0	0		1		
