rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn39977			OK	(1) cpd20962[0] <=> (1) cpd14796[0]	(1) (E)-Phenylacetaldoxime[0] <=> (1) (Z)-Phenylacetaldehyde oxime[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	135.000	8	C;H;N;O		1	0.000	1	0	2	2	0	0
rxn02904	(S)-4-Hydroxymandelate racemase	5.1.2.2	OK	(1) cpd02043[0] <=> (1) cpd03170[0]	(1) (S)-4-Hydroxymandelate[0] <=> (1) (R)-4-Hydroxymandelate[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	167.000	8	C;H;O		1	0.000	1	0	2	2	0	0
rxn01996	Methylmalonyl-CoA epimerase	5.1.99.1	OK	(1) cpd00891[0] <=> (1) cpd00519[0]	(1) L-methylmalonyl-CoA[0] <=> (1) D-methylmalonyl-CoA[0]	0.000	0.000	-0.000	0.000	0.000	2	2.000	863.000	25	C;H;N;O;P;S		1	0.000	1	0	6	4	0	0
rxn37739	beta-carotene isomerase	5.2.1.-;5.2.1.14	OK	(1) cpd01420[0] <=> (1) cpd30771[0]	(1) beta-Carotene[0] <=> (1) 9-cis-beta-carotene[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	536.882	40	C;H		1	0.000	1	0	4	0	0	0
rxn35524	maleylacetoacetate isomerase, nucleus	5.2.1.2	OK	(1) cpd00763[0] <=> (1) cpd00780[0]	(1) 4-Maleylacetoacetate[0] <=> (1) Fumarylacetoacetate[0]	0.000	-0.000	-0.000	0.000	0.000	2	2.000	198.000	8	C;H;O		1	0.000	1	0	0	0	0	0
rxn33712	RXN-8035	5.2.1.-	OK	(1) cpd03071[0] <=> (1) cpd03469[0]	(1) beta-D-Glucosyl-2-coumarate[0] <=> (1) beta-D-Glucosyl-2-coumarinate[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	325.000	15	C;H;O		1	0.000	1	0	4	2	0	0
rxn03203	R04686	5.2.1.-	OK	(1) cpd03071[0] <=> (1) cpd03469[0]	(1) beta-D-Glucosyl-2-coumarate[0] <=> (1) beta-D-Glucosyl-2-coumarinate[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	325.000	15	C;H;O		1	0.000	1	0	4	2	0	0
rxn24043	2-methylpropanal-oxime cis-trans isomerase		OK	(1) cpd02058[0] <=> (1) cpd24542[0]	(1) Isobutyraldehyde oxime[0] <=> (1) (Z)-2-methylpropanal-oxime[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	87.000	4	C;H;N;O		1	0.000	1	0	0	0	0	0
rxn04246	R06380		OK	(1) cpd08252[0] <=> (1) cpd08255[0]	(1) (1R,4R)-Dihydrocarvone[0] <=> (1) (1S,4R)-Iso-dihydrocarvone[0]	0.000	0.000	0.000	0.000	0.000	2	2.000	152.000	10	C;H;O		1	0.000	1	0	2	0	0	0
rxn32840	Maleylacetoacetate isomerase	5.2.1.2	OK	(1) cpd00763[0] <=> (1) cpd00780[0]	(1) 4-Maleylacetoacetate[0] <=> (1) Fumarylacetoacetate[0]	0.000	-0.000	-0.000	0.000	0.000	2	2.000	198.000	8	C;H;O		1	0.000	1	0	0	0	0	0
rxn32828	Maleylacetoacetate isomerase	5.2.1.2	OK	(1) cpd00763[0] <=> (1) cpd00780[0]	(1) 4-Maleylacetoacetate[0] <=> (1) Fumarylacetoacetate[0]	0.000	-0.000	-0.000	0.000	0.000	2	2.000	198.000	8	C;H;O		1	0.000	1	0	0	0	0	0
