rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn00001	diphosphate phosphohydrolase	R00004	R00004	9	1		-3.82	1	kegg_id_is_modelseed_alias
rxn00002	urea-1-carboxylate amidohydrolase	R00005	R00005	3	1	0.000	-23.02	1	kegg_id_is_modelseed_alias
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	R00006	R00006	3	1	0.500	5.71	1	kegg_id_is_modelseed_alias
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	R00008	R00008	1	1	1.000	-1.48	1	kegg_id_is_modelseed_alias
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	R00009	R00009	24	1	0.000	-46.54	1	kegg_id_is_modelseed_alias
rxn00007	alpha,alpha-trehalose glucohydrolase	R00010	R00010;R06103	5	1	0.500	-2.98	1	kegg_id_is_modelseed_alias
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	R00011	R00011	93	1	0.000	-64.69	1	kegg_id_is_modelseed_alias
rxn00009	GTP:GTP guanylyltransferase	R00012	R00012	4	1	0.500	0.42	1	kegg_id_is_modelseed_alias
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	R00013	R00013	1	1	0.000	-5.17	1	kegg_id_is_modelseed_alias
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	R00014	R00014	3	1	0.333	-7.32	1	kegg_id_is_modelseed_alias
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	R00015	R00015	37	1	1.000	-5.12	1	kegg_id_is_modelseed_alias
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	R00018	R00018	2	1	1.000	-4.6	1	kegg_id_is_modelseed_alias
rxn00016	chitobiose N-acetylglucosaminohydrolase	R00022	R00022	5	1	1.000	2.51	1	kegg_id_is_modelseed_alias
rxn00017	hydroxylamine:NAD+ oxidoreductase	R00023	R00023	1	1	1.000	-4.45	1	kegg_id_is_modelseed_alias
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	R00024	R00024	41	1	0.500	-8.63	1	kegg_id_is_modelseed_alias
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	R00024		41	0	0.000	-8.63	0	unvouched_and_no_shared_participant
rxn00020	cellobiose glucohydrolase	R00026	R00026;R06092	9	1	0.500	6.13	1	kegg_id_is_modelseed_alias
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	R00027	R00027	3	1	1.000	2.37	1	kegg_id_is_modelseed_alias
rxn00022	maltose glucohydrolase	R00028	R00028;R06084	31	1	1.000	5.81	1	kegg_id_is_modelseed_alias
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	R00031	R00031	1	1	0.500	-48.69	1	kegg_id_is_modelseed_alias
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	R00032	R00032	11	1	1.000	-72.68	1	kegg_id_is_modelseed_alias
rxn00026	thiamine:oxygen 5-oxidoreductase	R00033	R00033	1	1	0.667	-29.07	1	kegg_id_is_modelseed_alias
rxn00028	L-ascorbate:oxygen oxidoreductase	R00068	R00068	13	1	0.500	-77.12	1	kegg_id_is_modelseed_alias
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	R00036	R00036	2	1	1.000	-38.95	1	kegg_id_is_modelseed_alias
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	R00038	R00038	1	1	0.500	-8.44	1	kegg_id_is_modelseed_alias
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase	R00039	R00039	2	1	0.333	2.37	1	kegg_id_is_modelseed_alias
rxn00032	Choline:oxygen 1-oxidoreductase	R00039		2	0	0.000	2.37	0	unvouched_and_no_shared_participant
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	R00042	R00042	1	1	0.500	-128.62	1	kegg_id_is_modelseed_alias
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	R00043	R00043	1	1	0.500	-61.99	1	kegg_id_is_modelseed_alias
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	R00044	R00044	1	1	1.000	-28.33	1	kegg_id_is_modelseed_alias
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	R00045	R00045	2	1	0.500	-148.19	1	kegg_id_is_modelseed_alias
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	R00045		2	0	0.000	-148.19	0	unvouched_and_no_shared_participant
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	R00048	R00048	1	1	1.000	-8.6	1	kegg_id_is_modelseed_alias
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	R00049	R00049	3	1	0.667	-10.93	1	kegg_id_is_modelseed_alias
rxn00040	digallate acylhydrolase	R00053	R00053	1	1	1.000	-17.93	1	kegg_id_is_modelseed_alias
rxn00041	orsellinate-depside hydrolase	R00054	R00054	1	1	1.000	-18.28	1	kegg_id_is_modelseed_alias
rxn00042	inosine:oxygen 5'-oxidoreductase	R00055	R00055	1	1	1.000	-96.38	1	kegg_id_is_modelseed_alias
rxn00043	catechol:oxygen oxidoreductase	R00058	R00058	1	1	0.500	-131.46	1	kegg_id_is_modelseed_alias
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	R00059	R00059	1	1	0.500	0.08	1	kegg_id_is_modelseed_alias
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	R00062	R00062	1	1	0.667	0.0	1	kegg_id_is_modelseed_alias
