rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn04474	R06625		MI:C:-43/H:-59/N:-14/O:-37/P:-6/S:-2|CI:11	(3) cpd00070[0] <= (1) cpd00001[0] + (1) cpd09095[0]	(3) Malonyl-CoA[0] <= (1) H2O[0] + (1) 3,5-Dihydroxyphenylacetyl-CoA[0]	1706.370	1092.320	-1.140	1707.510	1707.510	3	5.000	914.000	29	C;H;N;O;P;S	h2o	1	0.000	1	0	7	5	10	0
rxn07706	geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) cpd00289[0] <= (1) cpd03205[0]	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180	911.180	2	2.000	544.000	40	C;H;O;P		1	0.000	1	0	0	0	3	0
rxn31355	PSY (PHYTOENE SYNTHASE); geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) cpd00289[0] <= (1) cpd03205[0]	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180	911.180	2	2.000	544.000	40	C;H;O;P		1	0.000	1	0	0	0	3	0
rxn04305	R06443		MI:C:-10/H:-14/N:-2/O:-11/P:-2|CI:2	(1) cpd08727[0] <= (1) cpd08715[0]	(1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] <= (1) Maltol[0]	555.270	414.140	33.250	522.020	522.020	2	2.000	525.000	16	C;H;N;O;P		1	0.000	1	0	4	2	7	0
rxn15678	R07456		MI:H:-8/O:-7/P:-1|CI:1	(1) cpd00053[0] + (1) cpd00102[0] + (1) cpd00171[0] <= (1) cpd00016[0] + (1) cpd00023[0]	(1) L-Glutamine[0] + (1) Glyceraldehyde3-phosphate[0] + (1) D-Ribulose5-phosphate[0] <= (1) Pyridoxal phosphate[0] + (1) L-Glutamate[0]	398.260	293.010	-75.630	473.890	473.890	5	5.000	246.000	8	C;H;N;O;P	gln;glu;pydx5p	1	0.000	1	0	1	1	7	0
rxn03910	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)	4.6.1.12	OK	(1) cpd08288[0] <= (1) cpd00046[0] + (1) cpd08301[0]	(1) 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol[0] <= (1) CMP[0] + (1) 2-C-methyl-D-erythritol2-4-cyclodiphosphate[0]	26.770	432.650	7.300	425.350	425.350	3	3.000	598.000	14	C;H;N;O;P		1	0.000	1	0	5	2	0	0
rxn28646	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12	OK	(1) cpd08288[0] <= (1) cpd00046[0] + (1) cpd08301[0]	(1) 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol[0] <= (1) CMP[0] + (1) 2-C-methyl-D-erythritol2-4-cyclodiphosphate[0]	26.770	432.650	7.300	425.350	425.350	3	3.000	598.000	14	C;H;N;O;P		1	0.000	1	0	5	2	0	0
rxn04283	R06421	4.2.3.-	MI:O:-6/P:-2|CI:2	(1) cpd00283[0] <= (1) cpd08247[0]	(1) Geranyldiphosphate[0] <= (1) (L)-alpha-Terpineol[0]	400.300	389.300	-8.050	408.350	408.350	2	2.000	312.000	10	C;H;O;P		1	0.000	1	0	1	0	4	0
rxn40257	ATP:L-threonyl,bicarbonate adenylyltransferase	2.7.7.87	OK	(1) cpd00002[0] + (1) cpd00161[0] + (1) cpd00242[0] <=> (1) cpd00001[0] + (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd31250[0]	(1) ATP[0] + (1) L-Threonine[0] + (1) H2CO3[0] <=> (1) H2O[0] + (1) PPi[0] + (1) H+[0] + (1) L-Threonylcarbamoyladenylate[0]	-17.740	289.390	26.390	307.130	307.130	7	7.000	504.000	15	C;H;N;O;P	atp;h;h2o;ppi	1	0.000	1	0	6	4	5	0
rxn33029	ATP:propanoate adenyltransferase	6.2.1.1;6.2.1.17	OK	(1) cpd00012[0] + (1) cpd03560[0] <= (1) cpd00002[0] + (1) cpd00141[0]	(1) PPi[0] + (1) Propionyladenylate[0] <= (1) ATP[0] + (1) Propionate[0]	11.130	-281.990	19.010	301.000	301.000	4	4.000	504.000	13	C;H;N;O;P	atp;ppi	1	0.000	1	0	6	4	2	0
