family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
cofactor: co2	643	0.9433	0.7795	2.9900	643	0.9144	0.0290	0.1025	0.9671	0.7494	4.5400	643	0.8963	0.0708	0.0525	0.9466	0.7810	3.2100	643	0.8212	0.1253	0.0425	8.1400	31.2400
sum|coeff| > 12	103	0.9534	0.9127	30.8300	103	0.9470	0.0064	0.7100	0.9537	0.9285	6.0300	103	0.8894	0.0644	0.2300	0.9314	0.8828	32.2800	103	0.8581	0.0734	0.1450	157.7100	166.6700
group present: imine	380	0.8972	0.6033	13.4650	380	0.8222	0.0749	0.1375	0.9408	0.6570	8.4500	380	0.8151	0.1257	0.1275	0.9422	0.7786	7.6700	380	0.7105	0.2317	0.0250	12.5400	19.6250
group changes: imine	306	0.9012	0.6183	14.5600	306	0.8477	0.0535	0.3025	0.9397	0.6654	8.7900	306	0.8521	0.0875	0.2075	0.9507	0.7615	7.4450	306	0.7499	0.2008	0.0500	14.1200	24.3900
redox pair (NAD/NADP/FAD)	2269	0.9613	0.8718	2.2300	2269	0.8969	0.0644	0.0000	0.9332	0.7248	4.1900	2269	0.8222	0.1110	0.1600	0.9226	0.7520	3.5200	2269	0.7567	0.1659	0.0025	9.8000	80.7400
cofactor: nadp	1166	0.9574	0.8994	2.5800	1166	0.9045	0.0530	0.0050	0.9316	0.7862	4.7200	1166	0.8268	0.1048	0.2200	0.9169	0.7965	4.0050	1166	0.7616	0.1553	0.0100	13.5700	98.2450
cofactor: nadph	1158	0.9574	0.9024	2.5800	1158	0.9074	0.0500	0.0075	0.9315	0.7903	4.7200	1158	0.8240	0.1075	0.2250	0.9166	0.7961	4.0300	1158	0.7614	0.1552	0.0075	13.5700	98.1800
participants >= 7	888	0.9327	0.8208	10.0850	888	0.8931	0.0396	0.0150	0.9312	0.8181	7.7750	888	0.8754	0.0558	0.0550	0.8908	0.7685	4.7850	888	0.7602	0.1306	0.0125	94.2150	74.7100
cofactor: nadh	1016	0.9724	0.8831	1.6400	1016	0.8643	0.1081	0.0000	0.9301	0.6484	3.2600	1016	0.8133	0.1168	0.1450	0.9237	0.6731	3.1900	1016	0.7319	0.1918	0.0100	6.2200	13.7525
cofactor: nad	1044	0.9709	0.8755	1.7200	1044	0.8646	0.1064	0.0000	0.9289	0.6462	3.3200	1044	0.7972	0.1316	0.1625	0.9241	0.6770	3.0550	1044	0.7154	0.2087	0.0050	6.2200	14.2900
