family	n	within_class_share_gc	within_class_share_eq	within_class_share_dgp	n_distinct_dsig	degeneracy	frac_empty_dsig	sd_gc	sd_dgp	sd_ratio_dgp_gc	n_distinct_dgp_values	distinct_dgp_frac
EC 6 ligase	257	0.0000	0.0002	0.0623	84	3.0595	0.0000	12.9120	7.4088	0.5738	129	0.5019
thioester changes (CoA acyl)	544	0.0000	0.0002	0.0814	175	3.1086	0.0000	74.1250	13.0848	0.1765	260	0.4779
redox pair (NAD/NADP/FAD)	2269	0.0000	0.0003	0.0043	822	2.7603	0.0057	52.8083	52.5498	0.9951	1147	0.5055
EC 1 oxidoreductase	2777	0.0000	0.0023	0.0030	1124	2.4706	0.0025	51.0348	53.3469	1.0453	1447	0.5211
aldehyde group changes	972	0.0000	0.0097	0.0106	387	2.5116	0.0000	30.4966	32.1363	1.0538	495	0.5093
ester changes	337	0.0000	0.0006	0.0067	168	2.0060	0.0000	29.8649	32.0560	1.0734	206	0.6113
acetal / glycosidic present	1487	0.0001	0.0434	0.0129	397	3.7456	0.0646	26.4496	20.3487	0.7693	667	0.4486
EC 2 transferase	2173	0.0001	0.0084	0.0336	656	3.3125	0.0497	24.5825	18.9430	0.7706	907	0.4174
phosphoanhydride changes	881	0.0002	0.0206	0.1073	194	4.5412	0.0000	69.4008	9.0041	0.1297	355	0.4030
EC 3 hydrolase	1299	0.0033	0.0604	0.0986	361	3.5983	0.0015	13.1080	9.2724	0.7074	522	0.4018
methyl transfer (SAM/SAH)	270	0.0034	0.0318	0.0175	106	2.5472	0.0000	11.9374	18.0168	1.5093	157	0.5815
phosphoryl transfer (ATP/ADP/AMP)	809	0.0043	0.0235	0.1041	187	4.3262	0.0321	11.8219	9.1928	0.7776	334	0.4129
