rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	is_redox	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn16706	9beta-pimara-7,15-diene,NADPH:oxygen 19-oxidoreductase	1.14.13.144	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 9beta-Pimara-7,15-diene[0] => (4) H2O[0] + (3) NADP[0] + (1) 9beta-Pimara-7,15-dien-19-oate[0]	-318.400	-316.940	-315.670	2.730	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09865	R09865	1	1	0	16	4	1	318.400	1.460	2.730	1.270
rxn37184	methylsterol monooxygenase	1.14.13.72	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.940	-315.090	2.220	h;h2o;nadp;nadph;o2	7	29	C;H;N;O;P	R10058	R10058	1	1	0	18	4	1	316.940	2.220	0.370	1.850
rxn40150	11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)		OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 11-Oxo-beta-amyrin[0] => (4) H2O[0] + (3) NADP[0] + (1) Enoxolone[0]	-314.720	-316.940	-313.030	3.910	h;h2o;nadp;nadph;o2	7	30	C;H;N;O;P	R10316	R10316	1	1	0	20	4	1	316.940	2.220	1.690	3.910
rxn11683	R07509	1.14.13.72	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 14-Demethyllanosterol[0] => (4) H2O[0] + (3) NADP[0] + (1) 4alpha-Methylzymosterol-4-carboxylate[0]	-314.720	-316.940	-313.330	3.610	h;h2o;nadp;nadph;o2	7	29	C;H;N;O;P	R07509	R07509	1	1	0	18	4	1	316.940	2.220	1.390	3.610
rxn37185	methylsterol monooxygenase	1.14.13.72	OK	(3) NADH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.930	-316.840	2.210	h;h2o;nad;nadh;o2	7	29	C;H;N;O;P	R10057	R10057	1	1	0	18	4	1	316.930	2.210	2.120	0.090
rxn14236	7alpha,26-dihydroxy-4-cholesten-3-one,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) 7alpha,26-Dihydroxy-4-cholesten-3-one[0] => (3) H2O[0] + (2) NADP[0] + (1) 7alpha-Hydroxy-3-oxo-4-cholestenoate[0]	-222.140	-222.820	-218.770	4.050	h;h2o;nadp;nadph;o2	7	27	C;H;N;O;P	R08725	R08725	1	1	0	18	5	1	222.820	0.680	3.370	4.050
rxn14371	cholest-5-ene-3beta,26-diol,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) 26-Hydroxycholesterol[0] => (3) H2O[0] + (2) NADP[0] + (1) 3beta-Hydroxy-5-cholestenoate[0]	-222.140	-222.820	-218.770	4.050	h;h2o;nadp;nadph;o2	7	27	C;H;N;O;P	R08726	R08726	1	1	0	18	5	1	222.820	0.680	3.370	4.050
rxn39787	Trichloroethanol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)		OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) Trichloroethanol[0] => (3) H2O[0] + (2) NADP[0] + (1) Trichloroacetate[0]	-222.140	-222.810	-218.710	4.100	h;h2o;nadp;nadph;o2	7	21	C;Cl;H;N;O;P	R07107	R07107	1	4	0	10	5	1	222.810	0.670	3.430	4.100
rxn28804	RXN1F-152.d	1.14.13.129	OK	(2) NADH[0] + (2) O2[0] + (2) H+[0] + (1) beta-Carotene[0] => (2) H2O[0] + (2) NAD[0] + (1) Zeaxanthin[0]	-196.060	-194.400	-193.520	2.540	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R09747	R09747	1	5	0	14	4	1	196.060	1.660	2.540	0.880
rxn16595	beta-carotene,NADH:oxygen oxidoreductase (3,3'-hydroxylating)	1.14.13.129	OK	(2) NADH[0] + (2) O2[0] + (2) H+[0] + (1) beta-Carotene[0] => (2) H2O[0] + (2) NAD[0] + (1) Zeaxanthin[0]	-196.060	-194.400	-193.520	2.540	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R09747	R09747	1	5	0	14	4	1	196.060	1.660	2.540	0.880
