rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn04474	R06625		MI:C:-43/H:-59/N:-14/O:-37/P:-6/S:-2|CI:11	(3) Malonyl-CoA[0] <= (1) H2O[0] + (1) 3,5-Dihydroxyphenylacetyl-CoA[0]	1706.370	1092.320	-1.140	1707.510	h2o	3	29	C;H;N;O;P;S	R06625	R06625	1	2	0	7	10	1706.370	614.050	1707.510	1093.460
rxn07706	geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180		2	40	C;H;O;P	R07916	R07916	1	9	0	0	3	873.990	288.500	622.680	911.180
rxn31355	PSY (PHYTOENE SYNTHASE); geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180		2	40	C;H;O;P	R07916	R07916	1	9	0	0	3	873.990	288.500	622.680	911.180
rxn04305	R06443		MI:C:-10/H:-14/N:-2/O:-11/P:-2|CI:2	(1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] <= (1) Maltol[0]	555.270	414.140	33.250	522.020		2	16	C;H;N;O;P	R06443	R06443	1	1	0	4	7	555.270	141.130	522.020	380.890
rxn15678	R07456		MI:H:-8/O:-7/P:-1|CI:1	(1) L-Glutamine[0] + (1) Glyceraldehyde3-phosphate[0] + (1) D-Ribulose5-phosphate[0] <= (1) Pyridoxal phosphate[0] + (1) L-Glutamate[0]	398.260	293.010	-75.630	473.890	gln;glu;pydx5p	5	8	C;H;N;O;P	R07456	R07456	1	84	0	1	7	398.260	105.250	473.890	368.640
rxn04283	R06421	4.2.3.-	MI:O:-6/P:-2|CI:2	(1) Geranyldiphosphate[0] <= (1) (L)-alpha-Terpineol[0]	400.300	389.300	-8.050	408.350		2	10	C;H;O;P	R06421	R06421	1	10	0	1	4	400.300	11.000	408.350	397.350
rxn40257	ATP:L-threonyl,bicarbonate adenylyltransferase	2.7.7.87	OK	(1) ATP[0] + (1) L-Threonine[0] + (1) H2CO3[0] <=> (1) H2O[0] + (1) PPi[0] + (1) H+[0] + (1) L-Threonylcarbamoyladenylate[0]	-17.740	289.390	26.390	307.130	atp;h;h2o;ppi	7	15	C;H;N;O;P	R10463	R10463	1	1	0	6	5	289.390	307.130	44.130	263.000
rxn33029	ATP:propanoate adenyltransferase	6.2.1.1;6.2.1.17	OK	(1) PPi[0] + (1) Propionyladenylate[0] <= (1) ATP[0] + (1) Propionate[0]	11.130	-281.990	19.010	301.000	atp;ppi	4	13	C;H;N;O;P	R01354	R01354	1	5	0	6	2	281.990	293.120	7.880	301.000
rxn31998	Propionyladenylate:CoA propionyltransferase	6.2.1.1;6.2.1.17	OK	(1) AMP[0] + (1) H+[0] + (1) Propionyl-CoA[0] <=> (1) CoA[0] + (1) Propionyladenylate[0]	10.420	280.570	-17.510	298.080	amp;coa;h	5	24	C;H;N;O;P;S	R00926	R00926	1	4	0	12	2	280.570	270.150	27.930	298.080
rxn35418	ATP:propanoate adenyltransferase	6.2.1.1;6.2.1.17	OK	(1) ATP[0] + (1) Propionate[0] => (1) PPi[0] + (1) Propionyladenylate[0]	-11.130	281.990	19.010	293.120	atp;ppi	4	13	C;H;N;O;P	R01354	R01354	1	5	0	6	2	281.990	293.120	30.140	262.980
