rxn	name	dg_gc	dg_eq	dg_dgp	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse
rxn13478	Heptadecanoate-transport-via-proton-symport			-67.330	R09245		861
rxn13479	Isomerase-for-keto-meroacid-2			-67.330	R09245		861
rxn13480	Isomerase-for-methoxy-meroacid-2			-67.330	R09245		861
rxn13481	keto-ylation-1-for-keto-meroacid-1			-67.330	R09245		861
rxn13482	keto-ylation-1-for-keto-meroacid-2			-67.330	R09245		861
rxn13483	keto-ylation-2-for-keto-meroacid-1			-67.330	R09245		861
rxn13484	keto-ylation-2-for-keto-meroacid-2			-67.330	R09245		861
rxn13485	Keto-ylation-1-for-keto-meroacid-1			-67.330	R09245		861
rxn13486	Keto-ylation-2-for-keto-meroacid-1			-67.330	R09245		861
rxn13487	carboxymycobactin-synthesis			-67.330	R09245		861
rxn13488	methylcitrate-dehydratase			-67.330	R09245		861
rxn13489	methyl-citrate-synthase			-67.330	R09245		861
rxn13490	methoxylation-1-for-methoxy-meroacid-1			-67.330	R09245		861
rxn13491	methoxylation-2-for-methoxy-meroacid-1			-67.330	R09245		861
rxn13492	methoxylation-2-for-methoxy-meroacid-2			-67.330	R09245		861
rxn13493	methoxylation-2-for-methoxy-meroacid-3			-67.330	R09245		861
rxn13494	methoxylation-1-for-methoxy-meroacid-1			-67.330	R09245		861
rxn13495	methoxylation-2-for-methoxy-meroacid-1			-67.330	R09245		861
rxn13497	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13498	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13499	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13500	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13501	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13502	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13503	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13504	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13505	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13506	mycolic-acid-conglomeration-flux			-67.330	R09245		861
rxn13507	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13508	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13509	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13510	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13511	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13512	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13513	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13514	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13515	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13516	Mycolic-Acid-Condensation			-67.330	R09245		861
rxn13517	penta-acyl-trehalose-synthesis			-67.330	R09245		861
rxn13518	phospholipase-C			-67.330	R09245		861
rxn13519	Polyphosphate-glucokinase-reversible			-67.330	R09245		861
rxn13520	PPM-mycolate-synthase			-67.330	R09245		861
rxn13521	PPM-mycolate-synthase			-67.330	R09245		861
rxn13522	PPM-mycolate-synthase			-67.330	R09245		861
rxn13523	PPM-mycolate-synthase			-67.330	R09245		861
rxn13524	PPM-mycolate-synthase			-67.330	R09245		861
rxn13525	PPM-mycolate-synthase			-67.330	R09245		861
rxn13526	PPM-mycolate-synthase			-67.330	R09245		861
rxn13527	PPM-mycolate-synthase			-67.330	R09245		861
rxn13528	PPM-mycolate-synthase			-67.330	R09245		861
rxn13529	PPM-mycolate-synthase			-67.330	R09245		861
rxn13530	Polyprenol-monophosphomannose-synthase			-67.330	R09245		861
rxn13531	Peptidoglycan-subunit-synthesis			-67.330	R09245		861
rxn13532	Peptidoglycan-subunit-synthesis			-67.330	R09245		861
rxn13533	trehalose-dimycolate-synthesis			-67.330	R09245		861
rxn13534	trehalose-dimycolate-synthesis			-67.330	R09245		861
rxn13535	trehalose-dimycolate-synthesis			-67.330	R09245		861
rxn13536	trehalose-dimycolate-synthesis			-67.330	R09245		861
rxn13537	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13538	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13539	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13540	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13541	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13542	tetra-mycolyl-hexaarabinose-synthesis			-67.330	R09245		861
rxn13543	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13544	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13545	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13546	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13547	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13548	tetra-mycolyl-hexaarabinose-synthesis-conglomeration			-67.330	R09245		861
rxn13549	trehalose-monomycolate-phosphatase			-67.330	R09245		861
rxn13550	trehalose-monomycolate-phosphatase			-67.330	R09245		861
rxn13551	trehalose-monomycolate-phosphatase			-67.330	R09245		861
rxn13552	trehalose-monomycolate-phosphatase			-67.330	R09245		861
rxn13553	trehalose-monomycolate-phosphatase			-67.330	R09245		861
rxn13554	trehalose-monomycolate-synthesis			-67.330	R09245		861
rxn13555	trehalose-monomycolate-synthesis			-67.330	R09245		861
rxn13556	trehalose-monomycolate-synthesis			-67.330	R09245		861
