rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn04474	R06625		MI:C:-43/H:-59/N:-14/O:-37/P:-6/S:-2|CI:11	(3) Malonyl-CoA[0] <= (1) H2O[0] + (1) 3,5-Dihydroxyphenylacetyl-CoA[0]	1706.370	1092.320	-1.140	1707.510	h2o	3	29	C;H;N;O;P;S	R06625	R06625	1	2	0	7	10	1706.370	614.050	1707.510	1093.460
rxn03910	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)	4.6.1.12	OK	(1) 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol[0] <= (1) CMP[0] + (1) 2-C-methyl-D-erythritol2-4-cyclodiphosphate[0]	26.770	432.650	7.300	425.350		3	14	C;H;N;O;P	R05637	R05637	1	33	0	5	0	432.650	405.880	19.470	425.350
rxn28646	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12	OK	(1) 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol[0] <= (1) CMP[0] + (1) 2-C-methyl-D-erythritol2-4-cyclodiphosphate[0]	26.770	432.650	7.300	425.350		3	14	C;H;N;O;P	R05637	R05637	1	33	0	5	0	432.650	405.880	19.470	425.350
rxn40257	ATP:L-threonyl,bicarbonate adenylyltransferase	2.7.7.87	OK	(1) ATP[0] + (1) L-Threonine[0] + (1) H2CO3[0] <=> (1) H2O[0] + (1) PPi[0] + (1) H+[0] + (1) L-Threonylcarbamoyladenylate[0]	-17.740	289.390	26.390	307.130	atp;h;h2o;ppi	7	15	C;H;N;O;P	R10463	R10463	1	1	0	6	5	289.390	307.130	44.130	263.000
rxn00986	ATP:propanoate adenylyltransferase	6.2.1.1;6.2.1.17	OK	(1) ATP[0] + (1) Propionate[0] => (1) PPi[0] + (1) Propionyladenylate[0]	-11.130	281.990	19.010	293.120	atp;ppi	4	13	C;H;N;O;P	R01354	R01354	1	5	0	6	2	281.990	293.120	30.140	262.980
rxn35418	ATP:propanoate adenyltransferase	6.2.1.1;6.2.1.17	OK	(1) ATP[0] + (1) Propionate[0] => (1) PPi[0] + (1) Propionyladenylate[0]	-11.130	281.990	19.010	293.120	atp;ppi	4	13	C;H;N;O;P	R01354	R01354	1	5	0	6	2	281.990	293.120	30.140	262.980
rxn33029	ATP:propanoate adenyltransferase	6.2.1.1;6.2.1.17	OK	(1) PPi[0] + (1) Propionyladenylate[0] <= (1) ATP[0] + (1) Propionate[0]	11.130	-281.990	19.010	301.000	atp;ppi	4	13	C;H;N;O;P	R01354	R01354	1	5	0	6	2	281.990	293.120	7.880	301.000
rxn31212	acetyl-CoA synthetase (acetate-CoA ligase), putative	6.2.1.1	OK	(1) ATP[0] + (1) Acetate[0] => (1) PPi[0] + (1) Acetyl adenylate[0]	-9.590	281.500	13.940	291.090	atp;ppi	4	12	C;H;N;O;P	R00316	R00316	1	4	0	6	2	281.500	291.090	23.530	267.560
rxn32413	ATP:acetate adenylyltransferase	6.2.1.1	OK	(1) ATP[0] + (1) Acetate[0] => (1) PPi[0] + (1) Acetyl adenylate[0]	-9.590	281.500	13.940	291.090	atp;ppi	4	12	C;H;N;O;P	R00316	R00316	1	4	0	6	2	281.500	291.090	23.530	267.560
rxn00226	ATP:acetate adenylyltransferase	6.2.1.1	OK	(1) ATP[0] + (1) Acetate[0] => (1) PPi[0] + (1) Acetyl adenylate[0]	-9.590	281.500	13.940	291.090	atp;ppi	4	12	C;H;N;O;P	R00316	R00316	1	4	0	6	2	281.500	291.090	23.530	267.560
rxn07584	ATP:lipoate adenylyltransferase	2.7.7.63	OK	(1) ATP[0] + (1) Lipoate[0] => (1) PPi[0] + (1) Lipoyl-AMP[0]	-11.130	278.680	13.820	289.810	atp;ppi	4	18	C;H;N;O;P;S	R07770	R07770	1	2	0	8	2	278.680	289.810	24.950	264.860
rxn15699	ATP:lipoate adenylyltransferase	2.7.7.63	OK	(1) ATP[0] + (1) (R)-Lipoic acid[0] => (1) PPi[0] + (1) Lipoyl-AMP[0]	-11.130	278.680	13.820	289.810	atp;ppi	4	18	C;H;N;O;P;S	R07770	R07770	1	2	0	8	2	278.680	289.810	24.950	264.860
rxn00792	biotin:CoA ligase (AMP-forming)	6.2.1.11;6.3.4.10;6.3.4.11;6.3.4.15;6.3.4.9	OK	(1) ATP[0] + (1) BIOT[0] => (1) PPi[0] + (1) Biotinyl-5-AMP[0]	-11.130	278.680	13.820	289.810	atp;ppi	4	20	C;H;N;O;P;S	R01074	R01074	1	1	0	10	2	278.680	289.810	24.950	264.860
rxn19466	ATP:2,3-dihydroxybenzoate adenylyltransferase	2.7.7.58	OK	(1) ATP[0] + (1) 2,3-Dihydroxybenzoate[0] => (1) PPi[0] + (1) (2,3-Dihydroxybenzoyl)adenylate[0]	-11.130	278.670	34.110	289.800	atp;ppi	4	17	C;H;N;O;P	R01504	R01504	1	20	0	8	2	278.670	289.800	45.240	244.560
rxn01093	ATP:2,3-dihydroxybenzoate adenylyltransferase	2.7.7.58	OK	(1) ATP[0] + (1) 2,3-Dihydroxybenzoate[0] => (1) PPi[0] + (1) (2,3-Dihydroxybenzoyl)adenylate[0]	-11.130	278.670	34.110	289.800	atp;ppi	4	17	C;H;N;O;P	R01504	R01504	1	20	0	8	2	278.670	289.800	45.240	244.560
rxn07706	geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180		2	40	C;H;O;P	R07916	R07916	1	9	0	0	3	873.990	288.500	622.680	911.180
rxn31355	PSY (PHYTOENE SYNTHASE); geranylgeranyl-diphosphate geranylgeranyltransferase	2.5.1.-;2.5.1.32	MI:C:20/H:30/O:-7/P:-2|CI:2	(1) Geranylgeranyl diphosphate[0] <= (1) Phytoene[0]	585.490	873.990	-37.190	911.180		2	40	C;H;O;P	R07916	R07916	1	9	0	0	3	873.990	288.500	622.680	911.180
rxn40312		6.1.2.2	OK	(1) H2O[0] + (1) ATP[0] + (1) Carbamoylphosphate[0] => (1) Phosphate[0] + (1) PPi[0] + (1) H+[0] + (1) O-Carbamoyladenylate[0]	-11.040	273.940	5.700	284.980	atp;h;h2o;pi;ppi	7	11	C;H;N;O;P	R10541	R10541	1	1	0	6	1	273.940	284.980	16.740	268.240
