n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
6	rxn00792;rxn00986;rxn02224;rxn07584;rxn15699;rxn35418	8.832	23.700	1.496	3.310	2.447	5.190	0
254	rxn00083;rxn00105;rxn00122;rxn00193;rxn00266;rxn00283;rxn00286;rxn00290	1.406	17.430	5.030	65.570	2.416	22.570	1
10	rxn00463;rxn00514;rxn01519;rxn02518;rxn16674;rxn27844;rxn32143;rxn32148	4.779	15.930	3.222	8.130	0.270	0.920	0
4	rxn02882;rxn02883;rxn03347;rxn04706	5.476	14.720	0.000	0.000	0.000	0.000	0
45	rxn00063;rxn00076;rxn00121;rxn00212;rxn00301;rxn00367;rxn00416;rxn00485	2.076	14.300	1.794	7.870	2.585	11.000	0
17	rxn00130;rxn00142;rxn01137;rxn01858;rxn16503;rxn29985;rxn30004;rxn30350	2.868	12.190	1.001	2.880	0.000	0.000	0
14	rxn00743;rxn00980;rxn01345;rxn05106;rxn05107;rxn11033;rxn19871;rxn28982	2.516	9.770	2.137	4.740	1.492	3.240	0
2	rxn02745;rxn02852	4.480	8.960	0.005	0.010	0.000	0.000	0
15	rxn01888;rxn02531;rxn02538;rxn02568;rxn02634;rxn02874;rxn03025;rxn03026	2.170	8.700	4.371	18.650	4.141	17.590	0
20	rxn00922;rxn02098;rxn02244;rxn02595;rxn03058;rxn03356;rxn03633;rxn03946	1.896	8.700	3.639	16.710	2.909	14.780	0
4	rxn02068;rxn03105;rxn04008;rxn12179	3.767	8.700	7.304	16.930	4.332	10.070	0
3	rxn01846;rxn01847;rxn04143	3.611	7.660	1.380	2.990	0.721	1.530	0
2	rxn02478;rxn03559	2.475	4.950	0.000	0.000	0.000	0.000	0
2	rxn03608;rxn04096	2.475	4.950	0.000	0.000	0.000	0.000	0
2	rxn02980;rxn23791	2.475	4.950	0.000	0.000	0.000	0.000	0
8	rxn00974;rxn03050;rxn03089;rxn19039;rxn30619;rxn31223;rxn33227;rxn33231	1.637	4.950	0.697	1.610	2.113	4.880	0
4	rxn01898;rxn03660;rxn03661;rxn07609	2.143	4.950	1.039	2.780	0.874	2.230	0
3	rxn03609;rxn04095;rxn16807	2.333	4.950	0.000	0.000	10.286	21.820	0
2	rxn02884;rxn03041	2.475	4.950	0.000	0.000	0.000	0.000	0
2	rxn16133;rxn39934	2.475	4.950	0.005	0.010	0.000	0.000	0
3	rxn02533;rxn16409;rxn39406	2.333	4.950	0.000	0.000	0.000	0.000	0
33	rxn00098;rxn00241;rxn00408;rxn00439;rxn01514;rxn02449;rxn18911;rxn22518	0.725	4.230	48.014	281.430	2.080	12.440	0
4	rxn28386;rxn28387;rxn39817;rxn39821	1.840	3.680	0.000	0.000	0.437	1.010	0
10	rxn00959;rxn01611;rxn11795;rxn11798;rxn11831;rxn14020;rxn19225;rxn27340	1.104	3.680	0.595	1.530	0.173	0.580	0
2	rxn03740;rxn04597	1.840	3.680	0.000	0.000	0.410	0.820	0
11	rxn01771;rxn02541;rxn03750;rxn05097;rxn07523;rxn07524;rxn11841;rxn15676	1.058	3.680	0.021	0.080	1.204	4.120	0
7	rxn03578;rxn03593;rxn03600;rxn03743;rxn04735;rxn07480;rxn32631	1.662	3.680	0.483	1.380	0.003	0.010	0
2	rxn16737;rxn40122	1.840	3.680	0.000	0.000	0.315	0.630	0
7	rxn07347;rxn07350;rxn07353;rxn07359;rxn07367;rxn07370;rxn07374	1.821	3.680	0.000	0.000	2.803	8.010	0
8	rxn07361;rxn07389;rxn07390;rxn07392;rxn31337;rxn31339;rxn31340;rxn31341	1.840	3.680	0.000	0.000	0.437	1.010	0
4	rxn02125;rxn04739;rxn04746;rxn07518	1.593	3.680	0.000	0.000	0.036	0.100	0
3	rxn04718;rxn04728;rxn06984	1.735	3.680	0.000	0.000	0.933	1.980	0
4	rxn00025;rxn16443;rxn35456;rxn40069	1.840	3.680	0.481	1.160	1.403	3.240	0
2	rxn04699;rxn11656	1.840	3.680	0.000	0.000	0.290	0.580	0
4	rxn03573;rxn03574;rxn03575;rxn03576	1.840	3.680	0.000	0.000	0.295	0.590	0
4	rxn02063;rxn11534;rxn27213;rxn38679	1.593	3.680	0.000	0.000	1.732	4.000	0
3	rxn21095;rxn22862;rxn37740	1.735	3.680	0.000	0.000	1.405	2.980	0
3	rxn04291;rxn39505;rxn39719	0.740	1.570	0.283	0.600	0.746	1.740	0
3	rxn03807;rxn04290;rxn06929	0.740	1.570	0.288	0.610	0.179	0.380	0
4	rxn02781;rxn04519;rxn04525;rxn31248	0.735	1.470	0.004	0.010	2.496	6.050	0
66	rxn00596;rxn01426;rxn01712;rxn01838;rxn02088;rxn02231;rxn02232;rxn02367	0.180	1.470	0.255	2.470	2.005	11.580	0
33	rxn00107;rxn00237;rxn00409;rxn00437;rxn01353;rxn01512;rxn01655;rxn01673	0.384	1.070	0.600	1.650	2.444	7.000	0
3	rxn01594;rxn16513;rxn40258	0.504	1.070	0.665	1.410	4.265	10.390	0
12	rxn00997;rxn00998;rxn01447;rxn02392;rxn02393;rxn02394;rxn02395;rxn02419	0.087	0.200	7.188	21.730	4.498	13.330	0
10	rxn00192;rxn00344;rxn00492;rxn00805;rxn00861;rxn01797;rxn02754;rxn16464	0.060	0.200	0.969	3.350	2.894	11.400	0
5	rxn04683;rxn04684;rxn30439;rxn30859;rxn33098	0.098	0.200	7.564	16.350	2.363	4.870	0
2	rxn03330;rxn30328	0.100	0.200	6.870	13.740	5.665	11.330	0
