cpd_id,has_modelseed,has_group_contribution,has_equilibrator,has_dgpredictor
cpd00001,True,True,True,False
cpd00002,True,True,True,False
cpd00003,True,True,True,False
cpd00004,True,True,True,False
cpd00005,True,True,True,False
cpd00006,True,True,True,False
cpd00007,True,True,True,False
cpd00008,True,True,True,False
cpd00009,True,True,True,False
cpd00010,True,True,True,False
cpd00011,True,True,True,False
cpd00012,True,True,True,False
cpd00013,True,True,True,False
cpd00014,True,True,True,False
cpd00015,True,True,False,False
cpd00016,True,True,True,False
cpd00017,True,True,True,False
cpd00018,True,True,True,False
cpd00019,True,True,True,False
cpd00020,True,True,True,False
cpd00021,True,True,True,False
cpd00022,True,True,True,False
cpd00023,True,True,True,False
cpd00024,True,True,True,False
cpd00025,True,True,True,False
cpd00026,True,True,False,False
cpd00027,True,True,True,False
cpd00028,False,False,False,False
cpd00029,True,True,True,False
cpd00030,False,False,False,False
cpd00031,True,True,True,False
cpd00032,True,True,True,False
cpd00033,True,True,True,False
cpd00034,False,False,False,False
cpd00035,True,True,True,False
cpd00036,True,True,True,False
cpd00037,True,True,True,False
cpd00038,True,True,True,False
cpd00039,True,True,True,False
cpd00040,True,True,True,False
cpd00041,True,True,True,False
cpd00042,True,True,True,False
cpd00043,True,True,False,False
cpd00044,True,True,True,False
cpd00045,True,True,True,False
cpd00046,True,True,True,False
cpd00047,True,True,True,False
cpd00048,True,True,True,False
cpd00049,False,False,False,False
cpd00050,True,True,False,False
cpd00051,True,True,True,False
cpd00052,True,True,True,False
cpd00053,True,True,True,False
cpd00054,True,True,True,False
cpd00055,True,True,True,False
cpd00056,True,True,True,False
cpd00057,False,False,False,False
cpd00058,False,False,False,False
cpd00059,True,True,False,False
cpd00060,True,True,True,False
cpd00061,True,True,True,False
cpd00062,True,True,True,False
cpd00063,False,False,False,False
cpd00064,True,True,True,False
cpd00065,True,True,True,False
cpd00066,True,True,True,False
cpd00067,True,True,True,False
cpd00068,True,True,True,False
cpd00069,True,True,True,False
cpd00070,True,True,True,False
cpd00071,True,True,True,False
cpd00072,True,True,True,False
cpd00073,True,True,True,False
cpd00074,True,True,True,False
cpd00075,True,True,True,False
cpd00076,True,True,True,False
cpd00077,True,True,True,False
cpd00078,True,True,True,False
cpd00079,True,True,True,False
cpd00080,True,True,True,False
cpd00081,True,True,True,False
cpd00082,True,True,True,False
cpd00083,True,True,True,False
cpd00084,True,True,True,False
cpd00085,True,True,True,False
cpd00086,True,True,True,False
cpd00087,True,True,True,False
cpd00088,True,True,True,False
cpd00089,True,True,False,False
cpd00090,True,True,True,False
cpd00091,True,True,True,False
cpd00092,True,True,False,False
cpd00093,True,True,True,False
cpd00094,True,True,True,False
cpd00095,True,True,True,False
cpd00096,True,True,True,False
cpd00097,True,True,True,False
cpd00098,True,True,True,False
cpd00099,False,False,False,False
cpd00100,True,True,True,False
cpd00101,True,True,False,False
cpd00102,True,True,True,False
cpd00103,True,True,True,False
cpd00104,True,True,True,False
cpd00105,True,True,True,False
cpd00106,True,True,True,False
cpd00107,True,True,True,False
cpd00108,True,True,False,False
cpd00109,False,False,False,False
cpd00110,False,False,False,False
cpd00111,True,True,True,False
cpd00112,True,True,True,False
cpd00113,True,True,True,False
cpd00114,True,True,True,False
cpd00115,True,True,True,False
cpd00116,True,True,True,False
cpd00117,True,True,True,False
cpd00118,True,True,True,False
cpd00119,True,True,True,False
cpd00120,True,True,True,False
