model_id,error,n_unique_reactions,n_unique_compounds,n_reactions_with_direction_modelseed,n_reactions_with_direction_group_contribution,n_reactions_with_direction_equilibrator,n_reactions_with_direction_dgpredictor,n_reactions_with_direction_modelseed_current,n_compounds_with_energy_modelseed,n_compounds_with_energy_group_contribution,n_compounds_with_energy_equilibrator,n_compounds_with_energy_dgpredictor,fba_status_modelseed,fba_growth_flux_modelseed,fba_grows_modelseed,fba_n_overrides_modelseed,fba_status_group_contribution,fba_growth_flux_group_contribution,fba_grows_group_contribution,fba_n_overrides_group_contribution,fba_status_equilibrator,fba_growth_flux_equilibrator,fba_grows_equilibrator,fba_n_overrides_equilibrator,fba_status_dgpredictor,fba_growth_flux_dgpredictor,fba_grows_dgpredictor,fba_n_overrides_dgpredictor,fba_status_modelseed_current,fba_growth_flux_modelseed_current,fba_grows_modelseed_current,fba_n_overrides_modelseed_current,fba_status_implicit,fba_growth_flux_implicit,fba_grows_implicit,fba_n_overrides_implicit
GCF_000005825.2,,145,127,132,132,107,86,132,116,115,106,0,optimal,40.6337235525252,True,132,optimal,91.10320642447219,True,132,optimal,40.6337235525252,True,107,optimal,40.6337235525252,True,86,optimal,40.6337235525252,True,132,optimal,60.95058532878798,True,0
GCF_000005845.2,,178,151,158,157,131,102,158,131,129,121,0,optimal,60.950585328787746,True,158,optimal,100.09108288542569,True,157,optimal,60.95058532878778,True,131,optimal,60.950585328787724,True,102,optimal,60.950585328787746,True,158,optimal,81.09450129376937,True,0
GCF_000006175.1,,64,84,52,52,36,35,52,73,72,64,0,optimal,0.0,False,52,optimal,0.0,False,52,optimal,0.0,False,36,optimal,0.0,False,35,optimal,0.0,False,52,optimal,0.0,False,0
GCF_000006605.1,,112,121,105,105,83,71,105,111,110,101,0,optimal,10.323002622868508,True,105,optimal,26.329433876664922,True,105,optimal,9.810700570354875,True,83,optimal,9.810700570355026,True,71,optimal,10.323002622868508,True,105,optimal,9.633235742232987,True,0
GCF_000006625.1,,48,62,46,46,30,27,46,60,59,55,0,optimal,0.0,False,46,optimal,0.0,False,46,optimal,0.0,False,30,optimal,0.0,False,27,optimal,0.0,False,46,optimal,0.0,False,0
GCF_000006645.1,,160,143,143,142,119,96,143,125,123,115,0,optimal,58.39075090505693,True,143,optimal,94.09373617998251,True,142,optimal,53.96324024074558,True,119,optimal,53.96324024074582,True,96,optimal,58.39075090505693,True,143,optimal,71.95098698766266,True,0
GCF_000006685.1,,72,89,63,63,41,34,63,78,77,68,0,optimal,0.0,False,63,optimal,0.0,False,63,optimal,0.0,False,41,optimal,0.0,False,34,optimal,0.0,False,63,optimal,0.0,False,0
GCF_000006725.1,,102,108,92,92,71,58,92,94,93,84,0,optimal,25.81161393569028,True,92,optimal,40.97072665680771,True,92,optimal,24.100427445181307,True,71,optimal,24.10042744518078,True,58,optimal,25.81161393569028,True,92,optimal,34.245519829870716,True,0
GCF_000006745.1,,155,141,139,139,114,92,139,124,123,114,0,optimal,59.64321429210454,True,139,optimal,94.09373617998244,True,139,optimal,59.643214292104574,True,114,optimal,59.64321429210415,True,92,optimal,59.64321429210454,True,139,optimal,77.85433454007548,True,0
GCF_000006765.1,,173,140,150,150,122,96,150,121,120,111,0,optimal,62.06297323017104,True,150,optimal,103.48297834359968,True,150,optimal,62.06297323017119,True,122,optimal,62.06297323017087,True,96,optimal,62.06297323017104,True,150,optimal,82.4558131982581,True,0
