rxn_id,has_modelseed,op_modelseed,has_group_contribution,op_group_contribution,has_equilibrator,op_equilibrator,has_dgpredictor,op_dgpredictor
rxn00001,True,>,True,=,True,>,True,>
rxn00002,True,>,True,>,True,>,True,>
rxn00003,True,<,True,<,True,<,True,<
rxn00004,True,=,True,=,True,=,True,=
rxn00006,True,>,True,>,True,>,True,>
rxn00007,True,>,True,=,True,>,True,>
rxn00008,True,<,True,<,True,<,True,>
rxn00009,True,=,True,>,True,=,True,=
rxn00010,True,>,True,>,True,>,True,>
rxn00011,True,<,True,<,True,<,True,=
rxn00012,True,=,True,=,True,=,True,=
rxn00013,True,=,True,=,True,=,False,
rxn00014,False,,False,,False,,False,
rxn00015,True,=,True,=,True,=,True,>
rxn00016,True,>,True,=,True,>,True,=
rxn00017,True,=,True,=,False,,True,=
rxn00018,True,=,True,=,True,=,True,=
rxn00019,False,,False,,False,,False,
rxn00020,True,>,True,=,True,>,True,=
rxn00021,True,=,True,=,True,=,True,=
rxn00022,True,>,True,=,True,>,True,=
rxn00023,False,,False,,False,,False,
rxn00024,True,>,True,>,True,>,True,>
rxn00025,True,>,True,>,True,>,True,>
rxn00026,True,>,True,>,True,>,True,>
rxn00027,False,,False,,False,,False,
rxn00028,True,>,True,>,False,,True,>
rxn00029,True,>,True,>,True,>,True,>
rxn00030,True,=,True,=,True,=,True,=
rxn00031,True,=,True,=,False,,True,=
rxn00032,True,>,True,>,True,>,False,
rxn00033,True,>,True,>,True,>,True,>
rxn00034,True,>,True,>,True,>,True,>
rxn00035,True,>,True,>,True,>,True,>
rxn00036,True,>,True,>,True,>,True,>
rxn00037,True,>,True,>,True,>,False,
rxn00038,True,>,True,=,True,>,True,>
rxn00039,True,=,True,=,True,=,True,>
rxn00040,True,>,True,=,True,>,True,>
rxn00041,True,>,True,=,True,>,True,>
rxn00042,True,>,True,>,True,>,True,>
rxn00043,True,>,True,>,True,>,True,>
rxn00044,True,=,True,=,True,=,True,=
rxn00045,True,=,True,=,False,,True,=
rxn00046,True,=,True,=,True,=,True,>
rxn00047,True,>,True,>,True,>,False,
rxn00048,True,>,True,>,True,>,True,<
rxn00050,True,<,True,<,False,,False,
rxn00051,True,>,True,>,True,>,True,>
rxn00052,True,>,True,>,True,>,True,>
rxn00053,False,,False,,False,,False,
rxn00054,True,>,True,>,True,=,True,>
rxn00055,True,>,True,=,True,=,True,>
rxn00056,True,=,True,=,True,=,False,
rxn00057,True,>,True,>,True,=,True,>
rxn00058,False,,False,,False,,False,
rxn00059,False,,False,,False,,False,
rxn00060,True,>,True,>,True,>,True,>
rxn00061,True,>,True,>,True,>,True,>
rxn00062,True,>,True,>,True,>,True,>
rxn00063,True,>,True,>,True,>,True,>
rxn00064,True,>,True,>,True,>,True,>
rxn00065,True,>,True,>,True,>,True,>
rxn00066,True,>,True,>,True,>,True,>
rxn00067,True,<,True,<,False,,True,<
rxn00068,True,<,True,<,True,<,False,
rxn00069,True,=,True,=,True,=,True,=
rxn00070,True,=,True,<,True,=,True,=
rxn00071,False,,True,>,False,,True,<
rxn00072,False,,False,,False,,True,<
rxn00073,False,,False,,False,,False,
rxn00074,False,,False,,False,,True,<
rxn00075,True,>,True,=,True,>,True,>
rxn00076,True,>,True,>,True,>,True,>
