rxn_id,has_modelseed_current,op_modelseed_current,via
rxn00001,True,>,eQuilibrator
rxn00002,True,>,eQuilibrator
rxn00003,True,<,eQuilibrator
rxn00004,True,=,eQuilibrator
rxn00006,True,>,eQuilibrator
rxn00007,True,>,eQuilibrator
rxn00008,True,<,eQuilibrator
rxn00009,True,=,eQuilibrator
rxn00010,True,>,eQuilibrator
rxn00011,True,<,eQuilibrator
rxn00012,True,=,eQuilibrator
rxn00013,True,=,eQuilibrator
rxn00014,False,,undefined
rxn00015,True,=,eQuilibrator
rxn00016,True,>,eQuilibrator
rxn00017,True,=,GC_fallback
rxn00018,True,=,eQuilibrator
rxn00019,False,,undefined
rxn00020,True,>,eQuilibrator
rxn00021,True,=,eQuilibrator
rxn00022,True,>,eQuilibrator
rxn00023,False,,undefined
rxn00024,True,>,eQuilibrator
rxn00025,True,>,eQuilibrator
rxn00026,True,>,eQuilibrator
rxn00027,False,,undefined
rxn00028,True,>,GC_fallback
rxn00029,True,>,eQuilibrator
rxn00030,True,=,eQuilibrator
rxn00031,True,=,GC_fallback
rxn00032,True,>,eQuilibrator
rxn00033,True,>,eQuilibrator
rxn00034,True,>,eQuilibrator
rxn00035,True,>,eQuilibrator
rxn00036,True,>,eQuilibrator
rxn00037,True,>,eQuilibrator
rxn00038,True,>,eQuilibrator
rxn00039,True,=,eQuilibrator
rxn00040,True,>,eQuilibrator
rxn00041,True,>,eQuilibrator
rxn00042,True,>,eQuilibrator
rxn00043,True,>,eQuilibrator
rxn00044,True,=,eQuilibrator
rxn00045,True,=,GC_fallback
rxn00046,True,=,eQuilibrator
rxn00047,True,>,eQuilibrator
rxn00048,True,>,eQuilibrator
rxn00050,True,<,GC_fallback
rxn00051,True,>,eQuilibrator
rxn00052,True,>,eQuilibrator
rxn00053,False,,undefined
rxn00054,True,>,eQuilibrator
rxn00055,True,>,eQuilibrator
rxn00056,True,=,eQuilibrator
rxn00057,True,>,eQuilibrator
rxn00058,False,,undefined
rxn00059,False,,undefined
rxn00060,True,>,eQuilibrator
rxn00061,True,>,eQuilibrator
rxn00062,True,>,eQuilibrator
rxn00063,True,>,eQuilibrator
rxn00064,True,>,eQuilibrator
rxn00065,True,>,eQuilibrator
rxn00066,True,>,eQuilibrator
rxn00067,True,<,GC_fallback
rxn00068,True,<,eQuilibrator
rxn00069,True,=,eQuilibrator
rxn00070,True,=,eQuilibrator
rxn00071,False,,undefined
rxn00072,False,,undefined
rxn00073,False,,undefined
rxn00074,False,,undefined
rxn00075,True,>,eQuilibrator
rxn00076,True,>,eQuilibrator
rxn00077,True,=,eQuilibrator
rxn00078,True,=,eQuilibrator
rxn00079,False,,undefined
rxn00080,False,,undefined
rxn00081,False,,undefined
rxn00082,False,,undefined
rxn00083,True,=,eQuilibrator
