model_id,n_reactions,n_non_exchange,n_with_seed_anno,n_in_msdb,n_covered_by_source,frac_covered,n_uncovered_by_source
GCF_003261575.2,187,187,187,173,130,0.6951871657754011,57
GCF_009688965.1,148,148,148,126,96,0.6486486486486487,52
GCF_000522545.2,179,179,179,161,123,0.6871508379888268,56
GCF_000007845.1,161,161,161,145,110,0.6832298136645962,51
GCF_003441595.1,153,153,153,135,106,0.6928104575163399,47
GCF_000021805.1,116,116,116,101,83,0.7155172413793104,33
GCF_000008525.1,87,87,87,69,54,0.6206896551724138,33
GCF_000011305.1,132,132,132,116,89,0.6742424242424242,43
GCF_000015745.1,154,154,154,138,105,0.6818181818181818,49
GCF_000016745.1,122,122,122,104,74,0.6065573770491803,48
GCF_000025265.1,141,141,141,125,99,0.7021276595744681,42
GCF_000756615.1,149,149,149,133,101,0.6778523489932886,48
GCF_000283635.1,74,74,74,58,52,0.7027027027027027,22
GCF_000632475.1,181,181,181,165,124,0.6850828729281768,57
GCF_000014405.1,73,73,73,57,50,0.684931506849315,23
GCF_000599545.1,167,167,167,150,118,0.7065868263473054,49
GCF_000014425.1,79,79,79,62,53,0.6708860759493671,26
GCF_000021045.1,167,167,167,150,110,0.6586826347305389,57
GCF_000195855.1,114,114,114,97,80,0.7017543859649122,34
GCF_000008165.1,162,162,162,147,110,0.6790123456790124,52
GCF_000007465.2,81,81,81,65,59,0.7283950617283951,22
GCF_000233715.2,126,126,126,106,83,0.6587301587301587,43
GCF_009688985.1,126,126,126,105,85,0.6746031746031746,41
GCF_000270285.1,100,100,100,85,61,0.61,39
GCF_008805035.1,86,86,86,68,55,0.6395348837209303,31
GCF_002022605.1,87,87,87,69,55,0.632183908045977,32
GCF_012222825.1,108,108,108,91,69,0.6388888888888888,39
GCF_000284095.1,115,115,115,96,71,0.6173913043478261,44
GCF_000024945.1,102,102,102,84,63,0.6176470588235294,39
GCF_002021985.1,102,102,102,85,62,0.6078431372549019,40
GCF_001688905.2,100,100,100,84,56,0.56,44
GCF_900186975.1,102,102,102,84,63,0.6176470588235294,39
GCF_000020525.1,102,102,102,86,66,0.6470588235294118,36
GCF_001688725.2,96,96,96,80,64,0.6666666666666666,32
GCF_000023745.1,111,111,111,95,72,0.6486486486486487,39
GCF_001020955.1,103,103,103,86,59,0.5728155339805825,44
GCF_002127965.1,90,90,90,74,62,0.6888888888888889,28
GCF_001880285.1,117,117,117,102,77,0.6581196581196581,40
GCF_000241025.1,123,123,123,105,77,0.6260162601626016,46
GCF_000507245.1,114,114,114,97,80,0.7017543859649122,34
GCF_001262075.1,111,111,111,94,71,0.6396396396396397,40
GCF_001888165.1,108,108,108,93,76,0.7037037037037037,32
GCF_003073475.1,106,106,106,88,68,0.6415094339622641,38
GCF_000020545.1,112,112,112,93,72,0.6428571428571429,40
GCF_000025945.1,106,106,106,85,68,0.6415094339622641,38
GCF_005221305.1,117,117,117,102,77,0.6581196581196581,40
GCF_000253035.1,119,119,119,103,77,0.6470588235294118,42
GCF_001042635.1,94,94,94,79,67,0.7127659574468085,27
GCF_000179915.2,113,113,113,96,79,0.6991150442477876,34
GCF_000194135.1,96,96,96,80,68,0.7083333333333334,28
GCF_001746835.1,110,110,110,94,71,0.6454545454545455,39
GCF_008118345.1,122,122,122,106,80,0.6557377049180327,42
GCF_000266885.1,121,121,121,106,81,0.6694214876033058,40
GCF_000525675.1,96,96,96,79,65,0.6770833333333334,31
GCF_000746585.1,87,87,87,70,52,0.5977011494252874,35
