model_id,n_reactions,n_non_exchange,n_with_seed_anno,n_in_msdb,n_covered_by_source,frac_covered,n_uncovered_by_source
GCF_003261575.2,187,187,187,173,152,0.8128342245989305,35
GCF_009688965.1,148,148,148,126,111,0.75,37
GCF_000522545.2,179,179,179,161,143,0.7988826815642458,36
GCF_000007845.1,161,161,161,145,131,0.8136645962732919,30
GCF_003441595.1,153,153,153,135,121,0.7908496732026143,32
GCF_000021805.1,116,116,116,101,94,0.8103448275862069,22
GCF_000008525.1,87,87,87,69,58,0.6666666666666666,29
GCF_000011305.1,132,132,132,116,104,0.7878787878787878,28
GCF_000015745.1,154,154,154,138,123,0.7987012987012987,31
GCF_000016745.1,122,122,122,104,86,0.7049180327868853,36
GCF_000025265.1,141,141,141,125,113,0.8014184397163121,28
GCF_000756615.1,149,149,149,133,118,0.7919463087248322,31
GCF_000283635.1,74,74,74,58,56,0.7567567567567568,18
GCF_000632475.1,181,181,181,165,141,0.7790055248618785,40
GCF_000014405.1,73,73,73,57,55,0.7534246575342466,18
GCF_000599545.1,167,167,167,150,136,0.8143712574850299,31
GCF_000014425.1,79,79,79,62,57,0.7215189873417721,22
GCF_000021045.1,167,167,167,150,132,0.7904191616766467,35
GCF_000195855.1,114,114,114,97,92,0.8070175438596491,22
GCF_000008165.1,162,162,162,147,133,0.8209876543209876,29
GCF_000007465.2,81,81,81,65,63,0.7777777777777778,18
GCF_000233715.2,126,126,126,106,93,0.7380952380952381,33
GCF_009688985.1,126,126,126,105,92,0.7301587301587301,34
GCF_000270285.1,100,100,100,85,73,0.73,27
GCF_008805035.1,86,86,86,68,61,0.7093023255813954,25
GCF_002022605.1,87,87,87,69,64,0.735632183908046,23
GCF_012222825.1,108,108,108,91,80,0.7407407407407407,28
GCF_000284095.1,115,115,115,96,86,0.7478260869565218,29
GCF_000024945.1,102,102,102,84,73,0.7156862745098039,29
GCF_002021985.1,102,102,102,85,70,0.6862745098039216,32
GCF_001688905.2,100,100,100,84,71,0.71,29
GCF_900186975.1,102,102,102,84,75,0.7352941176470589,27
GCF_000020525.1,102,102,102,86,74,0.7254901960784313,28
GCF_001688725.2,96,96,96,80,70,0.7291666666666666,26
GCF_000023745.1,111,111,111,95,79,0.7117117117117117,32
GCF_001020955.1,103,103,103,86,74,0.7184466019417476,29
GCF_002127965.1,90,90,90,74,72,0.8,18
GCF_001880285.1,117,117,117,102,89,0.7606837606837606,28
GCF_000241025.1,123,123,123,105,94,0.7642276422764228,29
GCF_000507245.1,114,114,114,97,90,0.7894736842105263,24
GCF_001262075.1,111,111,111,94,83,0.7477477477477478,28
GCF_001888165.1,108,108,108,93,85,0.7870370370370371,23
GCF_003073475.1,106,106,106,88,79,0.7452830188679245,27
GCF_000020545.1,112,112,112,93,80,0.7142857142857143,32
GCF_000025945.1,106,106,106,85,74,0.6981132075471698,32
GCF_005221305.1,117,117,117,102,90,0.7692307692307693,27
GCF_000253035.1,119,119,119,103,87,0.7310924369747899,32
GCF_001042635.1,94,94,94,79,75,0.7978723404255319,19
GCF_000179915.2,113,113,113,96,92,0.8141592920353983,21
GCF_000194135.1,96,96,96,80,73,0.7604166666666666,23
GCF_001746835.1,110,110,110,94,83,0.7545454545454545,27
GCF_008118345.1,122,122,122,106,94,0.7704918032786885,28
GCF_000266885.1,121,121,121,106,93,0.768595041322314,28
GCF_000525675.1,96,96,96,79,68,0.7083333333333334,28
GCF_000746585.1,87,87,87,70,63,0.7241379310344828,24
GCF_000599985.1,120,120,120,105,98,0.8166666666666667,22
GCF_004114615.1,122,122,122,104,94,0.7704918032786885,28
GCF_009649955.1,114,114,114,96,86,0.7543859649122807,28
GCF_000298115.2,95,95,95,79,72,0.7578947368421053,23
GCF_000143845.1,99,99,99,82,78,0.7878787878787878,21
GCF_000183405.1,104,104,104,87,80,0.7692307692307693,24
GCF_001659705.1,105,105,105,90,82,0.780952380952381,23
GCF_001021065.1,124,124,124,106,98,0.7903225806451613,26
GCF_000307165.1,96,96,96,79,76,0.7916666666666666,20
GCF_000284315.1,99,99,99,81,70,0.7070707070707071,29
GCF_003261295.1,109,109,109,94,85,0.7798165137614679,24
GCF_001610875.1,132,132,132,117,103,0.7803030303030303,29
GCF_002302395.1,102,102,102,85,74,0.7254901960784313,28
GCF_003966365.1,125,125,125,108,93,0.744,32
GCF_000973725.1,122,122,122,105,98,0.8032786885245902,24
GCF_000196135.1,94,94,94,78,63,0.6702127659574468,31
GCF_000196355.1,103,103,103,87,78,0.7572815533980582,25
GCF_000009905.1,128,128,128,110,97,0.7578125,31
GCF_000018865.1,122,122,122,105,97,0.7950819672131147,25
GCF_000014005.1,134,134,134,116,107,0.7985074626865671,27
GCF_002162355.1,121,121,121,105,92,0.7603305785123967,29
GCF_001443605.1,120,120,120,102,89,0.7416666666666667,31
GCF_000009985.1,138,138,138,117,103,0.7463768115942029,35
GCF_000025185.1,132,132,132,116,102,0.7727272727272727,30
GCF_000227745.2,136,136,136,117,101,0.7426470588235294,35
GCF_000092365.1,107,107,107,90,82,0.7663551401869159,25
GCF_003660165.1,127,127,127,112,98,0.7716535433070866,29
GCF_000183745.1,124,124,124,106,94,0.7580645161290323,30
GCF_004551665.1,121,121,121,106,95,0.7851239669421488,26
GCF_003097575.1,111,111,111,94,80,0.7207207207207207,31
GCF_003143555.1,127,127,127,110,97,0.7637795275590551,30
GCF_000953635.1,124,124,124,106,92,0.7419354838709677,32
GCF_000014285.1,130,130,130,113,99,0.7615384615384615,31
GCF_000177635.2,114,114,114,99,83,0.7280701754385965,31
GCF_001682195.2,138,138,138,122,110,0.7971014492753623,28
GCF_000766665.1,115,115,115,98,82,0.7130434782608696,33
GCF_000006725.1,102,102,102,86,77,0.7549019607843137,25
GCF_009662475.1,105,105,105,89,78,0.7428571428571429,27
GCF_002005425.1,121,121,121,105,95,0.7851239669421488,26
GCF_010669225.1,110,110,110,93,83,0.7545454545454545,27
GCF_000014965.1,133,133,133,113,98,0.7368421052631579,35
GCF_000022565.1,120,120,120,104,92,0.7666666666666667,28
GCF_000725345.1,146,146,146,127,114,0.7808219178082192,32
GCF_000180175.2,131,131,131,115,103,0.7862595419847328,28
GCF_004299785.2,93,93,93,76,62,0.6666666666666666,31
