model_id,source,n_overrides_applied,n_fwd_to_rev,n_rev_to_fwd,n_fwd_to_reversible,n_reversible_to_fwd,n_rev_to_reversible,n_reversible_to_rev,n_unchanged,n_other
GCF_003261575.2,dgp,130,0,1,7,7,0,3,112,0
GCF_009688965.1,dgp,96,0,1,5,4,1,3,82,0
GCF_000522545.2,dgp,123,0,1,6,5,0,3,108,0
GCF_000007845.1,dgp,110,0,1,5,2,0,2,100,0
GCF_003441595.1,dgp,106,0,1,6,2,1,3,93,0
GCF_000021805.1,dgp,83,0,1,6,2,0,1,73,0
GCF_000008525.1,dgp,54,0,0,2,3,0,2,47,0
GCF_000011305.1,dgp,89,0,1,4,2,0,1,81,0
GCF_000015745.1,dgp,105,0,1,6,4,1,1,92,0
GCF_000016745.1,dgp,74,0,1,2,3,0,2,66,0
GCF_000025265.1,dgp,99,0,1,5,3,0,0,90,0
GCF_000756615.1,dgp,101,0,1,6,3,0,2,89,0
GCF_000283635.1,dgp,52,0,1,1,1,0,0,49,0
GCF_000632475.1,dgp,124,0,1,6,5,1,5,106,0
GCF_000014405.1,dgp,50,0,0,0,1,0,1,48,0
GCF_000599545.1,dgp,118,0,1,5,4,0,1,107,0
GCF_000014425.1,dgp,53,0,0,2,1,0,1,49,0
GCF_000021045.1,dgp,110,0,1,7,3,0,2,97,0
GCF_000195855.1,dgp,80,0,1,3,2,0,0,74,0
GCF_000008165.1,dgp,110,0,1,5,2,0,2,100,0
GCF_000007465.2,dgp,59,0,1,1,0,0,2,55,0
GCF_000233715.2,dgp,83,0,1,3,3,1,2,73,0
GCF_009688985.1,dgp,85,0,1,4,3,1,3,73,0
GCF_000270285.1,dgp,61,0,1,2,3,0,2,53,0
GCF_008805035.1,dgp,55,0,1,2,1,0,1,50,0
GCF_002022605.1,dgp,55,0,1,4,2,0,0,48,0
GCF_012222825.1,dgp,69,0,1,4,3,0,1,60,0
GCF_000284095.1,dgp,71,0,1,6,2,0,1,61,0
GCF_000024945.1,dgp,63,0,1,2,4,0,0,56,0
GCF_002021985.1,dgp,62,0,1,4,3,0,2,52,0
GCF_001688905.2,dgp,56,0,1,4,2,0,2,47,0
GCF_900186975.1,dgp,63,0,0,4,1,0,0,58,0
GCF_000020525.1,dgp,66,0,1,3,2,0,3,57,0
GCF_001688725.2,dgp,64,0,1,2,2,0,0,59,0
GCF_000023745.1,dgp,72,0,1,5,1,0,2,63,0
GCF_001020955.1,dgp,59,0,1,2,3,0,2,51,0
GCF_002127965.1,dgp,62,0,1,2,2,0,1,56,0
GCF_001880285.1,dgp,77,0,1,2,5,1,2,66,0
GCF_000241025.1,dgp,77,0,1,3,2,0,2,69,0
GCF_000507245.1,dgp,80,0,1,3,1,0,2,73,0
GCF_001262075.1,dgp,71,0,1,3,2,1,1,63,0
GCF_001888165.1,dgp,76,0,1,0,3,0,3,69,0
GCF_003073475.1,dgp,68,0,1,4,1,0,2,60,0
GCF_000020545.1,dgp,72,0,1,3,2,0,2,64,0
GCF_000025945.1,dgp,68,0,1,3,4,0,3,57,0
GCF_005221305.1,dgp,77,0,1,3,3,1,1,68,0
GCF_000253035.1,dgp,77,0,1,2,2,0,1,71,0
GCF_001042635.1,dgp,67,0,1,0,2,0,1,63,0
GCF_000179915.2,dgp,79,0,1,4,2,0,0,72,0
GCF_000194135.1,dgp,68,0,1,3,1,0,1,62,0
GCF_001746835.1,dgp,71,0,1,2,2,0,1,65,0
GCF_008118345.1,dgp,80,0,1,6,3,0,1,69,0
GCF_000266885.1,dgp,81,0,1,4,2,0,1,73,0
GCF_000525675.1,dgp,65,0,1,4,2,0,1,57,0
GCF_000746585.1,dgp,52,0,1,2,1,0,1,47,0
GCF_000599985.1,dgp,83,0,1,6,1,0,3,72,0
GCF_004114615.1,dgp,85,0,1,4,3,0,2,75,0
GCF_009649955.1,dgp,77,0,1,4,3,0,1,68,0
GCF_000298115.2,dgp,65,0,1,1,1,0,2,60,0
GCF_000143845.1,dgp,71,0,1,1,2,0,1,66,0
