model_id,source,n_overrides_applied,n_fwd_to_rev,n_rev_to_fwd,n_fwd_to_reversible,n_reversible_to_fwd,n_rev_to_reversible,n_reversible_to_rev,n_unchanged,n_other
GCF_003261575.2,eq,136,0,0,0,0,0,0,136,0
GCF_009688965.1,eq,100,0,0,0,0,0,0,100,0
GCF_000522545.2,eq,130,0,0,0,0,0,0,130,0
GCF_000007845.1,eq,117,0,0,0,0,0,0,117,0
GCF_003441595.1,eq,110,0,0,0,0,0,0,110,0
GCF_000021805.1,eq,88,0,0,0,0,0,0,88,0
GCF_000008525.1,eq,50,0,0,0,0,0,0,50,0
GCF_000011305.1,eq,94,0,0,0,0,0,0,94,0
GCF_000015745.1,eq,110,0,0,0,0,0,0,110,0
GCF_000016745.1,eq,77,0,0,0,0,0,0,77,0
GCF_000025265.1,eq,104,0,0,0,0,0,0,104,0
GCF_000756615.1,eq,108,0,0,0,0,0,0,108,0
GCF_000283635.1,eq,54,0,0,0,0,0,0,54,0
GCF_000632475.1,eq,128,0,0,0,0,0,0,128,0
GCF_000014405.1,eq,52,0,0,0,0,0,0,52,0
GCF_000599545.1,eq,123,0,0,0,0,0,0,123,0
GCF_000014425.1,eq,55,0,0,0,0,0,0,55,0
GCF_000021045.1,eq,117,0,0,0,0,0,0,117,0
GCF_000195855.1,eq,86,0,0,0,0,0,0,86,0
GCF_000008165.1,eq,117,0,0,0,0,0,0,117,0
GCF_000007465.2,eq,61,0,0,0,0,0,0,61,0
GCF_000233715.2,eq,86,0,0,0,0,0,0,86,0
GCF_009688985.1,eq,85,0,0,0,0,0,0,85,0
GCF_000270285.1,eq,66,0,0,0,0,0,0,66,0
GCF_008805035.1,eq,55,0,0,0,0,0,0,55,0
GCF_002022605.1,eq,60,0,0,0,0,0,0,60,0
GCF_012222825.1,eq,73,0,0,0,0,0,0,73,0
GCF_000284095.1,eq,78,0,0,0,0,0,0,78,0
GCF_000024945.1,eq,65,0,0,0,0,0,0,65,0
GCF_002021985.1,eq,63,0,0,0,0,0,0,63,0
GCF_001688905.2,eq,60,0,0,0,0,0,0,60,0
