model_id,source,n_overrides_applied,n_fwd_to_rev,n_rev_to_fwd,n_fwd_to_reversible,n_reversible_to_fwd,n_rev_to_reversible,n_reversible_to_rev,n_unchanged,n_other
GCF_003261575.2,gc,152,0,0,12,16,2,0,122,0
GCF_009688965.1,gc,111,0,0,8,13,1,0,89,0
GCF_000522545.2,gc,143,0,0,13,13,2,0,115,0
GCF_000007845.1,gc,131,0,0,12,15,2,0,102,0
GCF_003441595.1,gc,121,0,0,10,12,2,0,97,0
GCF_000021805.1,gc,94,0,0,9,13,1,0,71,0
GCF_000008525.1,gc,58,0,0,4,4,0,0,50,0
GCF_000011305.1,gc,104,0,0,9,11,1,0,83,0
GCF_000015745.1,gc,123,0,0,12,15,2,0,94,0
GCF_000016745.1,gc,86,0,0,5,10,1,0,70,0
GCF_000025265.1,gc,113,0,0,9,14,1,0,89,0
GCF_000756615.1,gc,118,0,0,12,12,2,0,92,0
GCF_000283635.1,gc,56,0,0,5,7,0,0,44,0
GCF_000632475.1,gc,141,0,0,11,17,2,0,111,0
GCF_000014405.1,gc,55,0,0,5,8,0,0,42,0
GCF_000599545.1,gc,136,0,0,11,14,2,0,109,0
GCF_000014425.1,gc,57,0,0,7,8,0,0,42,0
GCF_000021045.1,gc,132,0,0,13,11,2,0,106,0
GCF_000195855.1,gc,92,0,0,7,10,1,0,74,0
GCF_000008165.1,gc,133,0,0,12,15,2,0,104,0
GCF_000007465.2,gc,63,0,0,5,8,0,0,50,0
GCF_000233715.2,gc,93,0,0,5,11,2,0,75,0
GCF_009688985.1,gc,92,0,0,6,10,1,0,75,0
GCF_000270285.1,gc,73,0,0,6,6,1,0,60,0
GCF_008805035.1,gc,61,0,0,3,4,0,0,54,0
GCF_002022605.1,gc,64,0,0,7,7,1,0,49,0
GCF_012222825.1,gc,80,0,0,7,9,1,0,63,0
GCF_000284095.1,gc,86,0,0,12,14,2,0,58,0
GCF_000024945.1,gc,73,0,0,7,7,0,0,59,0
GCF_002021985.1,gc,70,0,0,8,4,1,0,57,0
GCF_001688905.2,gc,71,0,0,8,4,1,0,58,0
GCF_900186975.1,gc,75,0,0,7,13,0,0,55,0
GCF_000020525.1,gc,74,0,0,8,10,1,0,55,0
GCF_001688725.2,gc,70,0,0,4,11,1,0,54,0
GCF_000023745.1,gc,79,0,0,7,5,1,0,66,0
GCF_001020955.1,gc,74,0,0,8,5,1,0,60,0
GCF_002127965.1,gc,72,0,0,4,5,0,0,63,0
GCF_001880285.1,gc,89,0,0,6,8,1,0,74,0
GCF_000241025.1,gc,94,0,0,7,10,1,0,76,0
GCF_000507245.1,gc,90,0,0,5,10,1,0,74,0
GCF_001262075.1,gc,83,0,0,7,9,2,0,65,0
GCF_001888165.1,gc,85,0,0,5,8,1,0,71,0
GCF_003073475.1,gc,79,0,0,7,12,0,0,60,0
GCF_000020545.1,gc,80,0,0,9,10,2,0,59,0
GCF_000025945.1,gc,74,0,0,5,10,1,0,58,0
GCF_005221305.1,gc,90,0,0,8,5,2,0,75,0
GCF_000253035.1,gc,87,0,0,5,7,1,0,74,0
GCF_001042635.1,gc,75,0,0,6,5,0,0,64,0
GCF_000179915.2,gc,92,0,0,7,11,2,0,72,0
GCF_000194135.1,gc,73,0,0,7,7,2,0,57,0
GCF_001746835.1,gc,83,0,0,7,10,1,0,65,0
GCF_008118345.1,gc,94,0,0,9,9,1,0,75,0
GCF_000266885.1,gc,93,0,0,7,12,1,0,73,0
GCF_000525675.1,gc,68,0,0,5,9,0,0,54,0
GCF_000746585.1,gc,63,0,0,5,5,1,0,52,0
GCF_000599985.1,gc,98,0,0,9,10,1,0,78,0
GCF_004114615.1,gc,94,0,0,7,13,2,0,72,0
GCF_009649955.1,gc,86,0,0,8,9,2,0,67,0
GCF_000298115.2,gc,72,0,0,7,9,0,0,56,0
GCF_000143845.1,gc,78,0,0,6,10,1,0,61,0
GCF_000183405.1,gc,80,0,0,7,10,1,0,62,0
GCF_001659705.1,gc,82,0,0,7,11,1,0,63,0
GCF_001021065.1,gc,98,0,0,9,13,1,0,75,0
GCF_000307165.1,gc,76,0,0,5,12,0,0,59,0
GCF_000284315.1,gc,70,0,0,7,5,1,0,57,0
GCF_003261295.1,gc,85,0,0,9,5,2,0,69,0
GCF_001610875.1,gc,103,0,0,10,8,2,0,83,0
GCF_002302395.1,gc,74,0,0,7,7,1,0,59,0
GCF_003966365.1,gc,93,0,0,12,10,2,0,69,0
GCF_000973725.1,gc,98,0,0,7,11,1,0,79,0
GCF_000196135.1,gc,63,0,0,6,7,1,0,49,0
