rxn_id,operator,dg,dge
rxn00001,=,4.15,1.22
rxn00002,>,-9.62,1.78
rxn00003,<,10.53,0.9
rxn00004,=,3.17,0.77
rxn00006,>,-45.36,1.5
rxn00007,=,-3.11,4.34
rxn00008,<,62.27,1.12
rxn00009,>,-8.46,7.79
rxn00010,>,-10.57,0.79
rxn00011,<,6.87,3.85
rxn00012,=,0.0,7.04
rxn00013,=,0.0,3.7
rxn00015,=,-0.52,1.68
rxn00016,=,-3.11,4.62
rxn00017,=,18.48,13.84
rxn00018,=,-7.91,1.08
rxn00020,=,-3.11,4.34
rxn00021,=,2.47,2.3
rxn00022,=,-3.11,4.34
rxn00024,>,-82.88,2.89
rxn00025,>,-87.46,8.21
rxn00026,>,-26.49,3.7
rxn00028,>,-122.96,3.91
rxn00029,>,-15.31,1.87
rxn00030,=,-4.02,0.59
rxn00031,=,0.0,10.63
rxn00032,>,-98.34,5.68
rxn00033,>,-136.56,2.74
rxn00034,>,-83.78,3.4
rxn00035,>,-121.36,11.69
rxn00036,>,-79.74,3.63
rxn00037,>,-83.08,3.97
rxn00038,=,-2.14,0.96
rxn00039,=,0.0,5.64
rxn00040,=,-2.14,3.88
rxn00041,=,-2.14,3.82
rxn00042,>,-98.34,7.84
rxn00043,>,-82.18,3.6
rxn00044,=,-0.46,1.56
rxn00045,=,0.0,18.06
rxn00046,=,0.0,6.19
rxn00047,>,-9.37,3.71
rxn00048,>,-51.05,6.28
rxn00050,<,134.22,3.45
rxn00051,>,-84.12,14.75
rxn00052,>,-41.51,3.72
rxn00054,>,-286.32,7.81
rxn00055,>,-24.55,14.54
rxn00056,=,-8.18,3.04
rxn00057,>,-264.94,7.82
rxn00060,>,-25.97,8.54
rxn00061,>,-23.15,4.52
rxn00062,>,-6.81,4.36
rxn00063,>,-27.3,4.35
rxn00064,>,-8.48,4.16
rxn00065,>,-8.48,4.89
rxn00066,>,-77.07,6.2
rxn00067,<,2.91,11.5
rxn00068,<,50.3,6.26
rxn00069,=,13.41,6.19
rxn00070,<,21.97,7.49
rxn00075,=,-3.67,6.0
rxn00076,>,-28.37,5.7
rxn00077,=,-14.03,7.51
rxn00078,=,-14.03,7.41
rxn00083,=,0.0,8.62
rxn00084,>,-77.07,6.19
rxn00085,=,13.41,6.18
rxn00086,<,21.97,7.48
rxn00087,<,21.97,6.39
rxn00088,=,7.22,6.2
rxn00090,=,-9.74,4.4
rxn00091,>,-66.72,1.41
rxn00092,>,-16.34,4.35
rxn00093,>,-8.48,4.16
rxn00095,=,-9.31,8.62
rxn00096,=,2.5,7.47
rxn00097,=,9.53,7.44
rxn00098,>,-6.81,4.37
rxn00099,>,-13.1,7.41
rxn00100,>,-14.03,6.51
rxn00101,=,-5.75,1.32
rxn00102,=,0.84,0.87
rxn00103,>,-3.09,6.13
rxn00105,=,1.07,5.7
rxn00107,=,0.0,5.07
rxn00108,=,-9.53,5.06
rxn00109,<,22.97,6.2
rxn00112,>,-71.01,1.18
rxn00113,=,-16.9,8.67
rxn00114,=,-10.09,4.39
rxn00116,>,-16.34,2.76
rxn00117,=,-0.0,5.07
rxn00118,=,9.53,5.06
rxn00119,=,9.53,5.06
rxn00120,>,-6.81,2.77
rxn00121,>,-28.37,6.82
rxn00122,=,1.07,6.82
rxn00123,=,7.22,2.46
rxn00124,>,-14.03,4.9
rxn00125,=,-7.47,4.86
