variant,source,model_id,kbase_grows,variant_grows,kbase_flux,variant_flux,delta_flux
baseline,GC,GCF_003441595.1,True,True,77.25766569044005,94.9103959108568,17.652730220416757
baseline,GC,GCF_000021805.1,True,True,32.21530130165922,74.57040150354217,42.355100201882955
baseline,GC,GCF_000008525.1,True,True,13.70007896725519,14.81212449412896,1.1120455268737715
baseline,GC,GCF_000011305.1,True,True,49.46528031974372,106.09918123540895,56.63390091566523
baseline,GC,GCF_000283635.1,True,True,29.597083799333557,29.59708379933336,-1.9539925233402755e-13
baseline,GC,GCF_000632475.1,True,True,82.455813198258,124.12594646034172,41.67013326208372
baseline,GC,GCF_000014405.1,True,True,8.421641259978584,16.258404579017046,7.836763319038463
baseline,GC,GCF_000599545.1,True,True,73.6447510045573,140.21048449862744,66.56573349407013
baseline,GC,GCF_000015745.1,True,True,60.28981313172385,95.84406444554894,35.55425131382509
baseline,GC,GCF_000016745.1,True,True,35.323144960888676,91.23663041227124,55.91348545138256
baseline,GC,GCF_000025265.1,True,True,55.17325090449646,131.1115121848687,75.93826128037225
baseline,GC,GCF_000756615.1,True,True,62.06297323017077,103.17305376422469,41.11008053405392
baseline,GC,GCF_003261575.2,True,True,81.09450129376934,162.53489421010073,81.44039291633139
baseline,GC,GCF_009688965.1,True,True,32.564910006871145,69.92958091202152,37.364670905150376
baseline,GC,GCF_000522545.2,True,True,83.51304698636713,120.89660643225858,37.38355944589145
baseline,GC,GCF_000007845.1,True,True,75.34505343578829,109.95680896545143,34.61175552966314
baseline,GC,GCF_008805035.1,True,True,13.596636735937054,33.997845507961856,20.401208772024802
baseline,GC,GCF_002022605.1,True,True,23.103830766511074,23.16492433342931,0.06109356691823464
baseline,GC,GCF_012222825.1,True,True,42.463674449691894,43.022881523979876,0.5592070742879827
baseline,GC,GCF_000284095.1,True,True,36.946927585869254,74.00375093297569,37.05682334710644
baseline,GC,GCF_000007465.2,True,True,29.597083799333053,45.11595364034997,15.518869841016919
baseline,GC,GCF_000233715.2,True,True,36.09528433157852,61.1412984140816,25.046014082503078
baseline,GC,GCF_009688985.1,True,True,64.94584745027868,88.09683061486794,23.150983164589263
baseline,GC,GCF_000270285.1,True,True,27.495717541992846,30.50505697582019,3.0093394338273427
