model_id,n_metabolites,n_reactions,n_genes,biomass_rxn,n_exchanges_total,n_exchanges_open,status,growth_flux,grows,error
GCF_000007305.1,101,95,85,DM_atp_c0,21,14,optimal,0.9999999999999999,True,
GCF_000007325.1,121,115,92,DM_atp_c0,24,17,optimal,1.0,True,
GCF_000007345.1,121,113,152,DM_atp_c0,22,15,optimal,1.484848484848485,True,
GCF_000007365.1,107,93,72,DM_atp_c0,22,15,optimal,5.749999999999998,True,
GCF_000006985.1,129,125,123,DM_atp_c0,22,15,optimal,8.062500000000007,True,
GCF_000007005.1,136,126,130,DM_atp_c0,23,16,optimal,0.0,False,
GCF_000007025.1,112,91,74,DM_atp_c0,19,12,optimal,3.8,True,
GCF_000007045.1,114,106,95,DM_atp_c0,23,16,optimal,3.9999999999999973,True,
GCF_000006625.1,82,72,40,DM_atp_c0,21,14,optimal,0.0,False,
GCF_000006645.1,169,191,203,DM_atp_c0,28,19,optimal,14.874999999999998,True,
GCF_000006685.1,112,99,49,DM_atp_c0,24,17,optimal,0.0,False,
GCF_000006725.1,131,128,111,DM_atp_c0,23,16,optimal,6.083333333333311,True,
GCF_000007465.2,114,105,92,DM_atp_c0,21,14,optimal,3.0000000000000004,True,
GCF_000007485.1,95,81,57,DM_atp_c0,20,13,optimal,0.0,False,
GCF_000007505.1,159,181,180,DM_atp_c0,24,17,optimal,5.791666666666669,True,
GCF_000007525.1,118,113,82,DM_atp_c0,23,16,optimal,3.4999999999999996,True,
GCF_000007225.1,127,122,124,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000007245.1,131,127,108,DM_atp_c0,23,16,optimal,6.083333333333311,True,
GCF_000007265.1,127,125,106,DM_atp_c0,23,16,optimal,8.0,True,
GCF_000007285.1,116,109,91,DM_atp_c0,23,16,optimal,4.0000000000000036,True,
GCF_000007145.1,154,169,165,DM_atp_c0,26,19,optimal,9.08653846153846,True,
GCF_000007165.1,151,163,166,DM_atp_c0,24,17,optimal,7.000000000000006,True,
GCF_000007185.1,105,84,80,DM_atp_c0,22,15,optimal,0.0,False,
GCF_000007205.1,112,99,48,DM_atp_c0,24,17,optimal,0.0,False,
